code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,doc_link,source_link
@type,repo,README.md,.,-,-,8,8,8,22,22,22,22,22,22,22,22,22,22,22,22,22,https://github.com/google/transmat/blob/ef95818498faa12fea7ad9cbc6651e0cda29f52f/README.md,https://github.com/google/transmat/blob/8cd696b2b561a6f512123ca3c3244942000a4b4e/src/json_ld.ts#L28
API,repo,README.md,.,-,-,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/transmat/blob/ef95818498faa12fea7ad9cbc6651e0cda29f52f/README.md,https://github.com/google/transmat/blob/8cd696b2b561a6f512123ca3c3244942000a4b4e/package.json#L4
DataTransfer,repo,README.md,.,-,-,16,16,17,17,17,17,18,18,18,18,18,18,18,18,18,18,https://github.com/google/transmat/blob/ef95818498faa12fea7ad9cbc6651e0cda29f52f/README.md,https://github.com/google/transmat/blob/8cd696b2b561a6f512123ca3c3244942000a4b4e/src/transmat.ts#L27
GitHub,repo,README.md,.,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/transmat/blob/ef95818498faa12fea7ad9cbc6651e0cda29f52f/README.md,https://github.com/google/transmat/blob/8cd696b2b561a6f512123ca3c3244942000a4b4e/CONTRIBUTING.md#L21
JSON,repo,README.md,.,-,-,3,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/transmat/blob/ef95818498faa12fea7ad9cbc6651e0cda29f52f/README.md,https://github.com/google/transmat/blob/8cd696b2b561a6f512123ca3c3244942000a4b4e/src/transmat.ts#L91
LD,repo,README.md,.,-,-,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/transmat/blob/ef95818498faa12fea7ad9cbc6651e0cda29f52f/README.md,https://github.com/google/transmat/blob/8cd696b2b561a6f512123ca3c3244942000a4b4e/src/json_ld.ts#L31
Transmat(event),repo,README.md,.,-,-,8,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/transmat/blob/ef95818498faa12fea7ad9cbc6651e0cda29f52f/README.md,https://github.com/google/transmat/blob/8cd696b2b561a6f512123ca3c3244942000a4b4e/src/transmat.spec.ts#L41
TransmatObserver,repo,README.md,.,-,-,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/transmat/blob/ef95818498faa12fea7ad9cbc6651e0cda29f52f/README.md,https://github.com/google/transmat/blob/8cd696b2b561a6f512123ca3c3244942000a4b4e/src/transmat_observer.ts#L20
addListeners,repo,README.md,.,-,-,7,7,7,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/transmat/blob/ef95818498faa12fea7ad9cbc6651e0cda29f52f/README.md,https://github.com/google/transmat/blob/8cd696b2b561a6f512123ca3c3244942000a4b4e/src/transmat.ts#L105
classList,repo,README.md,.,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/transmat/blob/ef95818498faa12fea7ad9cbc6651e0cda29f52f/README.md,https://github.com/google/transmat/blob/8cd696b2b561a6f512123ca3c3244942000a4b4e/experiments/e2e.ts#L49
drop,repo,README.md,.,-,-,13,13,13,13,13,15,16,16,16,16,16,16,16,16,16,16,https://github.com/google/transmat/blob/ef95818498faa12fea7ad9cbc6651e0cda29f52f/README.md,https://github.com/google/transmat/blob/8cd696b2b561a6f512123ca3c3244942000a4b4e/src/transmat_observer.ts#L38
fromObject,repo,README.md,.,-,-,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/transmat/blob/ef95818498faa12fea7ad9cbc6651e0cda29f52f/README.md,https://github.com/google/transmat/blob/8cd696b2b561a6f512123ca3c3244942000a4b4e/src/json_ld.ts#L51
getData,repo,README.md,.,-,-,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/transmat/blob/ef95818498faa12fea7ad9cbc6651e0cda29f52f/README.md,https://github.com/google/transmat/blob/8cd696b2b561a6f512123ca3c3244942000a4b4e/src/transmat.ts#L75
