code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,doc_link,source_link
API,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,33,33,33,33,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36,https://github.com/google/identity-credential/blob/7c4ff9791fd08e3c0a1dfddbd49e343402054daa/README.md,https://github.com/google/identity-credential/blob/c26ecc6708329e410db22fea0fadd24a800adaa6/mdl-ref-server/README.md#L214
IEC,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,3,2,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32,32,32,32,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,https://github.com/google/identity-credential/blob/7c4ff9791fd08e3c0a1dfddbd49e343402054daa/README.md,https://github.com/google/identity-credential/blob/c26ecc6708329e410db22fea0fadd24a800adaa6/mdl-ref-server/README.md#L6
ISO,repo,README.md,-,-,-,-,-,9,10,8,8,8,9,9,12,5,55,55,55,55,55,55,55,55,55,55,55,55,55,55,57,57,59,59,59,59,59,61,61,61,61,61,61,61,62,63,63,63,63,63,63,63,63,63,63,63,63,79,79,79,79,79,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,https://github.com/google/identity-credential/blob/7c4ff9791fd08e3c0a1dfddbd49e343402054daa/README.md,https://github.com/google/identity-credential/blob/c26ecc6708329e410db22fea0fadd24a800adaa6/mdl-ref-server/util.py#L262
IdentityCredentialStore,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,165,166,166,166,166,166,166,166,166,166,166,166,166,166,166,https://github.com/google/identity-credential/blob/7c4ff9791fd08e3c0a1dfddbd49e343402054daa/README.md,https://github.com/google/identity-credential/blob/c26ecc6708329e410db22fea0fadd24a800adaa6/identity/src/main/java/com/android/identity/WritableIdentityCredential.java#L33
PII,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/identity-credential/blob/7c4ff9791fd08e3c0a1dfddbd49e343402054daa/README.md,https://github.com/google/identity-credential/blob/c26ecc6708329e410db22fea0fadd24a800adaa6/identity/src/main/java/com/android/identity/WritableIdentityCredential.java#L30
TODO,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,109,109,109,111,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,111,111,112,111,112,112,112,112,112,112,112,112,112,112,https://github.com/google/identity-credential/blob/7c4ff9791fd08e3c0a1dfddbd49e343402054daa/README.md,https://github.com/google/identity-credential/blob/c26ecc6708329e410db22fea0fadd24a800adaa6/mdl-ref-server/util.py#L52
mDL,repo,README.md,62,78,78,86,83,83,71,67,67,66,67,68,72,19,36,35,35,37,37,37,37,37,37,37,37,37,37,37,37,38,38,39,40,40,40,44,44,44,44,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,41,41,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,https://github.com/google/identity-credential/blob/7c4ff9791fd08e3c0a1dfddbd49e343402054daa/README.md,https://github.com/google/identity-credential/blob/c26ecc6708329e410db22fea0fadd24a800adaa6/mdl-ref-server/util.py#L256
nl.rdw.mekb.1,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/identity-credential/blob/7c4ff9791fd08e3c0a1dfddbd49e343402054daa/README.md,https://github.com/google/identity-credential/blob/c26ecc6708329e410db22fea0fadd24a800adaa6/appverifier/src/main/java/com/android/mdl/appreader/document/RequestMvr.kt#L6
org.iso.18013.5.1.mDL,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/identity-credential/blob/7c4ff9791fd08e3c0a1dfddbd49e343402054daa/README.md,https://github.com/google/identity-credential/blob/c26ecc6708329e410db22fea0fadd24a800adaa6/mdl-ref-server/util.py#L401
org.micov.1,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/identity-credential/blob/7c4ff9791fd08e3c0a1dfddbd49e343402054daa/README.md,https://github.com/google/identity-credential/blob/c26ecc6708329e410db22fea0fadd24a800adaa6/appverifier/src/main/java/com/android/mdl/appreader/fragment/ShowDocumentFragment.kt#L36
