code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,doc_link,source_link
API,repo,README.md,2,2,-,-,-,https://github.com/google/gps_data_solutions/blob/b2d096e2c7c282698332422e742875636f12e0db/README.md,https://github.com/google/gps_data_solutions/blob/5fb54bbc0aadb0f077da4c43cd7cd0c4607f3225/nodejs/vision-api/package.json#L4
BATCH_SIZE,repo,README.md,2,2,-,-,-,https://github.com/google/gps_data_solutions/blob/b2d096e2c7c282698332422e742875636f12e0db/README.md,https://github.com/google/gps_data_solutions/blob/5fb54bbc0aadb0f077da4c43cd7cd0c4607f3225/go/split_file/split_file.go#L77
BQ,repo,README.md,3,3,-,-,-,https://github.com/google/gps_data_solutions/blob/b2d096e2c7c282698332422e742875636f12e0db/README.md,https://github.com/google/gps_data_solutions/blob/5fb54bbc0aadb0f077da4c43cd7cd0c4607f3225/nodejs/vision-api/package.json#L4
BQ_DATASET,repo,README.md,4,4,-,-,-,https://github.com/google/gps_data_solutions/blob/b2d096e2c7c282698332422e742875636f12e0db/README.md,https://github.com/google/gps_data_solutions/blob/5fb54bbc0aadb0f077da4c43cd7cd0c4607f3225/nodejs/vision-api/index.js#L93
BQ_TABLE,repo,README.md,4,4,-,-,-,https://github.com/google/gps_data_solutions/blob/b2d096e2c7c282698332422e742875636f12e0db/README.md,https://github.com/google/gps_data_solutions/blob/5fb54bbc0aadb0f077da4c43cd7cd0c4607f3225/nodejs/vision-api/index.js#L94
BigQuery,repo,README.md,3,3,-,-,-,https://github.com/google/gps_data_solutions/blob/b2d096e2c7c282698332422e742875636f12e0db/README.md,https://github.com/google/gps_data_solutions/blob/5fb54bbc0aadb0f077da4c43cd7cd0c4607f3225/nodejs/vision-api/index.js#L17
DELETE_FILE_AFTER_PROCESSING,repo,README.md,2,2,-,-,-,https://github.com/google/gps_data_solutions/blob/b2d096e2c7c282698332422e742875636f12e0db/README.md,https://github.com/google/gps_data_solutions/blob/5fb54bbc0aadb0f077da4c43cd7cd0c4607f3225/go/split_file/split_file.go#L80
GCS,repo,README.md,1,1,-,-,-,https://github.com/google/gps_data_solutions/blob/b2d096e2c7c282698332422e742875636f12e0db/README.md,https://github.com/google/gps_data_solutions/blob/5fb54bbc0aadb0f077da4c43cd7cd0c4607f3225/nodejs/vision-api/index.js#L32
GCS_BUCKET_OUTPUT,repo,README.md,2,2,-,-,-,https://github.com/google/gps_data_solutions/blob/b2d096e2c7c282698332422e742875636f12e0db/README.md,https://github.com/google/gps_data_solutions/blob/5fb54bbc0aadb0f077da4c43cd7cd0c4607f3225/go/split_file/split_file.go#L78
GCS_DIRECTORY_OUTPUT,repo,README.md,2,2,-,-,-,https://github.com/google/gps_data_solutions/blob/b2d096e2c7c282698332422e742875636f12e0db/README.md,https://github.com/google/gps_data_solutions/blob/5fb54bbc0aadb0f077da4c43cd7cd0c4607f3225/go/split_file/split_file.go#L79
GCS_URI,repo,README.md,4,4,-,-,-,https://github.com/google/gps_data_solutions/blob/b2d096e2c7c282698332422e742875636f12e0db/README.md,https://github.com/google/gps_data_solutions/blob/5fb54bbc0aadb0f077da4c43cd7cd0c4607f3225/go/bq_to_gcs/deploy.sh#L19
PubSub,repo,README.md,1,1,-,-,-,https://github.com/google/gps_data_solutions/blob/b2d096e2c7c282698332422e742875636f12e0db/README.md,https://github.com/google/gps_data_solutions/blob/5fb54bbc0aadb0f077da4c43cd7cd0c4607f3225/go/bq_to_gcs/bq_to_gcs.go#L98
split_file,repo,README.md,2,2,-,-,-,https://github.com/google/gps_data_solutions/blob/b2d096e2c7c282698332422e742875636f12e0db/README.md,https://github.com/google/gps_data_solutions/blob/5fb54bbc0aadb0f077da4c43cd7cd0c4607f3225/go/split_file/split_file.go#L15
