code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,doc_link,source_link
ANSI,repo,README.md,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,https://github.com/google/ansicolor-dart/blob/222b3b88d421f2369f70b594ed6627dbd986b015/README.md,https://github.com/google/ansicolor-dart/blob/222b3b88d421f2369f70b594ed6627dbd986b015/lib/ansicolor.dart#L4
AnsiPen,repo,README.md,-,-,-,6,5,5,5,5,5,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ansicolor-dart/blob/222b3b88d421f2369f70b594ed6627dbd986b015/README.md,https://github.com/google/ansicolor-dart/blob/222b3b88d421f2369f70b594ed6627dbd986b015/lib/ansicolor.dart#L14
AnsiPen(),repo,README.md,-,-,-,-,1,1,1,1,1,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,https://github.com/google/ansicolor-dart/blob/222b3b88d421f2369f70b594ed6627dbd986b015/README.md,https://github.com/google/ansicolor-dart/blob/222b3b88d421f2369f70b594ed6627dbd986b015/test/ansicolor_test.dart#L17
ansiColorDisabled,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,15,15,15,15,https://github.com/google/ansicolor-dart/blob/222b3b88d421f2369f70b594ed6627dbd986b015/README.md,https://github.com/google/ansicolor-dart/blob/222b3b88d421f2369f70b594ed6627dbd986b015/test/browser_test.dart#L8
ansi_demo(),repo,README.md,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ansicolor-dart/blob/222b3b88d421f2369f70b594ed6627dbd986b015/README.md,https://github.com/google/ansicolor-dart/blob/152c07d5d9de68fe686996b7c553a5af9a06fe90/lib/ansicolor.dart#L122
color_disabled,repo,README.md,-,-,-,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,3,3,3,3,3,3,3,3,3,https://github.com/google/ansicolor-dart/blob/222b3b88d421f2369f70b594ed6627dbd986b015/README.md,https://github.com/google/ansicolor-dart/blob/222b3b88d421f2369f70b594ed6627dbd986b015/lib/ansicolor.dart#L6
print(ansi_demo());,repo,README.md,-,-,-,-,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ansicolor-dart/blob/222b3b88d421f2369f70b594ed6627dbd986b015/README.md,https://github.com/google/ansicolor-dart/blob/c3d2a0f2a3cde75a046746406fffe563d5aed5a6/bin/demo.dart#L4
"rgb(r: 1.0, g: 0.8, b: 0.2)",repo,README.md,-,-,-,-,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-,-,-,https://github.com/google/ansicolor-dart/blob/222b3b88d421f2369f70b594ed6627dbd986b015/README.md,https://github.com/google/ansicolor-dart/blob/87bcb96977da02838cf9f8fa697493b7d255b0ab/test/ansicolor_test.dart#L17
white(bold: true),repo,README.md,-,-,-,-,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ansicolor-dart/blob/222b3b88d421f2369f70b594ed6627dbd986b015/README.md,https://github.com/google/ansicolor-dart/blob/222b3b88d421f2369f70b594ed6627dbd986b015/test/ansicolor_test.dart#L87
