code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,doc_link,source_link
API,repo,README.md,-,30,30,30,30,30,30,30,30,30,30,30,31,31,30,30,30,30,30,31,32,34,34,35,35,36,37,37,37,38,38,38,38,68,68,73,75,77,77,84,89,81,85,85,93,https://github.com/google/beacon-platform/blob/d9abacf50f09a6b433f6e4f4660a80e8a4a3600f/README.md,https://github.com/google/beacon-platform/blob/582c0c92fdc634b499472723c482fbc6ad490126/samples/python/setup.py#L11
iOS,repo,README.md,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/beacon-platform/blob/d9abacf50f09a6b433f6e4f4660a80e8a4a3600f/README.md,https://github.com/google/beacon-platform/blob/582c0c92fdc634b499472723c482fbc6ad490126/samples/python/README.md#L13
