code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,doc_link,source_link
ATT,repo,README.md,-,-,-,-,-,-,-,-,-,-,9,9,9,9,https://github.com/google/bumble/blob/e11119c56506941e9407ed7dc1d73ca2c5d37383/README.md,https://github.com/google/bumble/blob/3d14df909c05b1a927c60c066f151a2e34e9ba4b/bumble/gatt_server.py#L54
BLE,repo,README.md,-,-,-,-,-,-,-,-,-,-,14,14,14,14,https://github.com/google/bumble/blob/e11119c56506941e9407ed7dc1d73ca2c5d37383/README.md,https://github.com/google/bumble/blob/3d14df909c05b1a927c60c066f151a2e34e9ba4b/examples/README.md#L71
BR,repo,README.md,-,-,-,-,-,-,-,-,-,-,11,11,11,11,https://github.com/google/bumble/blob/e11119c56506941e9407ed7dc1d73ca2c5d37383/README.md,https://github.com/google/bumble/blob/3d14df909c05b1a927c60c066f151a2e34e9ba4b/bumble/l2cap.py#L1080
EDR,repo,README.md,-,-,-,-,-,-,-,-,-,-,11,11,11,11,https://github.com/google/bumble/blob/e11119c56506941e9407ed7dc1d73ca2c5d37383/README.md,https://github.com/google/bumble/blob/3d14df909c05b1a927c60c066f151a2e34e9ba4b/bumble/l2cap.py#L1080
GAP,repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,1,1,https://github.com/google/bumble/blob/e11119c56506941e9407ed7dc1d73ca2c5d37383/README.md,https://github.com/google/bumble/blob/3d14df909c05b1a927c60c066f151a2e34e9ba4b/bumble/device.py#L428
GATT,repo,README.md,-,-,-,-,-,-,-,-,-,-,72,72,74,74,https://github.com/google/bumble/blob/e11119c56506941e9407ed7dc1d73ca2c5d37383/README.md,https://github.com/google/bumble/blob/3d14df909c05b1a927c60c066f151a2e34e9ba4b/tests/self_test.py#L102
HCI,repo,README.md,-,-,-,-,-,-,-,-,-,-,186,186,186,186,https://github.com/google/bumble/blob/e11119c56506941e9407ed7dc1d73ca2c5d37383/README.md,https://github.com/google/bumble/blob/3d14df909c05b1a927c60c066f151a2e34e9ba4b/examples/run_scanner.py#L35
HFP,repo,README.md,-,-,-,-,-,-,-,-,-,-,2,2,2,2,https://github.com/google/bumble/blob/e11119c56506941e9407ed7dc1d73ca2c5d37383/README.md,https://github.com/google/bumble/blob/3d14df909c05b1a927c60c066f151a2e34e9ba4b/examples/run_hfp_handsfree.py#L147
HID,repo,README.md,-,-,-,-,-,-,-,-,-,-,7,7,7,7,https://github.com/google/bumble/blob/e11119c56506941e9407ed7dc1d73ca2c5d37383/README.md,https://github.com/google/bumble/blob/3d14df909c05b1a927c60c066f151a2e34e9ba4b/examples/keyboard.py#L132
HTML,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/bumble/blob/e11119c56506941e9407ed7dc1d73ca2c5d37383/README.md,https://github.com/google/bumble/blob/3d14df909c05b1a927c60c066f151a2e34e9ba4b/docs/README.md#L7
LICENSE,repo,README.md,96,96,96,96,96,96,96,96,96,96,96,96,96,96,https://github.com/google/bumble/blob/e11119c56506941e9407ed7dc1d73ca2c5d37383/README.md,https://github.com/google/bumble/blob/3d14df909c05b1a927c60c066f151a2e34e9ba4b/web/scanner.py#L7
RFCOMM,repo,README.md,-,-,-,-,-,-,-,-,-,-,14,14,14,14,https://github.com/google/bumble/blob/e11119c56506941e9407ed7dc1d73ca2c5d37383/README.md,https://github.com/google/bumble/blob/3d14df909c05b1a927c60c066f151a2e34e9ba4b/examples/run_rfcomm_client.py#L55
SDP,repo,README.md,-,-,-,-,-,-,-,-,-,-,20,20,20,20,https://github.com/google/bumble/blob/e11119c56506941e9407ed7dc1d73ca2c5d37383/README.md,https://github.com/google/bumble/blob/3d14df909c05b1a927c60c066f151a2e34e9ba4b/examples/run_rfcomm_server.py#L104
SMP,repo,README.md,-,-,-,-,-,-,-,-,-,-,8,8,9,9,https://github.com/google/bumble/blob/e11119c56506941e9407ed7dc1d73ca2c5d37383/README.md,https://github.com/google/bumble/blob/3d14df909c05b1a927c60c066f151a2e34e9ba4b/bumble/smp.py#L16
UART,repo,README.md,-,-,-,-,-,-,-,-,-,-,33,33,33,33,https://github.com/google/bumble/blob/e11119c56506941e9407ed7dc1d73ca2c5d37383/README.md,https://github.com/google/bumble/blob/3d14df909c05b1a927c60c066f151a2e34e9ba4b/examples/README.md#L22
USB,repo,README.md,-,-,-,-,-,-,-,-,-,-,60,61,61,61,https://github.com/google/bumble/blob/e11119c56506941e9407ed7dc1d73ca2c5d37383/README.md,https://github.com/google/bumble/blob/3d14df909c05b1a927c60c066f151a2e34e9ba4b/web/index.html#L7
VHCI,repo,README.md,-,-,-,-,-,-,-,-,-,-,22,22,22,22,https://github.com/google/bumble/blob/e11119c56506941e9407ed7dc1d73ca2c5d37383/README.md,https://github.com/google/bumble/blob/3d14df909c05b1a927c60c066f151a2e34e9ba4b/docs/mkdocs/src/transports/vhci.md#L1
docs/mkdocs/src,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/bumble/blob/e11119c56506941e9407ed7dc1d73ca2c5d37383/README.md,https://github.com/google/bumble/blob/3d14df909c05b1a927c60c066f151a2e34e9ba4b/docs/README.md#L5
logo_framed,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/bumble/blob/e11119c56506941e9407ed7dc1d73ca2c5d37383/README.md,https://github.com/google/bumble/blob/3d14df909c05b1a927c60c066f151a2e34e9ba4b/docs/mkdocs/src/index.md#L4
