code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,doc_link,source_link
/,repo,README.md,47,47,48,47,44,44,44,https://github.com/google/coursebuilder-lti-module/blob/354d6271be909f687b49fa68df6e69613bea9c00/README.md,https://github.com/google/coursebuilder-lti-module/blob/6fae855cae7fe7dfde85899008f1b82d36da20e5/tests/functional_tests.py#L7
IMS,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/coursebuilder-lti-module/blob/354d6271be909f687b49fa68df6e69613bea9c00/README.md,https://github.com/google/coursebuilder-lti-module/blob/6fae855cae7fe7dfde85899008f1b82d36da20e5/src/lti.py#L17
LTI,repo,README.md,105,105,106,103,103,103,103,https://github.com/google/coursebuilder-lti-module/blob/354d6271be909f687b49fa68df6e69613bea9c00/README.md,https://github.com/google/coursebuilder-lti-module/blob/6fae855cae7fe7dfde85899008f1b82d36da20e5/tests/functional_tests.py#L15
examples/coursebuilder,repo,README.md,1,1,1,1,-,-,-,https://github.com/google/coursebuilder-lti-module/blob/354d6271be909f687b49fa68df6e69613bea9c00/README.md,https://github.com/google/coursebuilder-lti-module/blob/64dcaa705794c00d9714bdcc447286229bf603b6/scripts/common.sh#L61
git,repo,README.md,5,5,5,2,0,0,0,https://github.com/google/coursebuilder-lti-module/blob/354d6271be909f687b49fa68df6e69613bea9c00/README.md,https://github.com/google/coursebuilder-lti-module/blob/64dcaa705794c00d9714bdcc447286229bf603b6/scripts/common.sh#L63
https://github.com/google/coursebuilder-lti-module,repo,README.md,-,-,-,-,1,1,1,https://github.com/google/coursebuilder-lti-module/blob/354d6271be909f687b49fa68df6e69613bea9c00/README.md,https://github.com/google/coursebuilder-lti-module/blob/6fae855cae7fe7dfde85899008f1b82d36da20e5/module.yaml#L2
lti.functional_tests,repo,README.md,12,12,24,22,11,11,11,https://github.com/google/coursebuilder-lti-module/blob/354d6271be909f687b49fa68df6e69613bea9c00/README.md,https://github.com/google/coursebuilder-lti-module/blob/6fae855cae7fe7dfde85899008f1b82d36da20e5/module.yaml#L8
run_all_tests,repo,README.md,4,4,4,4,0,0,0,https://github.com/google/coursebuilder-lti-module/blob/354d6271be909f687b49fa68df6e69613bea9c00/README.md,https://github.com/google/coursebuilder-lti-module/blob/64dcaa705794c00d9714bdcc447286229bf603b6/scripts/resources/module.patch#L12
