code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,doc_link,source_link
API,repo,README.md,.,.,.,.,11,11,11,11,12,12,12,12,12,12,12,https://github.com/google/ftc-object-detection/blob/76b74d678ca952a73df5595e920157b82b9a0e97/README.md,https://github.com/google/ftc-object-detection/blob/e8923e208c449dd457b60d84fc21eb715364f0de/training/convert_labels_to_records.py#L45
FTC,repo,README.md,.,.,.,.,8,9,9,9,9,9,9,9,9,9,9,https://github.com/google/ftc-object-detection/blob/76b74d678ca952a73df5595e920157b82b9a0e97/README.md,https://github.com/google/ftc-object-detection/blob/e8923e208c449dd457b60d84fc21eb715364f0de/training/README.md#L195
SDK,repo,README.md,.,.,.,.,-,-,2,2,2,2,2,2,2,2,2,https://github.com/google/ftc-object-detection/blob/76b74d678ca952a73df5595e920157b82b9a0e97/README.md,https://github.com/google/ftc-object-detection/blob/e8923e208c449dd457b60d84fc21eb715364f0de/TFObjectDetector/README.md#L6
TFOD,repo,README.md,.,.,.,.,9,9,9,11,11,11,11,11,11,11,11,https://github.com/google/ftc-object-detection/blob/76b74d678ca952a73df5595e920157b82b9a0e97/README.md,https://github.com/google/ftc-object-detection/blob/e8923e208c449dd457b60d84fc21eb715364f0de/training/README.md#L221
TODO(vasuagrawal),repo,README.md,.,.,.,.,13,13,13,-,-,-,-,-,-,-,-,https://github.com/google/ftc-object-detection/blob/76b74d678ca952a73df5595e920157b82b9a0e97/README.md,https://github.com/google/ftc-object-detection/blob/ad989cc0cadb83abec41ce97f3682f52896d614c/TFObjectDetector/tfod/src/main/java/com/google/ftcresearch/tfod/util/ImageUtils.java#L181
TensorFlow,repo,README.md,.,.,.,.,55,55,55,55,58,58,58,58,58,58,58,https://github.com/google/ftc-object-detection/blob/76b74d678ca952a73df5595e920157b82b9a0e97/README.md,https://github.com/google/ftc-object-detection/blob/e8923e208c449dd457b60d84fc21eb715364f0de/training/convert_labels_to_records.py#L41
