code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,doc_link,source_link
--anchors-only,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,https://github.com/google/pre-commit-tool-hooks/blob/26cc20f971cad7dee54e1fcccb960b4e19b2bdce/README.md,https://github.com/google/pre-commit-tool-hooks/blob/cb78d9293306d9f737c64d9702bbaa88e157caaa/pre_commit_hooks/check_links_test.py#L80
--custom_format,repo,README.md,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/pre-commit-tool-hooks/blob/26cc20f971cad7dee54e1fcccb960b4e19b2bdce/README.md,https://github.com/google/pre-commit-tool-hooks/blob/cb78d9293306d9f737c64d9702bbaa88e157caaa/pre_commit_hooks/check_copyright_test.py#L115
.pre-commit-config.yaml,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pre-commit-tool-hooks/blob/26cc20f971cad7dee54e1fcccb960b4e19b2bdce/README.md,code_element is a file name
.prettierrc.yaml,repo,README.md,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pre-commit-tool-hooks/blob/26cc20f971cad7dee54e1fcccb960b4e19b2bdce/README.md,code_element is a file name
ANY,repo,README.md,14,14,14,14,14,14,16,16,18,18,18,18,18,23,23,23,https://github.com/google/pre-commit-tool-hooks/blob/26cc20f971cad7dee54e1fcccb960b4e19b2bdce/README.md,https://github.com/google/pre-commit-tool-hooks/blob/cb78d9293306d9f737c64d9702bbaa88e157caaa/setup.py#L16
AS,repo,README.md,14,14,14,14,14,14,16,16,18,18,18,18,18,23,23,23,https://github.com/google/pre-commit-tool-hooks/blob/26cc20f971cad7dee54e1fcccb960b4e19b2bdce/README.md,https://github.com/google/pre-commit-tool-hooks/blob/cb78d9293306d9f737c64d9702bbaa88e157caaa/setup.py#L15
BASIS,repo,README.md,14,14,14,14,14,14,16,16,18,18,18,18,18,23,23,23,https://github.com/google/pre-commit-tool-hooks/blob/26cc20f971cad7dee54e1fcccb960b4e19b2bdce/README.md,https://github.com/google/pre-commit-tool-hooks/blob/cb78d9293306d9f737c64d9702bbaa88e157caaa/setup.py#L15
CONDITIONS,repo,README.md,16,16,16,16,16,16,18,18,20,20,20,20,20,25,25,25,https://github.com/google/pre-commit-tool-hooks/blob/26cc20f971cad7dee54e1fcccb960b4e19b2bdce/README.md,https://github.com/google/pre-commit-tool-hooks/blob/cb78d9293306d9f737c64d9702bbaa88e157caaa/setup.py#L16
IS,repo,README.md,14,14,14,14,14,14,16,16,18,18,18,18,18,23,23,23,https://github.com/google/pre-commit-tool-hooks/blob/26cc20f971cad7dee54e1fcccb960b4e19b2bdce/README.md,https://github.com/google/pre-commit-tool-hooks/blob/cb78d9293306d9f737c64d9702bbaa88e157caaa/setup.py#L15
KIND,repo,README.md,14,14,14,14,14,14,16,16,18,18,18,18,18,23,23,23,https://github.com/google/pre-commit-tool-hooks/blob/26cc20f971cad7dee54e1fcccb960b4e19b2bdce/README.md,https://github.com/google/pre-commit-tool-hooks/blob/cb78d9293306d9f737c64d9702bbaa88e157caaa/setup.py#L16
LICENSE,repo,README.md,16,16,16,16,16,16,18,18,20,20,20,20,20,25,25,25,https://github.com/google/pre-commit-tool-hooks/blob/26cc20f971cad7dee54e1fcccb960b4e19b2bdce/README.md,https://github.com/google/pre-commit-tool-hooks/blob/cb78d9293306d9f737c64d9702bbaa88e157caaa/setup.py#L12
LLC,repo,README.md,12,12,12,12,12,12,14,14,16,16,16,16,16,21,21,21,https://github.com/google/pre-commit-tool-hooks/blob/26cc20f971cad7dee54e1fcccb960b4e19b2bdce/README.md,https://github.com/google/pre-commit-tool-hooks/blob/cb78d9293306d9f737c64d9702bbaa88e157caaa/setup.py#L6
OF,repo,README.md,15,15,15,15,15,15,17,17,19,19,19,19,19,24,24,24,https://github.com/google/pre-commit-tool-hooks/blob/26cc20f971cad7dee54e1fcccb960b4e19b2bdce/README.md,https://github.com/google/pre-commit-tool-hooks/blob/cb78d9293306d9f737c64d9702bbaa88e157caaa/setup.py#L16
OR,repo,README.md,14,14,14,14,14,14,16,16,18,18,18,18,18,23,23,23,https://github.com/google/pre-commit-tool-hooks/blob/26cc20f971cad7dee54e1fcccb960b4e19b2bdce/README.md,https://github.com/google/pre-commit-tool-hooks/blob/cb78d9293306d9f737c64d9702bbaa88e157caaa/setup.py#L16
PATH_PATTERN,repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/pre-commit-tool-hooks/blob/26cc20f971cad7dee54e1fcccb960b4e19b2bdce/README.md,https://github.com/google/pre-commit-tool-hooks/blob/cb78d9293306d9f737c64d9702bbaa88e157caaa/pre_commit_hooks/check_copyright.py#L73
PER_LINE_PREFIX,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pre-commit-tool-hooks/blob/26cc20f971cad7dee54e1fcccb960b4e19b2bdce/README.md,https://github.com/google/pre-commit-tool-hooks/blob/cb78d9293306d9f737c64d9702bbaa88e157caaa/pre_commit_hooks/check_copyright.py#L73
PREFIX,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pre-commit-tool-hooks/blob/26cc20f971cad7dee54e1fcccb960b4e19b2bdce/README.md,https://github.com/google/pre-commit-tool-hooks/blob/cb78d9293306d9f737c64d9702bbaa88e157caaa/pre_commit_hooks/check_copyright.py#L73
SUFFIX,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pre-commit-tool-hooks/blob/26cc20f971cad7dee54e1fcccb960b4e19b2bdce/README.md,https://github.com/google/pre-commit-tool-hooks/blob/cb78d9293306d9f737c64d9702bbaa88e157caaa/pre_commit_hooks/check_copyright.py#L73
WARRANTIES,repo,README.md,14,14,14,14,14,14,16,16,18,18,18,18,18,23,23,23,https://github.com/google/pre-commit-tool-hooks/blob/26cc20f971cad7dee54e1fcccb960b4e19b2bdce/README.md,https://github.com/google/pre-commit-tool-hooks/blob/cb78d9293306d9f737c64d9702bbaa88e157caaa/setup.py#L16
WITHOUT,repo,README.md,14,14,14,14,14,14,16,16,18,18,18,18,18,23,23,23,https://github.com/google/pre-commit-tool-hooks/blob/26cc20f971cad7dee54e1fcccb960b4e19b2bdce/README.md,https://github.com/google/pre-commit-tool-hooks/blob/cb78d9293306d9f737c64d9702bbaa88e157caaa/setup.py#L16
YYYY,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/pre-commit-tool-hooks/blob/26cc20f971cad7dee54e1fcccb960b4e19b2bdce/README.md,https://github.com/google/pre-commit-tool-hooks/blob/cb78d9293306d9f737c64d9702bbaa88e157caaa/pre_commit_hooks/check_copyright_test.py#L69
custom_format,repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/pre-commit-tool-hooks/blob/26cc20f971cad7dee54e1fcccb960b4e19b2bdce/README.md,https://github.com/google/pre-commit-tool-hooks/blob/cb78d9293306d9f737c64d9702bbaa88e157caaa/pre_commit_hooks/check_copyright.py#L113
tabWidth,repo,README.md,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,https://github.com/google/pre-commit-tool-hooks/blob/26cc20f971cad7dee54e1fcccb960b4e19b2bdce/README.md,https://github.com/google/pre-commit-tool-hooks/blob/cb78d9293306d9f737c64d9702bbaa88e157caaa/.prettierrc.yaml#L18
