code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,doc_link,source_link
$selected,repo,README.md,8,8,8,8,16,16,16,16,16,16,22,22,22,22,https://github.com/google/uniflow-polymer/blob/48acf500eb817b45dd6ef56a6f9d0b116dda195c/README.md,https://github.com/google/uniflow-polymer/blob/dce13b9d10ffa2e7b68c8e1c4bd8e03d0a0ece65/test/list-view_test.html#L85
'model',repo,README.md,6,6,6,6,11,11,11,11,11,11,15,15,15,15,https://github.com/google/uniflow-polymer/blob/48acf500eb817b45dd6ef56a6f9d0b116dda195c/README.md,https://github.com/google/uniflow-polymer/blob/dce13b9d10ffa2e7b68c8e1c4bd8e03d0a0ece65/test/model-view_test.html#L83
<some-element>,repo,README.md,2,2,2,2,2,2,2,2,2,2,4,4,4,4,https://github.com/google/uniflow-polymer/blob/48acf500eb817b45dd6ef56a6f9d0b116dda195c/README.md,https://github.com/google/uniflow-polymer/blob/dce13b9d10ffa2e7b68c8e1c4bd8e03d0a0ece65/application-state.html#L64
ActionDispatcher,repo,README.md,5,5,5,5,8,8,8,9,9,9,12,12,12,12,https://github.com/google/uniflow-polymer/blob/48acf500eb817b45dd6ef56a6f9d0b116dda195c/README.md,https://github.com/google/uniflow-polymer/blob/dce13b9d10ffa2e7b68c8e1c4bd8e03d0a0ece65/test/action-dispatcher_test.html#L21
ActionEmitter,repo,README.md,4,4,4,4,6,6,6,10,10,10,21,21,21,21,https://github.com/google/uniflow-polymer/blob/48acf500eb817b45dd6ef56a6f9d0b116dda195c/README.md,https://github.com/google/uniflow-polymer/blob/dce13b9d10ffa2e7b68c8e1c4bd8e03d0a0ece65/todomvc/elements/todo-header.html#L20
ApplicationState,repo,README.md,4,4,4,4,6,6,6,7,7,7,-,-,-,-,https://github.com/google/uniflow-polymer/blob/48acf500eb817b45dd6ef56a6f9d0b116dda195c/README.md,https://github.com/google/uniflow-polymer/blob/227059016a602b402cbf38cbd5b60954fca03488/todomvc/elements/todo-app.js#L7
DOM,repo,README.md,4,4,4,4,4,4,4,4,4,4,11,11,11,11,https://github.com/google/uniflow-polymer/blob/48acf500eb817b45dd6ef56a6f9d0b116dda195c/README.md,https://github.com/google/uniflow-polymer/blob/dce13b9d10ffa2e7b68c8e1c4bd8e03d0a0ece65/application-state.html#L121
HTML,repo,README.md,5,5,5,5,5,5,5,5,5,5,10,10,10,10,https://github.com/google/uniflow-polymer/blob/48acf500eb817b45dd6ef56a6f9d0b116dda195c/README.md,https://github.com/google/uniflow-polymer/blob/dce13b9d10ffa2e7b68c8e1c4bd8e03d0a0ece65/state-aware.html#L32
JavaScript,repo,README.md,5,5,5,5,5,5,5,5,5,5,10,10,10,10,https://github.com/google/uniflow-polymer/blob/48acf500eb817b45dd6ef56a6f9d0b116dda195c/README.md,https://github.com/google/uniflow-polymer/blob/dce13b9d10ffa2e7b68c8e1c4bd8e03d0a0ece65/state-aware.html#L41
ListElement,repo,README.md,-,-,-,-,-,-,-,-,-,-,2,2,2,2,https://github.com/google/uniflow-polymer/blob/48acf500eb817b45dd6ef56a6f9d0b116dda195c/README.md,https://github.com/google/uniflow-polymer/blob/dce13b9d10ffa2e7b68c8e1c4bd8e03d0a0ece65/list-view.html#L47
ListView,repo,README.md,3,3,3,3,5,5,5,6,6,6,-,-,-,-,https://github.com/google/uniflow-polymer/blob/48acf500eb817b45dd6ef56a6f9d0b116dda195c/README.md,https://github.com/google/uniflow-polymer/blob/227059016a602b402cbf38cbd5b60954fca03488/todomvc/elements/todo-items.js#L6
MY_ACTION,repo,README.md,1,1,1,1,9,9,9,9,9,9,10,10,10,10,https://github.com/google/uniflow-polymer/blob/48acf500eb817b45dd6ef56a6f9d0b116dda195c/README.md,https://github.com/google/uniflow-polymer/blob/dce13b9d10ffa2e7b68c8e1c4bd8e03d0a0ece65/test/action-dispatcher_test.html#L89
MY_ACTION(detail),repo,README.md,1,1,1,1,1,1,1,1,1,1,2,2,2,2,https://github.com/google/uniflow-polymer/blob/48acf500eb817b45dd6ef56a6f9d0b116dda195c/README.md,https://github.com/google/uniflow-polymer/blob/dce13b9d10ffa2e7b68c8e1c4bd8e03d0a0ece65/analysis.json#L482
MY_FETCH,repo,README.md,2,2,2,2,2,2,2,2,2,2,4,4,4,4,https://github.com/google/uniflow-polymer/blob/48acf500eb817b45dd6ef56a6f9d0b116dda195c/README.md,https://github.com/google/uniflow-polymer/blob/dce13b9d10ffa2e7b68c8e1c4bd8e03d0a0ece65/model-view.html#L89
MY_SAVE,repo,README.md,2,2,2,2,2,2,2,2,2,2,4,4,4,4,https://github.com/google/uniflow-polymer/blob/48acf500eb817b45dd6ef56a6f9d0b116dda195c/README.md,https://github.com/google/uniflow-polymer/blob/dce13b9d10ffa2e7b68c8e1c4bd8e03d0a0ece65/model-view.html#L72
ModelView,repo,README.md,7,7,7,7,9,9,9,10,10,10,16,16,16,16,https://github.com/google/uniflow-polymer/blob/48acf500eb817b45dd6ef56a6f9d0b116dda195c/README.md,https://github.com/google/uniflow-polymer/blob/dce13b9d10ffa2e7b68c8e1c4bd8e03d0a0ece65/todomvc/elements/todo-item.html#L121
MyApp,repo,README.md,-,-,-,-,-,-,-,-,-,-,6,6,6,6,https://github.com/google/uniflow-polymer/blob/48acf500eb817b45dd6ef56a6f9d0b116dda195c/README.md,https://github.com/google/uniflow-polymer/blob/dce13b9d10ffa2e7b68c8e1c4bd8e03d0a0ece65/application-state.html#L50
MyElement,repo,README.md,-,-,-,-,-,-,-,-,-,-,2,2,2,2,https://github.com/google/uniflow-polymer/blob/48acf500eb817b45dd6ef56a6f9d0b116dda195c/README.md,https://github.com/google/uniflow-polymer/blob/dce13b9d10ffa2e7b68c8e1c4bd8e03d0a0ece65/state-aware.html#L43
MyModel,repo,README.md,-,-,-,-,-,-,-,-,-,-,2,2,2,2,https://github.com/google/uniflow-polymer/blob/48acf500eb817b45dd6ef56a6f9d0b116dda195c/README.md,https://github.com/google/uniflow-polymer/blob/dce13b9d10ffa2e7b68c8e1c4bd8e03d0a0ece65/model-view.html#L69
ParentDispatcher,repo,README.md,-,-,-,-,-,-,-,-,-,-,2,2,2,2,https://github.com/google/uniflow-polymer/blob/48acf500eb817b45dd6ef56a6f9d0b116dda195c/README.md,https://github.com/google/uniflow-polymer/blob/dce13b9d10ffa2e7b68c8e1c4bd8e03d0a0ece65/analysis.json#L482
StateAware,repo,README.md,1,1,1,1,1,1,1,1,1,1,2,2,2,2,https://github.com/google/uniflow-polymer/blob/48acf500eb817b45dd6ef56a6f9d0b116dda195c/README.md,https://github.com/google/uniflow-polymer/blob/dce13b9d10ffa2e7b68c8e1c4bd8e03d0a0ece65/model-view.html#L35
UniFlow,repo,README.md,45,45,45,45,56,56,56,68,68,68,77,77,77,77,https://github.com/google/uniflow-polymer/blob/48acf500eb817b45dd6ef56a6f9d0b116dda195c/README.md,https://github.com/google/uniflow-polymer/blob/dce13b9d10ffa2e7b68c8e1c4bd8e03d0a0ece65/todomvc/manifest.json#L4
