code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,doc_link,source_link
AES,repo,README.md,22,22,24,24,24,24,24,24,https://github.com/google/securemessage/blob/3955ec1700b9381a2562df35d48e42487a33d7a1/README.md,https://github.com/google/securemessage/blob/69a02984d4563c6c21132ee882d1d3df1981f5a1/cpp/test/securemessage/crypto_ops_test.cc#L112
ANSI,repo,README.md,76,76,0,0,0,0,0,0,https://github.com/google/securemessage/blob/3955ec1700b9381a2562df35d48e42487a33d7a1/README.md,https://github.com/google/securemessage/blob/81e4bc35fc48157df019f59f583c484e0a6556c4/cpp/third-party/google/protobuf/protobuf-2.5.0/src/google/protobuf/generated_message_reflection.h#L365
API,repo,README.md,88,88,0,0,0,0,0,0,https://github.com/google/securemessage/blob/3955ec1700b9381a2562df35d48e42487a33d7a1/README.md,https://github.com/google/securemessage/blob/81e4bc35fc48157df019f59f583c484e0a6556c4/cpp/third-party/google/protobuf/protobuf-2.5.0/src/google/protobuf/unknown_field_set.h#L187
CBC,repo,README.md,2,2,2,2,2,2,2,2,https://github.com/google/securemessage/blob/3955ec1700b9381a2562df35d48e42487a33d7a1/README.md,https://github.com/google/securemessage/blob/69a02984d4563c6c21132ee882d1d3df1981f5a1/cpp/include/securemessage/crypto_ops.h#L385
CPU,repo,README.md,72,72,0,0,0,0,0,0,https://github.com/google/securemessage/blob/3955ec1700b9381a2562df35d48e42487a33d7a1/README.md,https://github.com/google/securemessage/blob/81e4bc35fc48157df019f59f583c484e0a6556c4/cpp/third-party/google/protobuf/protobuf-2.5.0/src/google/protobuf/stubs/atomicops_internals_x86_gcc.cc#L31
CryptoOps,repo,README.md,350,350,352,352,361,361,361,361,https://github.com/google/securemessage/blob/3955ec1700b9381a2562df35d48e42487a33d7a1/README.md,https://github.com/google/securemessage/blob/69a02984d4563c6c21132ee882d1d3df1981f5a1/cpp/test/securemessage/public_key_proto_util_test.cc#L28
EC,repo,README.md,6,6,6,6,6,6,6,6,https://github.com/google/securemessage/blob/3955ec1700b9381a2562df35d48e42487a33d7a1/README.md,https://github.com/google/securemessage/blob/69a02984d4563c6c21132ee882d1d3df1981f5a1/cpp/src/securemessage/crypto_ops_openssl.cc#L955
HKDF,repo,README.md,10,10,10,10,10,10,10,10,https://github.com/google/securemessage/blob/3955ec1700b9381a2562df35d48e42487a33d7a1/README.md,https://github.com/google/securemessage/blob/69a02984d4563c6c21132ee882d1d3df1981f5a1/cpp/test/securemessage/crypto_ops_test.cc#L81
HMAC,repo,README.md,14,14,11,11,11,11,11,11,https://github.com/google/securemessage/blob/3955ec1700b9381a2562df35d48e42487a33d7a1/README.md,https://github.com/google/securemessage/blob/69a02984d4563c6c21132ee882d1d3df1981f5a1/cpp/src/securemessage/crypto_ops_openssl.cc#L157
MAC,repo,README.md,4,4,4,4,4,4,4,4,https://github.com/google/securemessage/blob/3955ec1700b9381a2562df35d48e42487a33d7a1/README.md,https://github.com/google/securemessage/blob/69a02984d4563c6c21132ee882d1d3df1981f5a1/cpp/include/securemessage/crypto_ops.h#L420
NIST,repo,README.md,3,3,3,3,3,3,3,3,https://github.com/google/securemessage/blob/3955ec1700b9381a2562df35d48e42487a33d7a1/README.md,https://github.com/google/securemessage/blob/69a02984d4563c6c21132ee882d1d3df1981f5a1/proto/securemessage.proto#L96
PKCS,repo,README.md,3,3,3,3,3,3,3,3,https://github.com/google/securemessage/blob/3955ec1700b9381a2562df35d48e42487a33d7a1/README.md,https://github.com/google/securemessage/blob/69a02984d4563c6c21132ee882d1d3df1981f5a1/cpp/src/securemessage/crypto_ops_openssl.cc#L284
PublicKeyProtoUtil,repo,README.md,41,41,41,41,41,41,41,41,https://github.com/google/securemessage/blob/3955ec1700b9381a2562df35d48e42487a33d7a1/README.md,https://github.com/google/securemessage/blob/69a02984d4563c6c21132ee882d1d3df1981f5a1/cpp/test/securemessage/public_key_proto_util_test.cc#L70
RFC,repo,README.md,10,10,8,8,8,8,8,8,https://github.com/google/securemessage/blob/3955ec1700b9381a2562df35d48e42487a33d7a1/README.md,https://github.com/google/securemessage/blob/69a02984d4563c6c21132ee882d1d3df1981f5a1/proto/securemessage.proto#L92
RSA,repo,README.md,33,33,33,33,33,33,33,33,https://github.com/google/securemessage/blob/3955ec1700b9381a2562df35d48e42487a33d7a1/README.md,https://github.com/google/securemessage/blob/69a02984d4563c6c21132ee882d1d3df1981f5a1/proto/securemessage.proto#L104
SHA,repo,README.md,13,13,14,14,14,14,14,14,https://github.com/google/securemessage/blob/3955ec1700b9381a2562df35d48e42487a33d7a1/README.md,https://github.com/google/securemessage/blob/69a02984d4563c6c21132ee882d1d3df1981f5a1/cpp/include/securemessage/crypto_ops.h#L144
SecureMessage,repo,README.md,67,68,68,68,68,68,68,68,https://github.com/google/securemessage/blob/3955ec1700b9381a2562df35d48e42487a33d7a1/README.md,https://github.com/google/securemessage/blob/69a02984d4563c6c21132ee882d1d3df1981f5a1/proto/securemessage.proto#L15
SecureMessageParser,repo,README.md,21,21,21,21,21,21,21,21,https://github.com/google/securemessage/blob/3955ec1700b9381a2562df35d48e42487a33d7a1/README.md,https://github.com/google/securemessage/blob/69a02984d4563c6c21132ee882d1d3df1981f5a1/cpp/test/securemessage/secure_message_parser_test.cc#L74
