code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,doc_link,source_link
AEAD,repo,README.md,1,1,1,1,1,1,https://github.com/google/aegis_cipher/blob/b388c9d82dd8dd9b289f9617e29a1877ececfe07/README.md,https://github.com/google/aegis_cipher/blob/e8860a84aa8e12cbca62a77224563c2217776a68/aegis128L.h#L119
AEGIS,repo,README.md,3,4,4,4,4,4,https://github.com/google/aegis_cipher/blob/b388c9d82dd8dd9b289f9617e29a1877ececfe07/README.md,https://github.com/google/aegis_cipher/blob/e8860a84aa8e12cbca62a77224563c2217776a68/vec128_ppc_intrinsics.h#L28
AEGIS128L,repo,README.md,3,3,3,3,3,3,https://github.com/google/aegis_cipher/blob/b388c9d82dd8dd9b289f9617e29a1877ececfe07/README.md,https://github.com/google/aegis_cipher/blob/e8860a84aa8e12cbca62a77224563c2217776a68/aegis128L_test.json#L2
AES,repo,README.md,-,2,2,2,2,2,https://github.com/google/aegis_cipher/blob/b388c9d82dd8dd9b289f9617e29a1877ececfe07/README.md,https://github.com/google/aegis_cipher/blob/e8860a84aa8e12cbca62a77224563c2217776a68/vec128_ppc_intrinsics.h#L27
API,repo,README.md,2,4,4,4,4,4,https://github.com/google/aegis_cipher/blob/b388c9d82dd8dd9b289f9617e29a1877ececfe07/README.md,https://github.com/google/aegis_cipher/blob/e8860a84aa8e12cbca62a77224563c2217776a68/vec128_ppc_intrinsics.h#L74
PPC,repo,README.md,-,3,3,3,3,3,https://github.com/google/aegis_cipher/blob/b388c9d82dd8dd9b289f9617e29a1877ececfe07/README.md,https://github.com/google/aegis_cipher/blob/e8860a84aa8e12cbca62a77224563c2217776a68/vec128_ppc_intrinsics.h#L26
aegis128L,repo,README.md,3,4,4,4,4,4,https://github.com/google/aegis_cipher/blob/b388c9d82dd8dd9b289f9617e29a1877ececfe07/README.md,https://github.com/google/aegis_cipher/blob/e8860a84aa8e12cbca62a77224563c2217776a68/vec128_ppc_intrinsics.h#L45
aegis128L_test,repo,README.md,5,5,5,5,5,6,https://github.com/google/aegis_cipher/blob/b388c9d82dd8dd9b289f9617e29a1877ececfe07/README.md,https://github.com/google/aegis_cipher/blob/e8860a84aa8e12cbca62a77224563c2217776a68/aegis128L_test.cc#L326
