code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,doc_link,source_link
"AddSample([]string{""method"", ""const""}, 200)",repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/go-metrics-stackdriver/blob/04a556a4232c9774df7fc7088ac9337eabc4ad95/README.md,https://github.com/google/go-metrics-stackdriver/blob/da14b6ef414d43e673806dbbfec71ca6e8405839/example/main.go#L110
GCP,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,https://github.com/google/go-metrics-stackdriver/blob/04a556a4232c9774df7fc7088ac9337eabc4ad95/README.md,https://github.com/google/go-metrics-stackdriver/blob/da14b6ef414d43e673806dbbfec71ca6e8405839/stackdriver.go#L80
"IncrCounter([]string{""baz""}, 1)",repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/go-metrics-stackdriver/blob/04a556a4232c9774df7fc7088ac9337eabc4ad95/README.md,https://github.com/google/go-metrics-stackdriver/blob/da14b6ef414d43e673806dbbfec71ca6e8405839/example/main.go#L108
MetricSink,repo,README.md,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/go-metrics-stackdriver/blob/04a556a4232c9774df7fc7088ac9337eabc4ad95/README.md,https://github.com/google/go-metrics-stackdriver/blob/da14b6ef414d43e673806dbbfec71ca6e8405839/stackdriver.go#L47
NewSink,repo,README.md,-,-,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,7,7,7,7,7,7,7,7,7,https://github.com/google/go-metrics-stackdriver/blob/04a556a4232c9774df7fc7088ac9337eabc4ad95/README.md,https://github.com/google/go-metrics-stackdriver/blob/da14b6ef414d43e673806dbbfec71ca6e8405839/stackdriver_test.go#L129
ProjectID,repo,README.md,-,-,7,7,15,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,17,17,17,17,17,17,17,17,17,https://github.com/google/go-metrics-stackdriver/blob/04a556a4232c9774df7fc7088ac9337eabc4ad95/README.md,https://github.com/google/go-metrics-stackdriver/blob/da14b6ef414d43e673806dbbfec71ca6e8405839/stackdriver_test.go#L1040
"SetGauge([]string{""foo""}, 42)",repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/go-metrics-stackdriver/blob/04a556a4232c9774df7fc7088ac9337eabc4ad95/README.md,https://github.com/google/go-metrics-stackdriver/blob/da14b6ef414d43e673806dbbfec71ca6e8405839/example/main.go#L107
TaskInfo,repo,README.md,-,-,8,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/go-metrics-stackdriver/blob/04a556a4232c9774df7fc7088ac9337eabc4ad95/README.md,https://github.com/google/go-metrics-stackdriver/blob/de9a6c4b8dcbb90e394ab82b704f5106f6717324/stackdriver_test.go#L34
go-metrics,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,48,48,48,https://github.com/google/go-metrics-stackdriver/blob/04a556a4232c9774df7fc7088ac9337eabc4ad95/README.md,https://github.com/google/go-metrics-stackdriver/blob/da14b6ef414d43e673806dbbfec71ca6e8405839/vault/vault_test.go#L19
projectID,repo,README.md,-,-,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,https://github.com/google/go-metrics-stackdriver/blob/04a556a4232c9774df7fc7088ac9337eabc4ad95/README.md,https://github.com/google/go-metrics-stackdriver/blob/da14b6ef414d43e673806dbbfec71ca6e8405839/example/main.go#L43
tag_generic_task,repo,README.md,-,-,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/go-metrics-stackdriver/blob/04a556a4232c9774df7fc7088ac9337eabc4ad95/README.md,https://github.com/google/go-metrics-stackdriver/blob/da14b6ef414d43e673806dbbfec71ca6e8405839/stackdriver.go#L101
