code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,doc_link,source_link
API,repo,README.md,0,2,2,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9,18,18,18,18,18,18,https://github.com/google/web-activities/blob/151cfbd2dfec101f9e43fd681a4ef98ac8f3dd05/README.md,https://github.com/google/web-activities/blob/fb07fcab84e0e672bc2e363d1075615f0119366b/src/utils.js#L354
Activities,repo,README.md,0,70,75,75,83,83,83,78,78,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/web-activities/blob/151cfbd2dfec101f9e43fd681a4ef98ac8f3dd05/README.md,https://github.com/google/web-activities/blob/08d3f00f2a732bb000271b8387093629b473a451/test/yield.js#L2
ActivityHosts,repo,README.md,-,-,-,-,-,-,-,-,-,-,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/web-activities/blob/151cfbd2dfec101f9e43fd681a4ef98ac8f3dd05/README.md,https://github.com/google/web-activities/blob/fb07fcab84e0e672bc2e363d1075615f0119366b/test/functional/activity-hosts-test.js#L18
ActivityOpenOptionsDef,repo,README.md,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,https://github.com/google/web-activities/blob/151cfbd2dfec101f9e43fd681a4ef98ac8f3dd05/README.md,https://github.com/google/web-activities/blob/fb07fcab84e0e672bc2e363d1075615f0119366b/src/activity-window-port.js#L21
ActivityPorts,repo,README.md,-,-,-,-,-,-,-,-,-,-,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,19,19,https://github.com/google/web-activities/blob/151cfbd2dfec101f9e43fd681a4ef98ac8f3dd05/README.md,https://github.com/google/web-activities/blob/fb07fcab84e0e672bc2e363d1075615f0119366b/test/functional/activity-ports-test.js#L18
TODO,repo,README.md,0,5,5,5,9,13,13,17,17,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/web-activities/blob/151cfbd2dfec101f9e43fd681a4ef98ac8f3dd05/README.md,https://github.com/google/web-activities/blob/08d3f00f2a732bb000271b8387093629b473a451/src/activity-window-port.js#L373
URL,repo,README.md,0,1,2,3,18,28,28,41,41,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/web-activities/blob/151cfbd2dfec101f9e43fd681a4ef98ac8f3dd05/README.md,https://github.com/google/web-activities/blob/08d3f00f2a732bb000271b8387093629b473a451/third_party/babel/README.md#L1
activities.connectHost(),repo,README.md,0,4,4,4,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/web-activities/blob/151cfbd2dfec101f9e43fd681a4ef98ac8f3dd05/README.md,https://github.com/google/web-activities/blob/3df0fb5fac70c2e28ca79ca52cc93d11fa8ec871/test/manual/host.html#L51
activities.hosts.connectHost(),repo,README.md,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/web-activities/blob/151cfbd2dfec101f9e43fd681a4ef98ac8f3dd05/README.md,https://github.com/google/web-activities/blob/fb07fcab84e0e672bc2e363d1075615f0119366b/test/manual/host.html#L56
activity-hosts.js,repo,README.md,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/web-activities/blob/151cfbd2dfec101f9e43fd681a4ef98ac8f3dd05/README.md,https://github.com/google/web-activities/blob/fb07fcab84e0e672bc2e363d1075615f0119366b/package.json#L31
