code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,doc_link,source_link
--paper-gui-accent-color,repo,README.md,-,-,1,1,1,1,1,1,https://github.com/google/paper-gui/blob/f6955451c6c16b81842abecd0e30d0e3d2664eb4/README.md,https://github.com/google/paper-gui/blob/b2d7d248a8db17912cc4d3ef1968f798205dead2/elements/paper-gui.html#L41
--paper-gui-accent-contrast-color,repo,README.md,-,-,1,1,1,1,1,1,https://github.com/google/paper-gui/blob/f6955451c6c16b81842abecd0e30d0e3d2664eb4/README.md,https://github.com/google/paper-gui/blob/b2d7d248a8db17912cc4d3ef1968f798205dead2/elements/paper-gui.html#L44
--paper-gui-background-color,repo,README.md,-,-,1,1,1,1,1,1,https://github.com/google/paper-gui/blob/f6955451c6c16b81842abecd0e30d0e3d2664eb4/README.md,https://github.com/google/paper-gui/blob/b2d7d248a8db17912cc4d3ef1968f798205dead2/elements/paper-gui.html#L40
--paper-gui-dialog,repo,README.md,-,-,1,1,1,1,1,1,https://github.com/google/paper-gui/blob/f6955451c6c16b81842abecd0e30d0e3d2664eb4/README.md,https://github.com/google/paper-gui/blob/b2d7d248a8db17912cc4d3ef1968f798205dead2/elements/paper-gui.html#L158
--paper-gui-edit-button,repo,README.md,-,-,1,1,1,1,1,1,https://github.com/google/paper-gui/blob/f6955451c6c16b81842abecd0e30d0e3d2664eb4/README.md,https://github.com/google/paper-gui/blob/b2d7d248a8db17912cc4d3ef1968f798205dead2/elements/paper-gui.html#L167
--paper-gui-text-color,repo,README.md,-,-,1,1,1,1,1,1,https://github.com/google/paper-gui/blob/f6955451c6c16b81842abecd0e30d0e3d2664eb4/README.md,https://github.com/google/paper-gui/blob/b2d7d248a8db17912cc4d3ef1968f798205dead2/elements/paper-gui.html#L39
--paper-gui-ui-color,repo,README.md,-,-,1,1,1,1,1,1,https://github.com/google/paper-gui/blob/f6955451c6c16b81842abecd0e30d0e3d2664eb4/README.md,https://github.com/google/paper-gui/blob/b2d7d248a8db17912cc4d3ef1968f798205dead2/elements/paper-gui.html#L42
--paper-gui-ui-secondary-color,repo,README.md,-,-,1,1,1,1,1,1,https://github.com/google/paper-gui/blob/f6955451c6c16b81842abecd0e30d0e3d2664eb4/README.md,https://github.com/google/paper-gui/blob/b2d7d248a8db17912cc4d3ef1968f798205dead2/elements/paper-gui.html#L43
API,repo,README.md,-,-,1,1,1,2,2,2,https://github.com/google/paper-gui/blob/f6955451c6c16b81842abecd0e30d0e3d2664eb4/README.md,https://github.com/google/paper-gui/blob/b2d7d248a8db17912cc4d3ef1968f798205dead2/test/paper-gui.html#L144
DOM,repo,README.md,-,-,-,-,1,1,1,1,https://github.com/google/paper-gui/blob/f6955451c6c16b81842abecd0e30d0e3d2664eb4/README.md,https://github.com/google/paper-gui/blob/b2d7d248a8db17912cc4d3ef1968f798205dead2/test/paper-gui.html#L136
GUI,repo,README.md,-,-,8,8,8,8,8,8,https://github.com/google/paper-gui/blob/f6955451c6c16b81842abecd0e30d0e3d2664eb4/README.md,https://github.com/google/paper-gui/blob/b2d7d248a8db17912cc4d3ef1968f798205dead2/test/paper-gui.html#L136
HTML,repo,README.md,-,-,-,-,1,1,1,1,https://github.com/google/paper-gui/blob/f6955451c6c16b81842abecd0e30d0e3d2664eb4/README.md,https://github.com/google/paper-gui/blob/b2d7d248a8db17912cc4d3ef1968f798205dead2/demo.html#L96
PaperGUI,repo,README.md,29,31,22,22,22,22,22,22,https://github.com/google/paper-gui/blob/f6955451c6c16b81842abecd0e30d0e3d2664eb4/README.md,https://github.com/google/paper-gui/blob/b2d7d248a8db17912cc4d3ef1968f798205dead2/test/paper-gui.html#L20
PaperGUI(),repo,README.md,-,-,9,9,9,9,9,9,https://github.com/google/paper-gui/blob/f6955451c6c16b81842abecd0e30d0e3d2664eb4/README.md,https://github.com/google/paper-gui/blob/b2d7d248a8db17912cc4d3ef1968f798205dead2/test/paper-gui.html#L123
