code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,doc_link,source_link
--language,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/main.py#L149
API,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,31,31,31,31,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,31,31,31,31,31,31,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/topic_clustering.py#L101
BigQuery,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,20,20,20,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/sql/README.md#L3
CLI,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/alligator2.ipynb#L354
GMB,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,23,23,23,23,23,23,23,23,23,23,23,23,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/test/README.md#L3
GitHub,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/alligator2.ipynb#L285
ID,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,9,9,9,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/main.py#L135
ISO,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/main.py#L151
JSON,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/alligator2.ipynb#L239
PROJECT_ID,repo,README.md,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,22,24,24,26,26,26,26,26,26,12,12,12,12,12,12,12,18,18,18,18,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,22,24,24,26,26,26,26,26,12,12,12,12,12,12,12,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/alligator2/blob/f6ee96d54abd5140fd6830b4b1d7a712d9816231/README.md,https://github.com/google/alligator2/blob/67fb3e33aee540b3a68ea567bafbe317145296b9/sql/sentiment_analysis.sql#L29
