code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,doc_link,source_link
@Override,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,123,123,123,123,123,123,123,123,123,123,134,134,134,135,135,135,135,135,135,135,148,148,148,148,148,148,148,148,149,149,149,149,149,149,149,148,148,148,149,149,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/README.md,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/library/src/main/java/com/google/android/cameraview/DisplayOrientationDetector.java#L53
API,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/README.md,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/library/src/main/api21/com/google/android/cameraview/Camera2.java#L57
CameraView,repo,README.md,.,11,15,32,48,50,50,50,49,49,50,55,59,69,69,69,77,78,78,78,78,78,78,78,78,78,78,79,79,79,79,79,79,79,79,79,79,79,79,79,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,83,83,83,81,81,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/README.md,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/library/src/main/res/values/styles.xml#L16
SurfaceView,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/README.md,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/library/src/main/res/layout/surface_view.xml#L16
TextureView,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/README.md,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/library/src/main/res/layout-v14/texture_view.xml#L16
XML,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/README.md,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/.idea/codeStyleSettings.xml#L128
android:adjustViewBounds,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/README.md,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/library/src/main/res/values/styles.xml#L17
android:id,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,15,15,15,15,15,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/README.md,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/library/src/main/res/layout/surface_view.xml#L17
android:keepScreenOn,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/README.md,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/library/src/androidTest/res/layout/activity_camera_view.xml#L23
android:layout_height,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,13,12,12,12,12,12,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/README.md,https://github.com/google/cameraview/blob/68947cc1643e7434250e099f38f346eae9c46339/library/src/main/res/layout/surface_view.xml#L19
