code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,doc_link,source_link
.tern-project,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,code_element is a file name
@extends,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,https://github.com/google/tern-closure/blob/531065e29023d30e610bc74f042ca319ecd8e4ea/test/cases/interfaceinheritance.js#L42
@implements,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,https://github.com/google/tern-closure/blob/531065e29023d30e610bc74f042ca319ecd8e4ea/test/cases/interfaceinheritance.js#L65
@type,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,35,35,35,35,35,35,35,35,35,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,https://github.com/google/tern-closure/blob/531065e29023d30e610bc74f042ca319ecd8e4ea/test/cases/variable.js#L19
JSDoc,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,https://github.com/google/tern-closure/blob/531065e29023d30e610bc74f042ca319ecd8e4ea/lib/comment.js#L116
TODO,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,30,30,26,27,27,27,26,26,26,26,26,-,-,-,-,-,-,-,-,-,-,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,https://github.com/google/tern-closure/blob/355521ecf468986249e09004614ffb3daa229ba0/test/cases/unimplemented.js#L16
['.'],repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,https://github.com/google/tern-closure/blob/531065e29023d30e610bc74f042ca319ecd8e4ea/lib/finder/grep.js#L68
cb,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,https://github.com/google/tern-closure/blob/531065e29023d30e610bc74f042ca319ecd8e4ea/lib/typemanager.js#L40
closure,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,16,16,16,20,24,24,24,24,24,24,24,23,24,24,24,24,28,28,28,28,29,29,29,30,30,30,30,32,32,32,32,39,39,41,45,45,45,45,45,44,44,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,https://github.com/google/tern-closure/blob/531065e29023d30e610bc74f042ca319ecd8e4ea/test/typemanager_test.js#L51
debug,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/tern-closure/blob/53fec0dfcffa4fe5c75647051365de50b9167ece/README.md,https://github.com/google/tern-closure/blob/531065e29023d30e610bc74f042ca319ecd8e4ea/lib/typemanager.js#L58
