code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,doc_link,source_link
KhronosGroup,repo,README.md,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/vkb/blob/ea7250a69e18518d65eddc6fde53c4ad8fadcfa7/README.md,https://github.com/google/vkb/blob/90120d86ad770357e9a6b601dfae699173600027/DEPS#L7
SPIRV,repo,README.md,-,-,16,16,16,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/vkb/blob/ea7250a69e18518d65eddc6fde53c4ad8fadcfa7/README.md,https://github.com/google/vkb/blob/e10ccb1dcaa4aed118826376d4a18b6c1704151a/cmake/spirv-tools.cmake#L15
VKB,repo,README.md,42,42,42,42,42,72,72,76,76,76,78,78,78,78,78,78,82,82,82,82,82,83,84,84,84,84,84,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,https://github.com/google/vkb/blob/ea7250a69e18518d65eddc6fde53c4ad8fadcfa7/README.md,https://github.com/google/vkb/blob/e10ccb1dcaa4aed118826376d4a18b6c1704151a/tools/roll-all#L2
VKB_BUILD_GLSLANG,repo,README.md,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/vkb/blob/ea7250a69e18518d65eddc6fde53c4ad8fadcfa7/README.md,https://github.com/google/vkb/blob/e10ccb1dcaa4aed118826376d4a18b6c1704151a/CMakeLists.txt#L32
VKB_BUILD_SHADERC,repo,README.md,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/vkb/blob/ea7250a69e18518d65eddc6fde53c4ad8fadcfa7/README.md,https://github.com/google/vkb/blob/e10ccb1dcaa4aed118826376d4a18b6c1704151a/cmake/spirv-headers.cmake#L20
VKB_BUILD_SPIRV_CROSS,repo,README.md,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/vkb/blob/ea7250a69e18518d65eddc6fde53c4ad8fadcfa7/README.md,https://github.com/google/vkb/blob/e10ccb1dcaa4aed118826376d4a18b6c1704151a/CMakeLists.txt#L34
VKB_BUILD_SPIRV_DOCS,repo,README.md,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/vkb/blob/ea7250a69e18518d65eddc6fde53c4ad8fadcfa7/README.md,https://github.com/google/vkb/blob/e10ccb1dcaa4aed118826376d4a18b6c1704151a/CMakeLists.txt#L37
VKB_BUILD_SPIRV_HEADERS,repo,README.md,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,https://github.com/google/vkb/blob/ea7250a69e18518d65eddc6fde53c4ad8fadcfa7/README.md,https://github.com/google/vkb/blob/e10ccb1dcaa4aed118826376d4a18b6c1704151a/CMakeLists.txt#L35
VKB_BUILD_SPIRV_TOOLS,repo,README.md,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/vkb/blob/ea7250a69e18518d65eddc6fde53c4ad8fadcfa7/README.md,https://github.com/google/vkb/blob/e10ccb1dcaa4aed118826376d4a18b6c1704151a/cmake/glslang.cmake#L26
VKB_BUILD_VULKAN_DOCS,repo,README.md,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/vkb/blob/ea7250a69e18518d65eddc6fde53c4ad8fadcfa7/README.md,https://github.com/google/vkb/blob/e10ccb1dcaa4aed118826376d4a18b6c1704151a/CMakeLists.txt#L38
VKB_BUILD_VULKAN_HEADERS,repo,README.md,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/vkb/blob/ea7250a69e18518d65eddc6fde53c4ad8fadcfa7/README.md,https://github.com/google/vkb/blob/e10ccb1dcaa4aed118826376d4a18b6c1704151a/CMakeLists.txt#L40
VKB_BUILD_VULKAN_HPP,repo,README.md,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/vkb/blob/ea7250a69e18518d65eddc6fde53c4ad8fadcfa7/README.md,https://github.com/google/vkb/blob/e10ccb1dcaa4aed118826376d4a18b6c1704151a/CMakeLists.txt#L41
VKB_BUILD_VULKAN_LOADER,repo,README.md,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/vkb/blob/ea7250a69e18518d65eddc6fde53c4ad8fadcfa7/README.md,https://github.com/google/vkb/blob/e10ccb1dcaa4aed118826376d4a18b6c1704151a/CMakeLists.txt#L42
VKB_BUILD_VULKAN_VALIDATION_LAYERS,repo,README.md,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/vkb/blob/ea7250a69e18518d65eddc6fde53c4ad8fadcfa7/README.md,https://github.com/google/vkb/blob/e10ccb1dcaa4aed118826376d4a18b6c1704151a/CMakeLists.txt#L43
