code_element,page_type,page_name,rev_1,rev_2,doc_link,source_link
API,repo,README.md,3,3,https://github.com/google/strabo/blob/a75ccf992cda2143afd3275c65e6fef1dd3cda0f/README.md,https://github.com/google/strabo/blob/edfd59cd2a361df23ca78089255597ecdc62bb93/web/controllers/page_controller.ex#L25
PostGIS,repo,README.md,1,1,https://github.com/google/strabo/blob/a75ccf992cda2143afd3275c65e6fef1dd3cda0f/README.md,https://github.com/google/strabo/blob/edfd59cd2a361df23ca78089255597ecdc62bb93/lib/strabo/uploader.ex#L19
US,repo,README.md,1,1,https://github.com/google/strabo/blob/a75ccf992cda2143afd3275c65e6fef1dd3cda0f/README.md,https://github.com/google/strabo/blob/edfd59cd2a361df23ca78089255597ecdc62bb93/priv/repo/migrations/20150816175041_add_2014_zcta_shapefile.exs#L23
VM,repo,README.md,1,1,https://github.com/google/strabo/blob/a75ccf992cda2143afd3275c65e6fef1dd3cda0f/README.md,https://github.com/google/strabo/blob/edfd59cd2a361df23ca78089255597ecdc62bb93/.gitignore#L21
cd,repo,README.md,1,1,https://github.com/google/strabo/blob/a75ccf992cda2143afd3275c65e6fef1dd3cda0f/README.md,https://github.com/google/strabo/blob/edfd59cd2a361df23ca78089255597ecdc62bb93/infrastructure/srv/salt/strabo/development.sls#L21
localhost:4001,repo,README.md,1,1,https://github.com/google/strabo/blob/a75ccf992cda2143afd3275c65e6fef1dd3cda0f/README.md,https://github.com/google/strabo/blob/edfd59cd2a361df23ca78089255597ecdc62bb93/client/python/strabo/connection.py#L20
nearest_neighbors,repo,README.md,6,6,https://github.com/google/strabo/blob/a75ccf992cda2143afd3275c65e6fef1dd3cda0f/README.md,https://github.com/google/strabo/blob/edfd59cd2a361df23ca78089255597ecdc62bb93/web/controllers/location_controller.ex#L44
run_migrations,repo,README.md,2,2,https://github.com/google/strabo/blob/a75ccf992cda2143afd3275c65e6fef1dd3cda0f/README.md,https://github.com/google/strabo/blob/edfd59cd2a361df23ca78089255597ecdc62bb93/infrastructure/srv/salt/strabo/development.sls#L10
run_tests,repo,README.md,2,2,https://github.com/google/strabo/blob/a75ccf992cda2143afd3275c65e6fef1dd3cda0f/README.md,https://github.com/google/strabo/blob/edfd59cd2a361df23ca78089255597ecdc62bb93/infrastructure/srv/salt/strabo/development.sls#L9
start_server,repo,README.md,2,2,https://github.com/google/strabo/blob/a75ccf992cda2143afd3275c65e6fef1dd3cda0f/README.md,https://github.com/google/strabo/blob/edfd59cd2a361df23ca78089255597ecdc62bb93/infrastructure/srv/salt/strabo/development.sls#L8
