code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,doc_link,source_link
$NDK,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/samba-documents-provider/blob/815b5b8568205bf77751e01485f2e12eb0ef7b24/README.md,https://github.com/google/samba-documents-provider/blob/d211ab6e01acdde6d9c604d71da1964f2708f5cb/sambapatch.diff#L216
ABI,repo,README.md,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/samba-documents-provider/blob/815b5b8568205bf77751e01485f2e12eb0ef7b24/README.md,https://github.com/google/samba-documents-provider/blob/d211ab6e01acdde6d9c604d71da1964f2708f5cb/sambapatch.diff#L186
ARM,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/samba-documents-provider/blob/815b5b8568205bf77751e01485f2e12eb0ef7b24/README.md,https://github.com/google/samba-documents-provider/blob/d211ab6e01acdde6d9c604d71da1964f2708f5cb/sambapatch.diff#L185
ARMv7,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/samba-documents-provider/blob/815b5b8568205bf77751e01485f2e12eb0ef7b24/README.md,https://github.com/google/samba-documents-provider/blob/d211ab6e01acdde6d9c604d71da1964f2708f5cb/sambapatch.diff#L190
NDK,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/samba-documents-provider/blob/815b5b8568205bf77751e01485f2e12eb0ef7b24/README.md,https://github.com/google/samba-documents-provider/blob/d211ab6e01acdde6d9c604d71da1964f2708f5cb/sambapatch.diff#L176
SMB,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/samba-documents-provider/blob/815b5b8568205bf77751e01485f2e12eb0ef7b24/README.md,https://github.com/google/samba-documents-provider/blob/d211ab6e01acdde6d9c604d71da1964f2708f5cb/app/src/main/java/com/google/android/sambadocumentsprovider/mount/MountServerActivity.java#L372
SambaDocumentsProvider,repo,README.md,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/samba-documents-provider/blob/815b5b8568205bf77751e01485f2e12eb0ef7b24/README.md,https://github.com/google/samba-documents-provider/blob/d211ab6e01acdde6d9c604d71da1964f2708f5cb/app/src/main/java/com/google/android/sambadocumentsprovider/provider/SambaDocumentsProvider.java#L71
build.gradle,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/samba-documents-provider/blob/815b5b8568205bf77751e01485f2e12eb0ef7b24/README.md,https://github.com/google/samba-documents-provider/blob/d211ab6e01acdde6d9c604d71da1964f2708f5cb/app/proguard-rules.pro#L5
compile.sh,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/samba-documents-provider/blob/815b5b8568205bf77751e01485f2e12eb0ef7b24/README.md,https://github.com/google/samba-documents-provider/blob/d211ab6e01acdde6d9c604d71da1964f2708f5cb/sambapatch.diff#L157
configure.sh,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/samba-documents-provider/blob/815b5b8568205bf77751e01485f2e12eb0ef7b24/README.md,https://github.com/google/samba-documents-provider/blob/d211ab6e01acdde6d9c604d71da1964f2708f5cb/sambapatch.diff#L167
jniLibs,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/samba-documents-provider/blob/815b5b8568205bf77751e01485f2e12eb0ef7b24/README.md,https://github.com/google/samba-documents-provider/blob/d211ab6e01acdde6d9c604d71da1964f2708f5cb/app/CMakeLists.txt#L43
samba_includes,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/samba-documents-provider/blob/815b5b8568205bf77751e01485f2e12eb0ef7b24/README.md,https://github.com/google/samba-documents-provider/blob/d211ab6e01acdde6d9c604d71da1964f2708f5cb/sambapatch.diff#L772
