code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,doc_link,source_link
@google/semantic-release-replace-plugin,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/semantic-release-replace-plugin/blob/70b91aebfcba9c2e23e13f7736afc9fbe2c8dc71/README.md,https://github.com/google/semantic-release-replace-plugin/blob/70b91aebfcba9c2e23e13f7736afc9fbe2c8dc71/src/index.ts#L77
@semantic,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/semantic-release-replace-plugin/blob/70b91aebfcba9c2e23e13f7736afc9fbe2c8dc71/README.md,https://github.com/google/semantic-release-replace-plugin/blob/70b91aebfcba9c2e23e13f7736afc9fbe2c8dc71/.releaserc#L18
README,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/semantic-release-replace-plugin/blob/70b91aebfcba9c2e23e13f7736afc9fbe2c8dc71/README.md,https://github.com/google/semantic-release-replace-plugin/blob/70b91aebfcba9c2e23e13f7736afc9fbe2c8dc71/package.json#L24
__VERSION__,repo,README.md,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,27,27,27,27,27,27,27,27,27,27,27,27,https://github.com/google/semantic-release-replace-plugin/blob/70b91aebfcba9c2e23e13f7736afc9fbe2c8dc71/README.md,https://github.com/google/semantic-release-replace-plugin/blob/70b91aebfcba9c2e23e13f7736afc9fbe2c8dc71/src/index.ts#L41
__init__,repo,README.md,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/semantic-release-replace-plugin/blob/70b91aebfcba9c2e23e13f7736afc9fbe2c8dc71/README.md,https://github.com/google/semantic-release-replace-plugin/blob/ff5698c9c64a506b9ae1f886df4f29e8ec5f5be5/src/index.ts#L73
__init__.py,repo,README.md,-,-,-,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/semantic-release-replace-plugin/blob/70b91aebfcba9c2e23e13f7736afc9fbe2c8dc71/README.md,https://github.com/google/semantic-release-replace-plugin/blob/70b91aebfcba9c2e23e13f7736afc9fbe2c8dc71/src/index.ts#L81
countMatches,repo,README.md,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/semantic-release-replace-plugin/blob/70b91aebfcba9c2e23e13f7736afc9fbe2c8dc71/README.md,https://github.com/google/semantic-release-replace-plugin/blob/70b91aebfcba9c2e23e13f7736afc9fbe2c8dc71/src/index.ts#L57
hasChanged,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/semantic-release-replace-plugin/blob/70b91aebfcba9c2e23e13f7736afc9fbe2c8dc71/README.md,https://github.com/google/semantic-release-replace-plugin/blob/70b91aebfcba9c2e23e13f7736afc9fbe2c8dc71/src/index.ts#L67
nextRelease,repo,README.md,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/semantic-release-replace-plugin/blob/70b91aebfcba9c2e23e13f7736afc9fbe2c8dc71/README.md,https://github.com/google/semantic-release-replace-plugin/blob/70b91aebfcba9c2e23e13f7736afc9fbe2c8dc71/src/index.ts#L41
numMatches,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/semantic-release-replace-plugin/blob/70b91aebfcba9c2e23e13f7736afc9fbe2c8dc71/README.md,https://github.com/google/semantic-release-replace-plugin/blob/70b91aebfcba9c2e23e13f7736afc9fbe2c8dc71/src/index.ts#L68
