code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,doc_link,source_link
/builder/setup,repo,README.md,-,-,1,1,1,1,1,1,1,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/main.py#L122
ANY,repo,README.md,26,26,27,27,27,27,27,27,27,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/tables.sql#L12
AS,repo,README.md,26,26,27,27,27,27,27,27,27,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/tables.sql#L11
BASIS,repo,README.md,26,26,27,27,27,27,27,27,27,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/tables.sql#L11
CLOSE,repo,README.md,-,-,1,1,1,1,1,1,1,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/static/js/adcase.js#L1012
CONDITIONS,repo,README.md,28,28,29,29,29,29,29,29,29,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/tables.sql#L12
ID,repo,README.md,-,-,-,-,1,1,1,1,1,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/lib/adcase/formats/format_115-double-top-sticky/form_115-double-top-sticky.html#L47
IS,repo,README.md,26,26,27,27,27,27,27,27,27,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/tables.sql#L11
KIND,repo,README.md,26,26,27,27,27,27,27,27,27,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/tables.sql#L12
LICENSE,repo,README.md,26,26,27,27,27,27,27,27,27,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/tables.sql#L8
OF,repo,README.md,27,27,28,28,28,28,28,28,28,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/tables.sql#L12
OPEN,repo,README.md,-,-,2,2,2,2,2,2,2,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/static/js/adcase.js#L997
OR,repo,README.md,26,26,27,27,27,27,27,27,27,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/tables.sql#L12
WARRANTIES,repo,README.md,26,26,27,27,27,27,27,27,27,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/tables.sql#L12
WITHOUT,repo,README.md,26,26,27,27,27,27,27,27,27,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/tables.sql#L12
align:center,repo,README.md,-,-,4,4,4,4,4,4,4,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/static/js/adcase.js#L1010
app.yaml,repo,README.md,-,-,1,1,1,1,1,1,1,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,code_element is a file name
border:1px,repo,README.md,-,-,4,4,4,4,4,4,4,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/static/js/adcase.js#L1008
client_id,repo,README.md,-,-,-,-,1,1,-,-,-,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/0c01b2a00f013be49c15c0d5c4ee51d54967a5f2/src/tpl/header.html#L5
closeIconHTML,repo,README.md,-,-,5,5,5,5,5,5,5,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/static/js/adcase.js#L1012
color:white,repo,README.md,-,-,8,8,8,8,8,8,8,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/static/js/adcase.js#L1010
display:none,repo,README.md,-,-,24,24,24,24,24,24,24,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/tpl/footer.html#L1
family:Arial,repo,README.md,-,-,3,3,3,3,3,3,3,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/static/js/adcase.js#L1009
footerFixed,repo,README.md,-,-,25,25,25,25,25,25,25,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/static/js/adcase.js#L162
google-signin-client_id,repo,README.md,-,-,-,-,-,-,1,1,1,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/tpl/header.html#L5
googletag.pubads(),repo,README.md,-,-,3,3,3,3,3,3,3,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/README.md,https://github.com/google/adcase/blob/ecd878725c1e72fece62c11c484d5eea6b708db2/src/static/js/adcase.js#L75
