code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,doc_link,source_link
BGD,repo,README.md,.,1,1,1,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/README.md,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/vendor/github.com/asaskevich/govalidator/types.go#L156
Blue,repo,README.md,.,28,28,28,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/README.md,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/vendor/google.golang.org/genproto/googleapis/type/color/color.pb.go#L151
BlueGreenDeployment,repo,README.md,.,119,119,119,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/README.md,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/pkg/inject/zz_generated.kubebuilder.go#L15
CRD,repo,README.md,.,19,19,19,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/README.md,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/vendor/k8s.io/apiextensions-apiserver/test/integration/testserver/resources.go#L40
GOBIN,repo,README.md,.,13,13,13,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/README.md,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/vendor/golang.org/x/tools/cmd/toolstash/main.go#L215
KUBECONFIG,repo,README.md,.,2,2,2,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/README.md,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/vendor/k8s.io/client-go/tools/clientcmd/loader.go#L44
RS,repo,README.md,.,18,18,18,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/README.md,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/vendor/golang.org/x/text/language/testdata/CLDRLocaleMatcherTest.txt#L306
ReplicaSet,repo,README.md,.,550,550,550,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/README.md,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/vendor/k8s.io/kube-openapi/pkg/util/proto/testing/swagger.json#L274
ReplicaSets,repo,README.md,.,164,164,164,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/README.md,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/vendor/k8s.io/kube-openapi/pkg/util/proto/testing/swagger.json#L80
bgd,repo,README.md,.,79,79,79,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/README.md,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/pkg/inject/zz_generated.kubebuilder.go#L4
bgd-svc,repo,README.md,.,1,1,1,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/README.md,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/pkg/controller/bluegreendeployment/controller.go#L28
blue,repo,README.md,.,80,80,80,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/README.md,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/vendor/google.golang.org/genproto/googleapis/type/color/color.pb.go#L35
bluegreendeployment,repo,README.md,.,5,5,5,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/README.md,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/pkg/inject/zz_generated.kubebuilder.go#L9
green,repo,README.md,.,52,52,52,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/README.md,https://github.com/google/blue-green-deployment-controller/blob/8cb85fce3814d038863bbd99f122394f50e72685/vendor/k8s.io/apiserver/pkg/server/routes/data/swagger/datafile.go#L1468
