code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,doc_link,source_link
AFL,repo,README.md,.,2,8,8,9,9,9,9,9,9,9,8,8,https://github.com/google/centipede/blob/f5b01464b8c779b4ed76bd07d59355057cb4abb6/README.md,https://github.com/google/centipede/blob/2783c42021954cc677a8d159f17d90d3f9118592/util.h#L133
API,repo,README.md,.,8,8,8,9,9,9,9,9,9,9,9,9,https://github.com/google/centipede/blob/f5b01464b8c779b4ed76bd07d59355057cb4abb6/README.md,https://github.com/google/centipede/blob/2783c42021954cc677a8d159f17d90d3f9118592/runner_interface.h#L21
ASAN,repo,README.md,.,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/centipede/blob/f5b01464b8c779b4ed76bd07d59355057cb4abb6/README.md,https://github.com/google/centipede/blob/2783c42021954cc677a8d159f17d90d3f9118592/runner_interceptors.cc#L16
DESIGN,repo,README.md,.,0,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/centipede/blob/f5b01464b8c779b4ed76bd07d59355057cb4abb6/README.md,https://github.com/google/centipede/blob/2783c42021954cc677a8d159f17d90d3f9118592/doc/sitemap.md#L4
FULL,repo,README.md,.,1,1,1,4,4,4,4,4,4,4,1,1,https://github.com/google/centipede/blob/f5b01464b8c779b4ed76bd07d59355057cb4abb6/README.md,https://github.com/google/centipede/blob/2783c42021954cc677a8d159f17d90d3f9118592/coverage.cc#L87
LibFuzzer,repo,README.md,.,2,3,3,6,6,6,6,6,6,6,4,4,https://github.com/google/centipede/blob/f5b01464b8c779b4ed76bd07d59355057cb4abb6/README.md,https://github.com/google/centipede/blob/2783c42021954cc677a8d159f17d90d3f9118592/util.h#L135
MSAN,repo,README.md,.,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/centipede/blob/f5b01464b8c779b4ed76bd07d59355057cb4abb6/README.md,https://github.com/google/centipede/blob/2783c42021954cc677a8d159f17d90d3f9118592/runner_interceptors.cc#L16
N,repo,README.md,.,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/centipede/blob/f5b01464b8c779b4ed76bd07d59355057cb4abb6/README.md,https://github.com/google/centipede/blob/2783c42021954cc677a8d159f17d90d3f9118592/runner.h#L166
NONE,repo,README.md,.,1,1,1,3,3,3,3,3,3,3,1,1,https://github.com/google/centipede/blob/f5b01464b8c779b4ed76bd07d59355057cb4abb6/README.md,https://github.com/google/centipede/blob/2783c42021954cc677a8d159f17d90d3f9118592/coverage.cc#L91
PARTIAL,repo,README.md,.,1,1,1,4,4,4,4,4,4,4,1,1,https://github.com/google/centipede/blob/f5b01464b8c779b4ed76bd07d59355057cb4abb6/README.md,https://github.com/google/centipede/blob/2783c42021954cc677a8d159f17d90d3f9118592/coverage.cc#L96
SanitizerCoverage,repo,README.md,.,15,17,17,18,18,18,18,18,18,18,17,17,https://github.com/google/centipede/blob/f5b01464b8c779b4ed76bd07d59355057cb4abb6/README.md,https://github.com/google/centipede/blob/2783c42021954cc677a8d159f17d90d3f9118592/runner_sancov.cc#L15
TODO(kcc),repo,README.md,.,23,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/centipede/blob/f5b01464b8c779b4ed76bd07d59355057cb4abb6/README.md,https://github.com/google/centipede/blob/751d7ae984e63982271f901012eb071e89770194/util.h#L101
TSAN,repo,README.md,.,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/centipede/blob/f5b01464b8c779b4ed76bd07d59355057cb4abb6/README.md,https://github.com/google/centipede/blob/2783c42021954cc677a8d159f17d90d3f9118592/runner_interceptors.cc#L16
WD,repo,README.md,.,0,0,0,55,55,55,55,55,55,55,0,0,https://github.com/google/centipede/blob/f5b01464b8c779b4ed76bd07d59355057cb4abb6/README.md,https://github.com/google/centipede/blob/24e96c09c8b712829a2358e19d4d27d803649609/testing/centipede_threaded_test.sh#L37
centipede,repo,README.md,.,118,125,129,224,224,226,226,230,230,230,138,138,https://github.com/google/centipede/blob/f5b01464b8c779b4ed76bd07d59355057cb4abb6/README.md,https://github.com/google/centipede/blob/2783c42021954cc677a8d159f17d90d3f9118592/util.h#L28
first_shard_index,repo,README.md,.,3,3,3,6,6,6,6,6,6,6,3,3,https://github.com/google/centipede/blob/f5b01464b8c779b4ed76bd07d59355057cb4abb6/README.md,https://github.com/google/centipede/blob/2783c42021954cc677a8d159f17d90d3f9118592/environment.cc#L48
libFuzzer,repo,README.md,.,4,15,15,19,19,19,19,19,19,19,16,16,https://github.com/google/centipede/blob/f5b01464b8c779b4ed76bd07d59355057cb4abb6/README.md,https://github.com/google/centipede/blob/2783c42021954cc677a8d159f17d90d3f9118592/util.h#L133
num_runs,repo,README.md,.,7,7,7,36,36,36,36,36,36,36,7,7,https://github.com/google/centipede/blob/f5b01464b8c779b4ed76bd07d59355057cb4abb6/README.md,https://github.com/google/centipede/blob/2783c42021954cc677a8d159f17d90d3f9118592/environment.h#L37
target_example,repo,README.md,.,0,0,0,7,7,7,7,7,7,7,0,0,https://github.com/google/centipede/blob/f5b01464b8c779b4ed76bd07d59355057cb4abb6/README.md,https://github.com/google/centipede/blob/24e96c09c8b712829a2358e19d4d27d803649609/testing/centipede_threaded_test.sh#L24
third_party,repo,README.md,.,1,2,2,65,65,67,67,67,67,67,2,2,https://github.com/google/centipede/blob/f5b01464b8c779b4ed76bd07d59355057cb4abb6/README.md,https://github.com/google/centipede/blob/2783c42021954cc677a8d159f17d90d3f9118592/logging.h#L19
total_shards,repo,README.md,.,20,20,20,37,37,37,37,37,37,37,20,20,https://github.com/google/centipede/blob/f5b01464b8c779b4ed76bd07d59355057cb4abb6/README.md,https://github.com/google/centipede/blob/2783c42021954cc677a8d159f17d90d3f9118592/environment.h#L38
