code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,doc_link,source_link
.xcframework,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/android-auto-companion-ios/blob/b78eeca970bb0af7c0ce51ce20dccb60b78310e9/README.md,https://github.com/google/android-auto-companion-ios/blob/c3dc06c2da7c6164109feb5568b92278883a5b76/Package.swift#L41
API,repo,README.md,-,-,-,-,-,17,17,17,17,17,19,19,19,20,20,20,20,22,https://github.com/google/android-auto-companion-ios/blob/b78eeca970bb0af7c0ce51ce20dccb60b78310e9/README.md,https://github.com/google/android-auto-companion-ios/blob/c3dc06c2da7c6164109feb5568b92278883a5b76/Sources/AndroidAutoTrustAgentProtos/trusted_device_message.pb.swift#L30
AndroidAutoConnectedDeviceManager,repo,README.md,-,-,-,-,-,47,47,47,47,47,47,49,50,53,54,54,55,55,https://github.com/google/android-auto-companion-ios/blob/b78eeca970bb0af7c0ce51ce20dccb60b78310e9/README.md,https://github.com/google/android-auto-companion-ios/blob/c3dc06c2da7c6164109feb5568b92278883a5b76/Tests/AndroidAutoConnectedDeviceManagerTests/UserDefaultsTrustAgentManagerStorageTest.swift#L17
AndroidAutoUKey2Wrapper,repo,README.md,-,-,-,-,-,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/android-auto-companion-ios/blob/b78eeca970bb0af7c0ce51ce20dccb60b78310e9/README.md,https://github.com/google/android-auto-companion-ios/blob/c3dc06c2da7c6164109feb5568b92278883a5b76/Tests/AndroidAutoUKey2WrapperTests/UKey2WrapperTest.swift#L15
BLE,repo,README.md,59,60,60,60,32,29,29,29,29,29,29,29,29,29,29,30,30,30,https://github.com/google/android-auto-companion-ios/blob/b78eeca970bb0af7c0ce51ce20dccb60b78310e9/README.md,https://github.com/google/android-auto-companion-ios/blob/c3dc06c2da7c6164109feb5568b92278883a5b76/Sources/AndroidAutoSecureChannel/SecureBLEChannelFactory.swift#L17
MTU,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/android-auto-companion-ios/blob/b78eeca970bb0af7c0ce51ce20dccb60b78310e9/README.md,https://github.com/google/android-auto-companion-ios/blob/c3dc06c2da7c6164109feb5568b92278883a5b76/Sources/AndroidAutoMessageStream/version2/BLEMessageStreamV2.swift#L81
SDK,repo,README.md,11,12,13,13,1,0,0,0,0,0,0,0,0,0,0,0,0,2,https://github.com/google/android-auto-companion-ios/blob/b78eeca970bb0af7c0ce51ce20dccb60b78310e9/README.md,https://github.com/google/android-auto-companion-ios/blob/c3dc06c2da7c6164109feb5568b92278883a5b76/Sources/AndroidAutoConnectedDeviceManager/ConnectionManager.swift#L141
TestCat,repo,README.md,-,-,-,-,-,3,3,3,3,3,3,3,-,-,-,-,-,-,https://github.com/google/android-auto-companion-ios/blob/b78eeca970bb0af7c0ce51ce20dccb60b78310e9/README.md,https://github.com/google/android-auto-companion-ios/blob/43cfdf8b24f93c2fa6f1b9d87eff02919335a3c9/Tests/AndroidAutoLoggerTests/LoggerTest.swift#L22
TestSystem,repo,README.md,-,-,-,-,-,3,3,3,3,3,3,3,-,-,-,-,-,-,https://github.com/google/android-auto-companion-ios/blob/b78eeca970bb0af7c0ce51ce20dccb60b78310e9/README.md,https://github.com/google/android-auto-companion-ios/blob/43cfdf8b24f93c2fa6f1b9d87eff02919335a3c9/Tests/AndroidAutoLoggerTests/LoggerTest.swift#L22
android,repo,README.md,1358,1359,1360,1364,5,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/android-auto-companion-ios/blob/b78eeca970bb0af7c0ce51ce20dccb60b78310e9/README.md,https://github.com/google/android-auto-companion-ios/blob/575c59a63faa55441be09221d50f6c161a425ff8/ios/AndroidAutoCompanion/Sources/AndroidAutoCompanionProtos/capabilities_exchange.pb.swift#L67
