code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,doc_link,source_link
APACHE,repo,README.md,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,4,https://github.com/google/psci/blob/6880b28480cbff8ea0cd9ecd24c4d05a3aed4ac7/README.md,https://github.com/google/psci/blob/6880b28480cbff8ea0cd9ecd24c4d05a3aed4ac7/src/smccc.rs#L3
HVC,repo,README.md,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,https://github.com/google/psci/blob/6880b28480cbff8ea0cd9ecd24c4d05a3aed4ac7/README.md,https://github.com/google/psci/blob/6880b28480cbff8ea0cd9ecd24c4d05a3aed4ac7/src/lib.rs#L8
LICENSE,repo,README.md,.,.,.,.,.,.,.,11,11,11,11,11,11,11,11,11,https://github.com/google/psci/blob/6880b28480cbff8ea0cd9ecd24c4d05a3aed4ac7/README.md,https://github.com/google/psci/blob/6880b28480cbff8ea0cd9ecd24c4d05a3aed4ac7/src/smccc.rs#L3
MIT,repo,README.md,.,.,.,.,.,.,.,12,12,12,12,12,12,12,12,12,https://github.com/google/psci/blob/6880b28480cbff8ea0cd9ecd24c4d05a3aed4ac7/README.md,https://github.com/google/psci/blob/6880b28480cbff8ea0cd9ecd24c4d05a3aed4ac7/src/smccc.rs#L2
PSCI,repo,README.md,.,.,.,.,.,.,.,8,8,8,8,8,8,8,8,9,https://github.com/google/psci/blob/6880b28480cbff8ea0cd9ecd24c4d05a3aed4ac7/README.md,https://github.com/google/psci/blob/6880b28480cbff8ea0cd9ecd24c4d05a3aed4ac7/src/lib.rs#L5
SMC,repo,README.md,.,.,.,.,.,.,.,5,5,5,5,5,5,5,5,5,https://github.com/google/psci/blob/6880b28480cbff8ea0cd9ecd24c4d05a3aed4ac7/README.md,https://github.com/google/psci/blob/6880b28480cbff8ea0cd9ecd24c4d05a3aed4ac7/src/smccc.rs#L33
SMC32,repo,README.md,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,https://github.com/google/psci/blob/6880b28480cbff8ea0cd9ecd24c4d05a3aed4ac7/README.md,https://github.com/google/psci/blob/6880b28480cbff8ea0cd9ecd24c4d05a3aed4ac7/src/smccc.rs#L61
SMC64,repo,README.md,.,.,.,.,.,.,.,3,3,3,3,3,3,3,3,3,https://github.com/google/psci/blob/6880b28480cbff8ea0cd9ecd24c4d05a3aed4ac7/README.md,https://github.com/google/psci/blob/6880b28480cbff8ea0cd9ecd24c4d05a3aed4ac7/src/smccc.rs#L127
hvc,repo,README.md,.,.,.,.,.,.,.,14,14,14,14,16,16,16,16,16,https://github.com/google/psci/blob/6880b28480cbff8ea0cd9ecd24c4d05a3aed4ac7/README.md,https://github.com/google/psci/blob/6880b28480cbff8ea0cd9ecd24c4d05a3aed4ac7/src/smccc.rs#L7
smc,repo,README.md,.,.,.,.,.,.,.,12,12,12,12,14,14,14,14,14,https://github.com/google/psci/blob/6880b28480cbff8ea0cd9ecd24c4d05a3aed4ac7/README.md,https://github.com/google/psci/blob/6880b28480cbff8ea0cd9ecd24c4d05a3aed4ac7/src/smccc.rs#L7
