code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,doc_link,source_link
CLA,repo,README.md,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/structured_labels/blob/1834bb9ad563fc757f4a3c741fe5e116dd329130/README.md,https://github.com/google/structured_labels/blob/9f6fb8b6c81b46c83769b299e244ebfdbad99e8e/CONTRIBUTING.md#L14
GitHub,repo,README.md,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/structured_labels/blob/1834bb9ad563fc757f4a3c741fe5e116dd329130/README.md,https://github.com/google/structured_labels/blob/9f6fb8b6c81b46c83769b299e244ebfdbad99e8e/CONTRIBUTING.md#L21
MNIST,repo,README.md,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,https://github.com/google/structured_labels/blob/1834bb9ad563fc757f4a3c741fe5e116dd329130/README.md,https://github.com/google/structured_labels/blob/cf8280999cfc06d3036344018dd9fb4d30642ea7/cmnist/data_builder.py#L15
chexpert,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,19,19,19,19,19,https://github.com/google/structured_labels/blob/1834bb9ad563fc757f4a3c741fe5e116dd329130/README.md,https://github.com/google/structured_labels/blob/1834bb9ad563fc757f4a3c741fe5e116dd329130/shared/get_sigma.py#L31
model_to_tune,repo,README.md,-,-,-,-,-,-,-,-,-,4,4,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,27,27,27,27,27,27,27,27,27,27,19,19,19,19,19,19,19,65,71,71,71,71,79,79,80,87,87,93,93,91,74,68,68,68,0,0,0,0,0,0,0,-,-,-,-,-,-,https://github.com/google/structured_labels/blob/1834bb9ad563fc757f4a3c741fe5e116dd329130/README.md,https://github.com/google/structured_labels/blob/89e984c7500e9ac516cb8e6c55cffea80f50eddb/experiments/waterbirds.py#L113
waterbirds,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,14,14,14,14,https://github.com/google/structured_labels/blob/1834bb9ad563fc757f4a3c741fe5e116dd329130/README.md,https://github.com/google/structured_labels/blob/1834bb9ad563fc757f4a3c741fe5e116dd329130/waterbirds/main.py#L15
