code_element,page_type,page_name,rev_1,doc_link,source_link
ANY,repo,README.md,27,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/README.md,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/third_party/nkata/tests/verifyconfig_test.py#L11
AS,repo,README.md,27,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/README.md,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/third_party/nkata/tests/verifyconfig_test.py#L10
BASIS,repo,README.md,27,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/README.md,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/third_party/nkata/tests/verifyconfig_test.py#L10
CONDITIONS,repo,README.md,29,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/README.md,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/third_party/nkata/tests/verifyconfig_test.py#L11
DVD,repo,README.md,2,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/README.md,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/third_party/nkata/scripts/analyze.py#L51
HTML,repo,README.md,7,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/README.md,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/third_party/nkata/third_party/third_party_license.txt#L14
IS,repo,README.md,27,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/README.md,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/third_party/nkata/tests/verifyconfig_test.py#L10
ISO,repo,README.md,20,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/README.md,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/third_party/nkata/scripts/utils/ISOconverter.py#L15
KIND,repo,README.md,27,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/README.md,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/third_party/nkata/tests/verifyconfig_test.py#L11
LICENSE,repo,README.md,33,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/README.md,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/third_party/nkata/tests/verifyconfig_test.py#L7
NOTICE,repo,README.md,6,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/README.md,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/LICENSE#L106
OF,repo,README.md,28,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/README.md,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/third_party/nkata/tests/verifyconfig_test.py#L11
OR,repo,README.md,28,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/README.md,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/third_party/nkata/tests/verifyconfig_test.py#L11
URL,repo,README.md,7,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/README.md,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/third_party/nkata/scripts/utils/generator.py#L56
WARRANTIES,repo,README.md,27,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/README.md,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/third_party/nkata/tests/verifyconfig_test.py#L11
WITHOUT,repo,README.md,27,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/README.md,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/third_party/nkata/tests/verifyconfig_test.py#L11
XX,repo,README.md,1,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/README.md,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/third_party/nkata/config.yaml.example#L7
XXXXXXXX,repo,README.md,1,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/README.md,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/third_party/nkata/config.yaml.example#L7
absolute_link_color,repo,README.md,5,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/README.md,https://github.com/google/offline-content-packager/blob/5a023eeeed4973e452309b434a59ce745487fdd6/third_party/nkata/scripts/bundle.py#L71
