code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,doc_link,source_link
ANY,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,15,15,15,15,15,15,15,15,https://github.com/google/wear-screeninfo/blob/d3f82807f8c1a931a50138d05d07fe9a193c088f/README.md,https://github.com/google/wear-screeninfo/blob/6621211e61811c12fe320263529c7b7184c9940f/wear/src/main/java/net/waynepiekarski/screeninfo/MyWatchFace.java#L12
APK,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,https://github.com/google/wear-screeninfo/blob/d3f82807f8c1a931a50138d05d07fe9a193c088f/README.md,https://github.com/google/wear-screeninfo/blob/6621211e61811c12fe320263529c7b7184c9940f/mobile/src/main/AndroidManifest.xml#L21
AS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,15,15,15,15,15,15,15,15,https://github.com/google/wear-screeninfo/blob/d3f82807f8c1a931a50138d05d07fe9a193c088f/README.md,https://github.com/google/wear-screeninfo/blob/6621211e61811c12fe320263529c7b7184c9940f/wear/src/main/java/net/waynepiekarski/screeninfo/MyWatchFace.java#L11
BASIS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,15,15,15,15,15,15,15,15,https://github.com/google/wear-screeninfo/blob/d3f82807f8c1a931a50138d05d07fe9a193c088f/README.md,https://github.com/google/wear-screeninfo/blob/6621211e61811c12fe320263529c7b7184c9940f/wear/src/main/java/net/waynepiekarski/screeninfo/MyWatchFace.java#L11
CONDITIONS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,17,17,17,17,17,17,17,17,https://github.com/google/wear-screeninfo/blob/d3f82807f8c1a931a50138d05d07fe9a193c088f/README.md,https://github.com/google/wear-screeninfo/blob/6621211e61811c12fe320263529c7b7184c9940f/wear/src/main/java/net/waynepiekarski/screeninfo/MyWatchFace.java#L12
CONTRIBUTING,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,https://github.com/google/wear-screeninfo/blob/d3f82807f8c1a931a50138d05d07fe9a193c088f/README.md,code_element is a file name
IS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,15,15,15,15,15,15,15,15,https://github.com/google/wear-screeninfo/blob/d3f82807f8c1a931a50138d05d07fe9a193c088f/README.md,https://github.com/google/wear-screeninfo/blob/6621211e61811c12fe320263529c7b7184c9940f/wear/src/main/java/net/waynepiekarski/screeninfo/MyWatchFace.java#L11
KIND,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,15,15,15,15,15,15,15,15,https://github.com/google/wear-screeninfo/blob/d3f82807f8c1a931a50138d05d07fe9a193c088f/README.md,https://github.com/google/wear-screeninfo/blob/6621211e61811c12fe320263529c7b7184c9940f/wear/src/main/java/net/waynepiekarski/screeninfo/MyWatchFace.java#L12
LICENSE,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,15,15,15,15,15,15,15,15,https://github.com/google/wear-screeninfo/blob/d3f82807f8c1a931a50138d05d07fe9a193c088f/README.md,https://github.com/google/wear-screeninfo/blob/6621211e61811c12fe320263529c7b7184c9940f/wear/src/main/java/net/waynepiekarski/screeninfo/MyWatchFace.java#L8
OF,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,16,16,16,16,16,16,16,16,https://github.com/google/wear-screeninfo/blob/d3f82807f8c1a931a50138d05d07fe9a193c088f/README.md,https://github.com/google/wear-screeninfo/blob/6621211e61811c12fe320263529c7b7184c9940f/wear/src/main/java/net/waynepiekarski/screeninfo/MyWatchFace.java#L12
