code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,doc_link,source_link
.map(JSON.parse),repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/chained-promise/blob/db5ee70b25274bfb81a08680fdbbdc10cb546109/README.md,https://github.com/google/chained-promise/blob/cb442cd5475d016a301b6c88b558b86ff54eb8f2/examples/wikipedia-list-links/src/index.js#L8
ChainedPromise,repo,README.md,.,.,.,.,.,.,.,24,24,24,24,28,28,28,28,28,30,32,32,46,46,46,46,46,56,58,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,76,76,76,76,https://github.com/google/chained-promise/blob/db5ee70b25274bfb81a08680fdbbdc10cb546109/README.md,https://github.com/google/chained-promise/blob/eb7c2023c93f388600eb1b0751a59de21d60bafd/test/ChainedPromise.spec.ts#L16
ChainedPromise.DONE,repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,12,12,12,12,12,17,19,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,18,18,18,18,https://github.com/google/chained-promise/blob/db5ee70b25274bfb81a08680fdbbdc10cb546109/README.md,https://github.com/google/chained-promise/blob/eb7c2023c93f388600eb1b0751a59de21d60bafd/test/ChainedPromise.spec.ts#L59
JSON,repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/chained-promise/blob/db5ee70b25274bfb81a08680fdbbdc10cb546109/README.md,https://github.com/google/chained-promise/blob/eb7c2023c93f388600eb1b0751a59de21d60bafd/src/ChainedPromise.ts#L277
Object.keys(v.data),repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/chained-promise/blob/db5ee70b25274bfb81a08680fdbbdc10cb546109/README.md,https://github.com/google/chained-promise/blob/eb7c2023c93f388600eb1b0751a59de21d60bafd/examples/wikipedia-list-links/src/index.ts#L17
apiPoint,repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/chained-promise/blob/db5ee70b25274bfb81a08680fdbbdc10cb546109/README.md,https://github.com/google/chained-promise/blob/eb7c2023c93f388600eb1b0751a59de21d60bafd/examples/wikipedia-list-links/src/index.ts#L3
console.log(link.title),repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/chained-promise/blob/db5ee70b25274bfb81a08680fdbbdc10cb546109/README.md,https://github.com/google/chained-promise/blob/eb7c2023c93f388600eb1b0751a59de21d60bafd/examples/wikipedia-list-links/src/index.ts#L19
data,repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,39,39,39,39,39,56,68,110,110,110,110,110,110,110,96,96,96,96,96,96,96,96,96,96,96,119,124,124,129,https://github.com/google/chained-promise/blob/db5ee70b25274bfb81a08680fdbbdc10cb546109/README.md,https://github.com/google/chained-promise/blob/eb7c2023c93f388600eb1b0751a59de21d60bafd/test/ChainedPromise.spec.ts#L29
fetch,repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/chained-promise/blob/db5ee70b25274bfb81a08680fdbbdc10cb546109/README.md,https://github.com/google/chained-promise/blob/eb7c2023c93f388600eb1b0751a59de21d60bafd/examples/wikipedia-list-links/yarn.lock#L5
fetch(apiPoint + '&plcontinue=' + encodeURIComponent(v.continue.plcontinue),repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/chained-promise/blob/db5ee70b25274bfb81a08680fdbbdc10cb546109/README.md,https://github.com/google/chained-promise/blob/eb7c2023c93f388600eb1b0751a59de21d60bafd/examples/wikipedia-list-links/src/index.ts#L12
flatMap,repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,12,12,12,12,12,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/chained-promise/blob/db5ee70b25274bfb81a08680fdbbdc10cb546109/README.md,https://github.com/google/chained-promise/blob/eb7c2023c93f388600eb1b0751a59de21d60bafd/test/ChainedPromise.spec.ts#L93
flatMap((res),repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/chained-promise/blob/db5ee70b25274bfb81a08680fdbbdc10cb546109/README.md,https://github.com/google/chained-promise/blob/eb7c2023c93f388600eb1b0751a59de21d60bafd/examples/wikipedia-list-links/src/index.ts#L7
forEach((link),repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/chained-promise/blob/db5ee70b25274bfb81a08680fdbbdc10cb546109/README.md,https://github.com/google/chained-promise/blob/eb7c2023c93f388600eb1b0751a59de21d60bafd/examples/wikipedia-list-links/src/index.ts#L18
forEach((pageId),repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/chained-promise/blob/db5ee70b25274bfb81a08680fdbbdc10cb546109/README.md,https://github.com/google/chained-promise/blob/eb7c2023c93f388600eb1b0751a59de21d60bafd/examples/wikipedia-list-links/src/index.ts#L17
forEach((v),repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,10,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,https://github.com/google/chained-promise/blob/db5ee70b25274bfb81a08680fdbbdc10cb546109/README.md,https://github.com/google/chained-promise/blob/eb7c2023c93f388600eb1b0751a59de21d60bafd/test/ChainedPromise.spec.ts#L28
from(rq(apiPoint),repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/chained-promise/blob/db5ee70b25274bfb81a08680fdbbdc10cb546109/README.md,https://github.com/google/chained-promise/blob/cb442cd5475d016a301b6c88b558b86ff54eb8f2/examples/wikipedia-list-links/src/index.js#L7
map((v),repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,https://github.com/google/chained-promise/blob/db5ee70b25274bfb81a08680fdbbdc10cb546109/README.md,https://github.com/google/chained-promise/blob/eb7c2023c93f388600eb1b0751a59de21d60bafd/test/ChainedPromise.spec.ts#L388
next,repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,45,45,45,45,45,53,59,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,70,70,70,70,https://github.com/google/chained-promise/blob/db5ee70b25274bfb81a08680fdbbdc10cb546109/README.md,https://github.com/google/chained-promise/blob/eb7c2023c93f388600eb1b0751a59de21d60bafd/test/fix.spec.ts#L21
pageId,repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/chained-promise/blob/db5ee70b25274bfb81a08680fdbbdc10cb546109/README.md,https://github.com/google/chained-promise/blob/eb7c2023c93f388600eb1b0751a59de21d60bafd/examples/wikipedia-list-links/src/index.ts#L18
request-promise,repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/chained-promise/blob/db5ee70b25274bfb81a08680fdbbdc10cb546109/README.md,https://github.com/google/chained-promise/blob/cb442cd5475d016a301b6c88b558b86ff54eb8f2/examples/wikipedia-list-links/src/index.js#L3
res.json(),repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/chained-promise/blob/db5ee70b25274bfb81a08680fdbbdc10cb546109/README.md,https://github.com/google/chained-promise/blob/eb7c2023c93f388600eb1b0751a59de21d60bafd/examples/wikipedia-list-links/src/index.ts#L7
"rq(apiPoint + ""&plcontinue="" + v.continue.plcontinue)",repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/chained-promise/blob/db5ee70b25274bfb81a08680fdbbdc10cb546109/README.md,https://github.com/google/chained-promise/blob/cb442cd5475d016a301b6c88b558b86ff54eb8f2/examples/wikipedia-list-links/src/index.js#L12
