code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,doc_link,source_link
APK,repo,README.md,71,71,71,71,73,73,73,77,96,131,138,171,180,183,185,218,220,240,240,245,245,246,246,250,261,261,267,270,273,288,291,289,289,289,307,294,298,298,299,299,302,342,370,370,371,376,401,395,395,401,386,389,https://github.com/google/bundletool/blob/37701bf6f791b28871465ef525fec63da7dac7af/README.md,https://github.com/google/bundletool/blob/37701bf6f791b28871465ef525fec63da7dac7af/src/test/java/com/android/tools/build/bundletool/validation/TextureCompressionFormatParityValidatorTest.java#L116
JSON,repo,README.md,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,12,12,19,https://github.com/google/bundletool/blob/37701bf6f791b28871465ef525fec63da7dac7af/README.md,https://github.com/google/bundletool/blob/37701bf6f791b28871465ef525fec63da7dac7af/src/test/java/com/android/tools/build/bundletool/commands/BuildSdkBundleCommandTest.java#L303
