code_element,page_type,page_name,rev_1,rev_2,doc_link,source_link
ANY,repo,README.md,-,63,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/README.md,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/test/xmssmt/xmssmt_ref_60_6.h#L12
ARM,repo,README.md,6,2,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/README.md,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/src/common/README.md#L8
AS,repo,README.md,-,63,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/README.md,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/test/xmssmt/xmssmt_ref_60_6.h#L11
BASIS,repo,README.md,-,63,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/README.md,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/test/xmssmt/xmssmt_ref_60_6.h#L11
CONDITIONS,repo,README.md,-,65,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/README.md,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/test/xmssmt/xmssmt_ref_60_6.h#L12
HSS,repo,README.md,51,59,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/README.md,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/test/hss/test_sigs.pl#L21
IETF,repo,README.md,-,18,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/README.md,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/test/xmssmt/quark_misc.c#L498
IS,repo,README.md,-,65,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/README.md,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/test/xmssmt/xmssmt_ref_60_6.h#L11
KIND,repo,README.md,-,63,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/README.md,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/test/xmssmt/xmssmt_ref_60_6.h#L12
LICENSE,repo,README.md,-,63,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/README.md,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/test/xmssmt/xmssmt_ref_60_6.h#L8
LLC,repo,README.md,-,61,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/README.md,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/test/xmssmt/xmssmt_ref_60_6.h#L2
MT,repo,README.md,74,-,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/README.md,https://github.com/google/quark/blob/c0e562b718c4f885446b5367b1cf51689c44419c/xmssmt_verify/xmssmt_ref_60_6.h#L18
OF,repo,README.md,-,64,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/README.md,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/test/xmssmt/xmssmt_ref_60_6.h#L12
OR,repo,README.md,-,66,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/README.md,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/test/xmssmt/xmssmt_ref_60_6.h#L12
WARRANTIES,repo,README.md,-,63,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/README.md,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/test/xmssmt/xmssmt_ref_60_6.h#L12
WITHOUT,repo,README.md,-,63,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/README.md,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/test/xmssmt/xmssmt_ref_60_6.h#L12
XMSS,repo,README.md,146,169,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/README.md,https://github.com/google/quark/blob/b33ab66c6684dbbd3b2cb09b49a11055b8430a34/test/xmssmt/xmssmt_ref_60_6.h#L18
