code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,doc_link,source_link
IREE,repo,README.md,0,0,0,2,2,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,6,13,13,13,13,15,19,19,19,19,19,20,22,23,23,https://github.com/google/iree-torch/blob/edde63428668f457e1820bdb53024257ca32d15b/README.md,https://github.com/google/iree-torch/blob/91cea11ece93caf794155ec73ef42bcdcdd63ba9/torchdynamo_poc/torchbench.py#L15
MLIR,repo,README.md,2,2,2,2,2,2,2,3,6,6,7,7,7,6,6,6,6,6,6,6,6,10,10,10,10,10,11,11,11,11,11,11,11,12,12,https://github.com/google/iree-torch/blob/edde63428668f457e1820bdb53024257ca32d15b/README.md,https://github.com/google/iree-torch/blob/91cea11ece93caf794155ec73ef42bcdcdd63ba9/torchdynamo_poc/torchbench.py#L85
PYTHONPATH,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,6,6,6,6,6,6,6,6,6,6,https://github.com/google/iree-torch/blob/edde63428668f457e1820bdb53024257ca32d15b/README.md,https://github.com/google/iree-torch/blob/91cea11ece93caf794155ec73ef42bcdcdd63ba9/torchdynamo_poc/resnet18.py#L17
PyTorch,repo,README.md,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,https://github.com/google/iree-torch/blob/edde63428668f457e1820bdb53024257ca32d15b/README.md,https://github.com/google/iree-torch/blob/91cea11ece93caf794155ec73ef42bcdcdd63ba9/setup.py#L26
TODO,repo,README.md,-,-,-,2,2,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/iree-torch/blob/edde63428668f457e1820bdb53024257ca32d15b/README.md,https://github.com/google/iree-torch/blob/afc85d4f771c541062dab4bf432584d3c01b0aec/torchscript_e2e_main.py#L59
dylib,repo,README.md,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,11,11,11,11,11,12,https://github.com/google/iree-torch/blob/edde63428668f457e1820bdb53024257ca32d15b/README.md,https://github.com/google/iree-torch/blob/91cea11ece93caf794155ec73ef42bcdcdd63ba9/tools/torchscript_e2e_main.py#L172
python_packages,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,https://github.com/google/iree-torch/blob/edde63428668f457e1820bdb53024257ca32d15b/README.md,https://github.com/google/iree-torch/blob/91cea11ece93caf794155ec73ef42bcdcdd63ba9/torchdynamo_poc/resnet18.py#L19
torch_mlir,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,8,8,8,8,8,8,11,11,11,https://github.com/google/iree-torch/blob/edde63428668f457e1820bdb53024257ca32d15b/README.md,https://github.com/google/iree-torch/blob/91cea11ece93caf794155ec73ef42bcdcdd63ba9/torchdynamo_poc/torchbench.py#L27
torchscript_e2e_main,repo,README.md,-,-,-,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/iree-torch/blob/edde63428668f457e1820bdb53024257ca32d15b/README.md,https://github.com/google/iree-torch/blob/9c6ce8d73fb629f67a7a45b40a2f9aee9a13d364/.github/workflows/test_nightly_packages.yml#L27
torchscript_e2e_test,repo,README.md,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/iree-torch/blob/edde63428668f457e1820bdb53024257ca32d15b/README.md,https://github.com/google/iree-torch/blob/91cea11ece93caf794155ec73ef42bcdcdd63ba9/.github/workflows/test_nightly_packages.yml#L27
vmvx,repo,README.md,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,7,https://github.com/google/iree-torch/blob/edde63428668f457e1820bdb53024257ca32d15b/README.md,https://github.com/google/iree-torch/blob/91cea11ece93caf794155ec73ef42bcdcdd63ba9/tools/torchscript_e2e_main.py#L172
