code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,doc_link,source_link
BigQuery,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/config.yaml#L18
GCP,repo,README.md,-,-,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/plugins/cloud_utils/cloud_storage.py#L64
GMC,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/scripts/materialize_product_detailed.sql#L19
MarkUp,repo,README.md,-,-,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/setup.sh#L16
SQL,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/cloud_bigquery.py#L113
URL,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/plugins/cloud_utils/cloud_storage.py#L76
US,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55429,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/data/language_codes.csv#L15
ads_customer_id,repo,README.md,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/cloud_env_setup.py#L84
best_sellers_workflow,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/cloud_bigquery.py#L29
cloud_env_setup,repo,README.md,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/shopping-markup/blob/379cea5247b939ee2470f911ca318cb1e8ee5ae4/README.md,https://github.com/google/shopping-markup/blob/33f2ea0af866de3c2c6478c7b891f954f25114df/setup.sh#L23
