code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,doc_link,source_link
$include,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/serialization.dart/blob/f76475708439c2f4012bf4763c00f6a853aa41c2/README.md,https://github.com/google/serialization.dart/blob/098052efeb725d923e7f7512eec8db9e7354d3cd/pubspec.yaml#L16
..addRuleFor(Address),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/serialization.dart/blob/f76475708439c2f4012bf4763c00f6a853aa41c2/README.md,https://github.com/google/serialization.dart/blob/098052efeb725d923e7f7512eec8db9e7354d3cd/test/serialization_mirrors_test.dart#L20
..addRuleFor(Person),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/serialization.dart/blob/f76475708439c2f4012bf4763c00f6a853aa41c2/README.md,https://github.com/google/serialization.dart/blob/098052efeb725d923e7f7512eec8db9e7354d3cd/test/serialization_mirrors_test.dart#L19
API,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,7,7,7,7,7,7,7,7,7,7,https://github.com/google/serialization.dart/blob/f76475708439c2f4012bf4763c00f6a853aa41c2/README.md,https://github.com/google/serialization.dart/blob/098052efeb725d923e7f7512eec8db9e7354d3cd/test/transformer/transformer_maps_test.dart#L32
JSON,repo,README.md,22,22,22,22,22,22,22,22,22,22,22,22,27,27,27,27,27,28,28,29,29,29,29,29,29,29,29,29,29,https://github.com/google/serialization.dart/blob/f76475708439c2f4012bf4763c00f6a853aa41c2/README.md,https://github.com/google/serialization.dart/blob/098052efeb725d923e7f7512eec8db9e7354d3cd/test/transformer/transformer_test.dart#L15
LICENSE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,23,23,23,24,24,24,24,24,24,24,24,24,https://github.com/google/serialization.dart/blob/f76475708439c2f4012bf4763c00f6a853aa41c2/README.md,https://github.com/google/serialization.dart/blob/098052efeb725d923e7f7512eec8db9e7354d3cd/tool/travis.sh#L5
Serialization(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,43,43,43,43,43,43,43,43,43,43,43,43,https://github.com/google/serialization.dart/blob/f76475708439c2f4012bf4763c00f6a853aa41c2/README.md,https://github.com/google/serialization.dart/blob/098052efeb725d923e7f7512eec8db9e7354d3cd/test/serialization_test_common.dart#L68
SerializationRule,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,41,43,43,46,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/serialization.dart/blob/f76475708439c2f4012bf4763c00f6a853aa41c2/README.md,https://github.com/google/serialization.dart/blob/bd9cb3abba89d440300a5203848009682de94132/lib/src/serialization_rule.dart#L13
SerializationRules,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/serialization.dart/blob/f76475708439c2f4012bf4763c00f6a853aa41c2/README.md,https://github.com/google/serialization.dart/blob/098052efeb725d923e7f7512eec8db9e7354d3cd/lib/serialization_mirrors.dart#L87
_serialization_rules,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/serialization.dart/blob/f76475708439c2f4012bf4763c00f6a853aa41c2/README.md,https://github.com/google/serialization.dart/blob/098052efeb725d923e7f7512eec8db9e7354d3cd/lib/transformer.dart#L141
