code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,doc_link,source_link
API,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/README.md,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/Tests/GTXTests/UnitTests/GTXToolKitTests.m#L302
AX,repo,README.md,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/README.md,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/Classes/GTXErrorReporter.m#L172
BOOL,repo,README.md,-,-,-,-,-,-,-,-,-,-,83,98,98,98,98,100,100,100,100,100,115,115,122,122,122,147,147,147,147,147,147,147,147,147,147,147,147,147,170,170,170,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/README.md,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/Tests/GTXTests/UnitTests/GTXTreeIteratorContextTests.m#L95
CocoaPods,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1,1,1,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/README.md,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/GTXiLib.xcodeproj/project.pbxproj#L1308
FAILED,repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/README.md,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/Classes/GTXResult.m#L59
GTAxe,repo,README.md,93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/README.md,https://github.com/google/GTXiLib/blob/8eb1d93435ed5df9ff80a3840947c50265f9965b/Tests/FunctionalTests/TestApp/TestSources/GTXTestGtxWorksForPassingTests.m#L18
GTAxe's,repo,README.md,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/README.md,https://github.com/google/GTXiLib/blob/8eb1d93435ed5df9ff80a3840947c50265f9965b/Tests/FunctionalTests/TestApp/Sources/GTXTestViewController.h#L90
GTX,repo,README.md,18,18,18,18,18,18,18,14,14,14,14,18,18,18,18,18,18,18,18,18,20,20,20,20,20,28,28,28,28,28,28,28,28,28,28,28,28,28,40,40,40,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/README.md,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/Tests/GTXOOPTests/IntegrationTests/GTXTestPassingIntegrationTest.m#L22
GTXAnalytics,repo,README.md,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/README.md,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/Tests/GTXTests/UnitTests/GTXToolkitOOPTests.mm#L20
GTXAnalytics.m,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/README.md,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/GTXiLib.xcodeproj/project.pbxproj#L150
GTXCheckBlock,repo,README.md,-,-,-,-,-,-,-,32,32,32,32,33,33,33,33,34,34,34,34,34,34,34,34,34,34,36,36,36,36,36,36,36,36,36,36,36,36,36,39,39,39,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/README.md,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/Tests/GTXTests/UnitTests/GTXCheckBlockTests.m#L17
GTXCheckWithName,repo,README.md,-,-,-,-,-,-,-,10,10,10,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/README.md,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/Tests/GTXTests/UnitTests/GTXCheckBlockTests.m#L37
GTXChecking,repo,README.md,-,-,-,-,-,-,-,62,62,62,62,70,70,70,70,73,73,73,73,74,92,92,95,95,95,115,115,115,115,116,116,116,116,116,116,116,116,116,123,123,123,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/README.md,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/Tests/GTXTests/UnitTests/GTXToolkitOOPTests.mm#L58
GTXChecksCollection,repo,README.md,24,23,23,23,23,23,23,48,48,48,48,59,59,59,59,61,61,61,61,64,87,87,87,87,87,122,122,122,122,122,122,122,122,122,122,122,122,122,127,127,127,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/README.md,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/Tests/GTXTests/UnitTests/GTXChecksCollectionTests.m#L20
GTXTestSuite,repo,README.md,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,87,87,87,87,87,87,87,87,87,87,87,87,87,88,88,88,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/README.md,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/Tests/GTXTests/UnitTests/GTXTestSuiteTests.m#L19
GTXToolKit,repo,README.md,-,-,-,-,-,-,-,-,-,-,56,56,56,56,56,56,56,56,56,67,73,73,82,82,82,132,132,132,132,132,132,133,133,133,133,133,133,133,134,134,134,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/README.md,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/Tests/GTXTests/UnitTests/GTXToolkitSwiftTests.swift#L23
GTXiLib,repo,README.md,-,89,89,92,92,92,92,93,93,93,93,93,93,93,106,106,107,107,108,108,109,109,109,109,109,147,147,147,147,162,162,162,161,161,161,161,161,161,194,194,200,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/README.md,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/Tests/GTXTests/UnitTests/GTXToolkitSwiftTests.swift#L18
GTXiLib's,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/README.md,https://github.com/google/GTXiLib/blob/36f0c459dd7e836cde69e4ac4c0da33f99fa77fe/Tests/FunctionalTests/TestApp/Sources/GTXTestViewController.h#L95
ID,repo,README.md,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/README.md,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/OOPClasses/error_message.h#L50
NO,repo,README.md,104,103,103,103,103,103,103,103,103,103,103,122,122,122,126,127,127,127,127,127,155,155,153,153,153,232,232,232,232,232,232,232,232,232,232,232,232,232,262,262,262,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/README.md,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/Tests/GTXTests/UnitTests/GTXTreeIteratorContextTests.m#L28
NSArray,repo,README.md,-,-,-,-,-,-,-,59,59,59,59,60,60,60,60,60,60,60,60,60,86,86,92,92,92,109,109,109,109,109,109,109,109,109,109,109,109,109,127,127,127,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/README.md,https://github.com/google/GTXiLib/blob/737990867d967bde2ee41ece9b7a12d37fe20de3/Tests/GTXTests/UnitTests/GTXTreeIteratorContextTests.m#L57
