code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,doc_link,source_link
-demo.html,repo,README.md,.,.,-,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/pulito/blob/53cf17ec0e656fa386d4d95a79969f72aef1cb75/README.md,https://github.com/google/pulito/blob/72e8a07f35e6e507f8f78242d0cac32d124ece1e/webpack.common.js#L95
-demo.js,repo,README.md,.,.,-,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/pulito/blob/53cf17ec0e656fa386d4d95a79969f72aef1cb75/README.md,https://github.com/google/pulito/blob/72e8a07f35e6e507f8f78242d0cac32d124ece1e/webpack.common.js#L95
/modules,repo,README.md,.,.,-,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/pulito/blob/53cf17ec0e656fa386d4d95a79969f72aef1cb75/README.md,https://github.com/google/pulito/blob/72e8a07f35e6e507f8f78242d0cac32d124ece1e/webpack.common.js#L83
/pages,repo,README.md,.,.,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/pulito/blob/53cf17ec0e656fa386d4d95a79969f72aef1cb75/README.md,https://github.com/google/pulito/blob/72e8a07f35e6e507f8f78242d0cac32d124ece1e/webpack.common.js#L35
CSS,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,https://github.com/google/pulito/blob/53cf17ec0e656fa386d4d95a79969f72aef1cb75/README.md,https://github.com/google/pulito/blob/72e8a07f35e6e507f8f78242d0cac32d124ece1e/webpack.common.js#L71
HTML,repo,README.md,.,.,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/pulito/blob/53cf17ec0e656fa386d4d95a79969f72aef1cb75/README.md,https://github.com/google/pulito/blob/72e8a07f35e6e507f8f78242d0cac32d124ece1e/webpack.common.js#L28
JS,repo,README.md,.,.,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/pulito/blob/53cf17ec0e656fa386d4d95a79969f72aef1cb75/README.md,https://github.com/google/pulito/blob/72e8a07f35e6e507f8f78242d0cac32d124ece1e/webpack.common.js#L161
NODE_ENV,repo,README.md,.,.,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/pulito/blob/53cf17ec0e656fa386d4d95a79969f72aef1cb75/README.md,https://github.com/google/pulito/blob/800193abaec19c4194cf7efe311cdbbda05e7d39/webpack.common.js#L271
SCSS,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pulito/blob/53cf17ec0e656fa386d4d95a79969f72aef1cb75/README.md,https://github.com/google/pulito/blob/72e8a07f35e6e507f8f78242d0cac32d124ece1e/webpack.common.js#L265
commonBuilder,repo,README.md,.,.,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/pulito/blob/53cf17ec0e656fa386d4d95a79969f72aef1cb75/README.md,https://github.com/google/pulito/blob/72e8a07f35e6e507f8f78242d0cac32d124ece1e/webpack.common.js#L16
