code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,doc_link,source_link
#include,repo,README.md,162,162,165,165,170,170,170,170,170,170,170,170,170,170,170,170,170,172,172,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/cppdap/blob/3e6cfd6c2f174ac79835015d1e1fe35fc1c008b7/README.md,https://github.com/google/cppdap/blob/4abe43c1310668dc8b9d51d8708907fcb3f00a4b/tools/protocol_gen/protocol_gen.go#L65
-DCPPDAP_BUILD_EXAMPLES=1,repo,README.md,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/cppdap/blob/3e6cfd6c2f174ac79835015d1e1fe35fc1c008b7/README.md,https://github.com/google/cppdap/blob/88e89520148b2f95e17ca9348587a28215ffc921/kokoro/windows/presubmit.bat#L37
-DCPPDAP_BUILD_TESTS=1,repo,README.md,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/cppdap/blob/3e6cfd6c2f174ac79835015d1e1fe35fc1c008b7/README.md,https://github.com/google/cppdap/blob/88e89520148b2f95e17ca9348587a28215ffc921/kokoro/windows/presubmit.bat#L37
-DCPPDAP_INSTALL_VSCODE_EXAMPLES=1,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/cppdap/blob/3e6cfd6c2f174ac79835015d1e1fe35fc1c008b7/README.md,https://github.com/google/cppdap/blob/88e89520148b2f95e17ca9348587a28215ffc921/.vscode/tasks.json#L62
-DCPPDAP_WARNINGS_AS_ERRORS=1,repo,README.md,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/cppdap/blob/3e6cfd6c2f174ac79835015d1e1fe35fc1c008b7/README.md,https://github.com/google/cppdap/blob/88e89520148b2f95e17ca9348587a28215ffc921/kokoro/windows/presubmit.bat#L37
CMAKE_CURRENT_SOURCE_DIR,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/cppdap/blob/3e6cfd6c2f174ac79835015d1e1fe35fc1c008b7/README.md,https://github.com/google/cppdap/blob/88e89520148b2f95e17ca9348587a28215ffc921/CMakeLists.txt#L49
CMakeLists.txt,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/cppdap/blob/3e6cfd6c2f174ac79835015d1e1fe35fc1c008b7/README.md,code_element is a file name
CPPDAP_THIRD_PARTY_DIR,repo,README.md,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/cppdap/blob/3e6cfd6c2f174ac79835015d1e1fe35fc1c008b7/README.md,https://github.com/google/cppdap/blob/88e89520148b2f95e17ca9348587a28215ffc921/CMakeLists.txt#L51
DAP,repo,README.md,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,24,24,24,24,27,27,27,27,27,27,27,27,27,27,30,30,30,30,31,31,31,31,31,https://github.com/google/cppdap/blob/3e6cfd6c2f174ac79835015d1e1fe35fc1c008b7/README.md,https://github.com/google/cppdap/blob/88e89520148b2f95e17ca9348587a28215ffc921/tools/protocol_gen/protocol_gen.go#L16
cppdap,repo,README.md,27,40,40,40,40,40,40,40,40,40,40,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,51,51,51,51,57,57,57,58,58,58,58,58,58,62,62,63,63,63,63,65,65,65,65,66,66,66,66,66,59,59,59,59,https://github.com/google/cppdap/blob/3e6cfd6c2f174ac79835015d1e1fe35fc1c008b7/README.md,https://github.com/google/cppdap/blob/88e89520148b2f95e17ca9348587a28215ffc921/tools/protocol_gen/protocol_gen.go#L15
googletest,repo,README.md,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/cppdap/blob/3e6cfd6c2f174ac79835015d1e1fe35fc1c008b7/README.md,https://github.com/google/cppdap/blob/88e89520148b2f95e17ca9348587a28215ffc921/license-checker.cfg#L20
