code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,doc_link,source_link
API,repo,README.md,2,2,2,2,2,56,3,3,https://github.com/google/java-video-live-stream/blob/515034de333a01c4628355a5c3cdf90df911db60/README.md,https://github.com/google/java-video-live-stream/blob/b1339f95650c4abefa1cabe71857b1e33d299c71/.repo-metadata.json#L3
BOM,repo,README.md,0,0,0,0,0,2,2,2,https://github.com/google/java-video-live-stream/blob/515034de333a01c4628355a5c3cdf90df911db60/README.md,https://github.com/google/java-video-live-stream/blob/b1339f95650c4abefa1cabe71857b1e33d299c71/google-cloud-livestream-bom/pom.xml#L14
DASH,repo,README.md,2,2,2,2,2,35,4,4,https://github.com/google/java-video-live-stream/blob/515034de333a01c4628355a5c3cdf90df911db60/README.md,https://github.com/google/java-video-live-stream/blob/b1339f95650c4abefa1cabe71857b1e33d299c71/google-cloud-livestream/pom.xml#L10
GCP,repo,README.md,3,3,3,3,3,3,3,3,https://github.com/google/java-video-live-stream/blob/515034de333a01c4628355a5c3cdf90df911db60/README.md,https://github.com/google/java-video-live-stream/blob/b1339f95650c4abefa1cabe71857b1e33d299c71/CONTRIBUTING.md#L41
GitHub,repo,README.md,10,10,10,10,7,9,8,8,https://github.com/google/java-video-live-stream/blob/515034de333a01c4628355a5c3cdf90df911db60/README.md,https://github.com/google/java-video-live-stream/blob/b1339f95650c4abefa1cabe71857b1e33d299c71/pom.xml#L51
GoogleCloudPlatform,repo,README.md,1,1,1,1,1,1,1,1,https://github.com/google/java-video-live-stream/blob/515034de333a01c4628355a5c3cdf90df911db60/README.md,https://github.com/google/java-video-live-stream/blob/b1339f95650c4abefa1cabe71857b1e33d299c71/CONTRIBUTING.md#L92
HLS,repo,README.md,1,1,1,1,1,33,2,2,https://github.com/google/java-video-live-stream/blob/515034de333a01c4628355a5c3cdf90df911db60/README.md,https://github.com/google/java-video-live-stream/blob/b1339f95650c4abefa1cabe71857b1e33d299c71/google-cloud-livestream/pom.xml#L10
HTTP,repo,README.md,2,2,2,2,2,20,4,4,https://github.com/google/java-video-live-stream/blob/515034de333a01c4628355a5c3cdf90df911db60/README.md,https://github.com/google/java-video-live-stream/blob/b1339f95650c4abefa1cabe71857b1e33d299c71/google-cloud-livestream/pom.xml#L10
ID,repo,README.md,0,0,0,0,0,585,0,0,https://github.com/google/java-video-live-stream/blob/515034de333a01c4628355a5c3cdf90df911db60/README.md,https://github.com/google/java-video-live-stream/blob/5077bda07f338d85dad6b3b93d18cb589e6109b8/proto-google-cloud-livestream-v1/src/main/proto/google/cloud/video/livestream/v1/service.proto#L43
LICENSE,repo,README.md,19,19,19,19,19,120,21,21,https://github.com/google/java-video-live-stream/blob/515034de333a01c4628355a5c3cdf90df911db60/README.md,https://github.com/google/java-video-live-stream/blob/b1339f95650c4abefa1cabe71857b1e33d299c71/pom.xml#L56
MPEG,repo,README.md,1,1,1,1,1,2,2,2,https://github.com/google/java-video-live-stream/blob/515034de333a01c4628355a5c3cdf90df911db60/README.md,https://github.com/google/java-video-live-stream/blob/b1339f95650c4abefa1cabe71857b1e33d299c71/google-cloud-livestream/pom.xml#L10
PROJECT,repo,README.md,0,0,0,0,0,109,0,0,https://github.com/google/java-video-live-stream/blob/515034de333a01c4628355a5c3cdf90df911db60/README.md,https://github.com/google/java-video-live-stream/blob/5077bda07f338d85dad6b3b93d18cb589e6109b8/google-cloud-livestream/src/test/java/com/google/cloud/video/livestream/v1/LivestreamServiceClientTest.java#L97
README,repo,README.md,5,5,5,5,5,5,5,5,https://github.com/google/java-video-live-stream/blob/515034de333a01c4628355a5c3cdf90df911db60/README.md,https://github.com/google/java-video-live-stream/blob/b1339f95650c4abefa1cabe71857b1e33d299c71/.kokoro/readme.sh#L37
artifactId,repo,README.md,42,42,42,42,42,148,148,96,https://github.com/google/java-video-live-stream/blob/515034de333a01c4628355a5c3cdf90df911db60/README.md,https://github.com/google/java-video-live-stream/blob/b1339f95650c4abefa1cabe71857b1e33d299c71/samples/snippets/pom.xml#L5
cloud:google,repo,README.md,5,5,5,5,5,5,5,5,https://github.com/google/java-video-live-stream/blob/515034de333a01c4628355a5c3cdf90df911db60/README.md,https://github.com/google/java-video-live-stream/blob/b1339f95650c4abefa1cabe71857b1e33d299c71/renovate.json#L34
gRPC,repo,README.md,0,0,0,0,0,4,1,0,https://github.com/google/java-video-live-stream/blob/515034de333a01c4628355a5c3cdf90df911db60/README.md,https://github.com/google/java-video-live-stream/blob/515034de333a01c4628355a5c3cdf90df911db60/google-cloud-livestream/pom.xml#L79
google-cloud-livestream,repo,README.md,10,10,10,10,10,54,54,51,https://github.com/google/java-video-live-stream/blob/515034de333a01c4628355a5c3cdf90df911db60/README.md,https://github.com/google/java-video-live-stream/blob/b1339f95650c4abefa1cabe71857b1e33d299c71/versions.txt#L4
groupId,repo,README.md,42,42,42,42,42,146,146,94,https://github.com/google/java-video-live-stream/blob/515034de333a01c4628355a5c3cdf90df911db60/README.md,https://github.com/google/java-video-live-stream/blob/b1339f95650c4abefa1cabe71857b1e33d299c71/samples/snippets/pom.xml#L4
