code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,doc_link,source_link
CommonJS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,2,2,2,https://github.com/google/guava-js-umd/blob/4a9c10af8e291635d0b6bd447c4cbf34df921caf/README.md,https://github.com/google/guava-js-umd/blob/74dc5a33bda7db02b0a11177f6113f05321a9f33/build/GuavaJS.umd.js#L9
GuavaJS,repo,README.md,-,-,-,56,68,84,95,105,105,114,128,135,146,183,213,219,222,235,269,269,289,289,289,289,483,598,599,599,https://github.com/google/guava-js-umd/blob/4a9c10af8e291635d0b6bd447c4cbf34df921caf/README.md,https://github.com/google/guava-js-umd/blob/74dc5a33bda7db02b0a11177f6113f05321a9f33/src/test/javascript/GuavaJS.strings.splitter.spec.js#L4
