code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,doc_link,source_link
API,repo,README.md,27,27,30,29,29,29,33,33,33,33,37,37,39,39,39,39,38,38,38,38,38,39,38,38,38,38,37,40,40,40,40,41,42,42,42,42,42,48,49,49,49,49,50,52,56,56,64,72,72,73,73,74,74,https://github.com/google/zetasql/blob/57651f4f0cf9efa76163bc0282edfcf98dd72414/README.md,https://github.com/google/zetasql/blob/1933acefe8eb10e293309a9fa7d7c7f1cb6bf8c4/zetasql_grpc.bzl#L17
LICENSE,repo,README.md,406,406,406,421,421,421,437,437,445,452,553,553,563,563,564,587,599,599,599,606,635,645,649,656,655,659,672,675,679,680,683,703,703,711,733,733,766,803,807,810,813,819,842,892,916,934,958,978,996,1008,1010,1019,1019,https://github.com/google/zetasql/blob/57651f4f0cf9efa76163bc0282edfcf98dd72414/README.md,https://github.com/google/zetasql/blob/1933acefe8eb10e293309a9fa7d7c7f1cb6bf8c4/zetasql_grpc.bzl#L8
MM,repo,README.md,-,-,-,-,-,-,30,30,30,30,31,31,31,31,31,31,31,31,31,31,34,34,34,34,34,34,34,34,34,43,43,43,43,43,46,46,46,46,46,46,46,46,58,67,109,188,188,190,190,190,190,182,182,https://github.com/google/zetasql/blob/57651f4f0cf9efa76163bc0282edfcf98dd72414/README.md,https://github.com/google/zetasql/blob/1933acefe8eb10e293309a9fa7d7c7f1cb6bf8c4/zetasql/public/functions/date_time_util.h#L119
MacOS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,https://github.com/google/zetasql/blob/57651f4f0cf9efa76163bc0282edfcf98dd72414/README.md,https://github.com/google/zetasql/blob/1933acefe8eb10e293309a9fa7d7c7f1cb6bf8c4/bazel/m4.patch#L125
ResolvedAST,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,36,36,36,36,39,40,40,40,41,41,41,53,54,34,38,43,44,44,45,45,https://github.com/google/zetasql/blob/57651f4f0cf9efa76163bc0282edfcf98dd72414/README.md,https://github.com/google/zetasql/blob/1933acefe8eb10e293309a9fa7d7c7f1cb6bf8c4/zetasql/testdata/sample_annotation.h#L27
SQL,repo,README.md,430,430,433,473,473,473,483,483,482,482,506,506,513,513,513,521,523,523,523,523,526,527,529,529,529,531,539,540,587,588,588,595,628,628,642,642,654,666,666,666,666,671,683,727,1368,1392,1458,1488,1577,1582,1597,1606,1606,https://github.com/google/zetasql/blob/57651f4f0cf9efa76163bc0282edfcf98dd72414/README.md,https://github.com/google/zetasql/blob/1933acefe8eb10e293309a9fa7d7c7f1cb6bf8c4/zetasql/tools/execute_query/output_query_result.cc#L307
STRING,repo,README.md,-,-,-,-,-,-,-,-,-,-,772,772,834,834,834,865,930,930,930,933,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/zetasql/blob/57651f4f0cf9efa76163bc0282edfcf98dd72414/README.md,https://github.com/google/zetasql/blob/8fa97e0a57513fe38b5f9037b6fc3de1b6340ab7/zetasql/resolved_ast/validator.cc#L3177
TODO,repo,README.md,299,299,298,300,300,300,303,303,309,310,357,356,361,360,361,358,366,365,365,367,373,371,374,374,370,380,389,388,389,383,383,391,401,401,421,421,438,478,482,489,489,494,498,518,662,777,812,872,880,885,881,911,909,https://github.com/google/zetasql/blob/57651f4f0cf9efa76163bc0282edfcf98dd72414/README.md,https://github.com/google/zetasql/blob/1933acefe8eb10e293309a9fa7d7c7f1cb6bf8c4/zetasql/tools/execute_query/execute_query_tool.h#L152
WORKSPACE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/zetasql/blob/57651f4f0cf9efa76163bc0282edfcf98dd72414/README.md,https://github.com/google/zetasql/blob/1933acefe8eb10e293309a9fa7d7c7f1cb6bf8c4/bazel/zetasql_deps_step_2.bzl#L34
YYYY,repo,README.md,-,-,-,-,-,-,29,29,29,29,29,29,29,29,29,29,29,29,29,29,31,31,31,31,31,31,31,31,31,34,34,34,34,34,34,34,34,34,35,35,35,35,50,71,136,218,218,220,220,220,220,226,226,https://github.com/google/zetasql/blob/57651f4f0cf9efa76163bc0282edfcf98dd72414/README.md,https://github.com/google/zetasql/blob/1933acefe8eb10e293309a9fa7d7c7f1cb6bf8c4/zetasql/public/functions/date_time_util.h#L119
YYYY.MM,repo,README.md,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,https://github.com/google/zetasql/blob/57651f4f0cf9efa76163bc0282edfcf98dd72414/README.md,https://github.com/google/zetasql/blob/1933acefe8eb10e293309a9fa7d7c7f1cb6bf8c4/docs/one-pager.md#L19249
ZetaSQL,repo,README.md,1105,1105,1105,1134,1134,1134,1160,1160,1168,1176,1366,1366,1402,1402,1403,1437,1458,1458,1458,1466,1500,1511,1517,1526,1525,1536,1535,1535,1543,1543,1543,871,895,903,915,915,915,933,935,936,942,943,964,999,6510,6554,6917,7029,7117,7136,7066,7177,7188,https://github.com/google/zetasql/blob/57651f4f0cf9efa76163bc0282edfcf98dd72414/README.md,https://github.com/google/zetasql/blob/1933acefe8eb10e293309a9fa7d7c7f1cb6bf8c4/zetasql/tools/execute_query/execute_query_tool.h#L159
execute_query:execute_query,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/zetasql/blob/57651f4f0cf9efa76163bc0282edfcf98dd72414/README.md,https://github.com/google/zetasql/blob/1933acefe8eb10e293309a9fa7d7c7f1cb6bf8c4/zetasql/tools/execute_query/BUILD#L75
experimental:execute_query,repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/zetasql/blob/57651f4f0cf9efa76163bc0282edfcf98dd72414/README.md,https://github.com/google/zetasql/blob/be58397fc34503b090305c7025b880e6e669a09c/zetasql/experimental/BUILD#L56
resolved_ast,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,412,436,436,436,467,489,487,491,491,496,528,562,599,611,684,705,711,711,711,731,731,https://github.com/google/zetasql/blob/57651f4f0cf9efa76163bc0282edfcf98dd72414/README.md,https://github.com/google/zetasql/blob/1933acefe8eb10e293309a9fa7d7c7f1cb6bf8c4/zetasql/tools/execute_query/output_query_result.h#L25
