code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,doc_link,source_link
-DRE2_BUILD_TESTING=OFF,repo,README.md,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/.appveyor.yml#L44
.rdbuf(),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/examples/main.cc#L38
.str(),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/examples/main.cc#L42
AUTHORS,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/CONTRIBUTORS#L2
CHECK,repo,README.md,161,161,161,161,161,161,171,171,173,174,175,182,183,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,184,184,184,184,184,184,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,191,192,192,192,192,192,192,192,192,192,192,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/examples/main.cc#L29
CONTRIBUTING.md,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/DEVELOPMENT.howto.md#L4
CONTRIBUTORS,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/AUTHORS#L2
CRT,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/cmake/setup_build.cmake#L44
DAG,repo,README.md,74,74,74,74,74,74,74,74,74,75,76,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/ddf5e2bb92957dc8a12c5392f8495333d6844133/effcee/match_test.cc#L349
DCMAKE_BUILD_TYPE,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,https://github.com/google/effcee/blob/3842fdc5b596d1ea37ce1c1676fedc3d16f98f79/README.md,https://github.com/google/effcee/blob/2ec8f8738118cc483b67c04a759fee53496c5659/.travis.yml#L57
