code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,doc_link,source_link
$crc,repo,README.md,.,0,19,19,20,20,22,51,51,86,86,86,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,89,98,98,98,98,98,98,98,98,98,98,98,https://github.com/google/php-crc32/blob/fa0c396b8395698a6a0646816ee1ef7fc8ed5dcf/README.md,https://github.com/google/php-crc32/blob/fa0c396b8395698a6a0646816ee1ef7fc8ed5dcf/tests/CRC32Test.php#L42
ANY,repo,README.md,.,-,-,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,10,10,10,11,11,11,11,11,11,11,18,18,18,18,18,19,21,21,21,21,21,21,21,21,21,21,https://github.com/google/php-crc32/blob/fa0c396b8395698a6a0646816ee1ef7fc8ed5dcf/README.md,https://github.com/google/php-crc32/blob/fa0c396b8395698a6a0646816ee1ef7fc8ed5dcf/tests/GoogleTest.php#L13
AS,repo,README.md,.,-,-,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,10,10,10,11,11,11,11,11,11,11,18,18,18,18,18,19,21,21,21,21,21,21,21,21,21,21,https://github.com/google/php-crc32/blob/fa0c396b8395698a6a0646816ee1ef7fc8ed5dcf/README.md,https://github.com/google/php-crc32/blob/fa0c396b8395698a6a0646816ee1ef7fc8ed5dcf/tests/GoogleTest.php#L12
BASIS,repo,README.md,.,-,-,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,10,10,10,11,11,11,11,11,11,11,18,18,18,18,18,19,21,21,21,21,21,21,21,21,21,21,https://github.com/google/php-crc32/blob/fa0c396b8395698a6a0646816ee1ef7fc8ed5dcf/README.md,https://github.com/google/php-crc32/blob/fa0c396b8395698a6a0646816ee1ef7fc8ed5dcf/tests/GoogleTest.php#L12
CONDITIONS,repo,README.md,.,-,-,4,4,4,4,4,4,4,4,4,4,4,11,11,11,11,11,11,11,11,11,11,12,12,12,13,13,13,13,13,13,13,20,20,20,20,20,21,23,23,23,23,23,23,23,23,23,23,https://github.com/google/php-crc32/blob/fa0c396b8395698a6a0646816ee1ef7fc8ed5dcf/README.md,https://github.com/google/php-crc32/blob/fa0c396b8395698a6a0646816ee1ef7fc8ed5dcf/tests/GoogleTest.php#L13
CRC,repo,README.md,.,0,2,2,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/php-crc32/blob/fa0c396b8395698a6a0646816ee1ef7fc8ed5dcf/README.md,https://github.com/google/php-crc32/blob/cfc5de53c7d22687603c7de16bb4b3d5a3581064/crc32.php#L5
CRC32,repo,README.md,.,-,-,-,-,-,7,6,6,19,19,20,20,20,20,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,46,46,43,43,43,50,55,55,59,59,59,59,59,59,59,59,https://github.com/google/php-crc32/blob/fa0c396b8395698a6a0646816ee1ef7fc8ed5dcf/README.md,https://github.com/google/php-crc32/blob/fa0c396b8395698a6a0646816ee1ef7fc8ed5dcf/tests/GoogleTest.php#L23
CRC32::CASTAGNOLI,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,13,13,15,15,15,15,15,15,15,15,https://github.com/google/php-crc32/blob/fa0c396b8395698a6a0646816ee1ef7fc8ed5dcf/README.md,https://github.com/google/php-crc32/blob/fa0c396b8395698a6a0646816ee1ef7fc8ed5dcf/tests/GoogleTest.php#L52
CRC32::create,repo,README.md,.,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/php-crc32/blob/fa0c396b8395698a6a0646816ee1ef7fc8ed5dcf/README.md,https://github.com/google/php-crc32/blob/fa0c396b8395698a6a0646816ee1ef7fc8ed5dcf/src/CRC32.php#L30
CRC32C,repo,README.md,.,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/php-crc32/blob/fa0c396b8395698a6a0646816ee1ef7fc8ed5dcf/README.md,https://github.com/google/php-crc32/blob/fa0c396b8395698a6a0646816ee1ef7fc8ed5dcf/ext/php_crc32c.c#L119
