code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,doc_link,source_link
--prod,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/README.md,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/src/environments/environment.ts#L18
ANY,repo,README.md,-,-,4,4,14,14,16,24,25,25,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/README.md,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/src/test.ts#L12
AS,repo,README.md,-,-,4,4,14,14,16,24,25,25,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/README.md,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/src/test.ts#L11
AngularA11yWorkshop,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/README.md,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/src/index.html#L5
BASIS,repo,README.md,-,-,4,4,14,14,16,24,25,25,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/README.md,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/src/test.ts#L11
CLI,repo,README.md,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/README.md,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/src/polyfills.ts#L88
CONDITIONS,repo,README.md,-,-,6,6,16,16,18,26,27,27,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/README.md,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/src/test.ts#L12
CSS,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/README.md,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/src/browserslist#L1
IS,repo,README.md,-,-,4,4,14,14,16,24,25,25,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/README.md,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/src/test.ts#L11
JS,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/README.md,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/src/polyfills.ts#L86
KIND,repo,README.md,-,-,4,4,14,14,16,24,25,25,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/README.md,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/src/test.ts#L12
LICENSE,repo,README.md,-,-,4,4,14,14,16,24,25,25,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/README.md,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/src/test.ts#L8
LLC,repo,README.md,-,-,2,2,12,12,14,22,23,23,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/README.md,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/src/test.ts#L2
OF,repo,README.md,-,-,5,5,15,15,17,25,26,26,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/README.md,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/src/test.ts#L12
OR,repo,README.md,-,-,4,4,14,14,16,24,25,25,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/README.md,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/src/test.ts#L12
WARRANTIES,repo,README.md,-,-,4,4,14,14,16,24,25,25,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/README.md,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/src/test.ts#L12
WITHOUT,repo,README.md,-,-,4,4,14,14,16,24,25,25,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/README.md,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/src/test.ts#L12
http://localhost:4200/,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/README.md,https://github.com/google/angular-a11y-workshop/blob/8fe428de057e111b7de14b91c6be2c2ce482a00d/e2e/protractor.conf.js#L31
