code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,doc_link,source_link
API,repo,README.md,10,19,19,19,19,19,28,28,28,28,28,36,36,36,https://github.com/google/exposure-notifications-internals/blob/aaada6ce5cad0ea1493930591557f8053ef4f113/README.md,https://github.com/google/exposure-notifications-internals/blob/aaada6ce5cad0ea1493930591557f8053ef4f113/exposurenotification/src/main/proto/exposure_key_export.proto#L84
AssociatedEncryptedMetadataHelper,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/exposure-notifications-internals/blob/aaada6ce5cad0ea1493930591557f8053ef4f113/README.md,https://github.com/google/exposure-notifications-internals/blob/aaada6ce5cad0ea1493930591557f8053ef4f113/exposurenotification/src/main/java/com/google/samples/exposurenotification/data/generator/AssociatedEncryptedMetadataHelper.java#L32
BLE,repo,README.md,19,43,43,43,43,43,60,60,60,63,63,69,73,73,https://github.com/google/exposure-notifications-internals/blob/aaada6ce5cad0ea1493930591557f8053ef4f113/README.md,https://github.com/google/exposure-notifications-internals/blob/aaada6ce5cad0ea1493930591557f8053ef4f113/exposurenotification/src/main/proto/exposure_result.proto#L102
BleAdvertisementGenerator,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/exposure-notifications-internals/blob/aaada6ce5cad0ea1493930591557f8053ef4f113/README.md,https://github.com/google/exposure-notifications-internals/blob/aaada6ce5cad0ea1493930591557f8053ef4f113/exposurenotification/src/main/java/com/google/samples/exposurenotification/ble/advertising/BleAdvertisementGenerator.java#L39
BleAdvertiser,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/exposure-notifications-internals/blob/aaada6ce5cad0ea1493930591557f8053ef4f113/README.md,https://github.com/google/exposure-notifications-internals/blob/aaada6ce5cad0ea1493930591557f8053ef4f113/exposurenotification/src/main/java/com/google/samples/exposurenotification/ble/advertising/BleAdvertiser.java#L47
MAC,repo,README.md,3,11,11,11,11,11,11,11,11,14,14,14,14,14,https://github.com/google/exposure-notifications-internals/blob/aaada6ce5cad0ea1493930591557f8053ef4f113/README.md,https://github.com/google/exposure-notifications-internals/blob/aaada6ce5cad0ea1493930591557f8053ef4f113/exposurenotification/src/main/java/com/google/samples/exposurenotification/ble/advertising/BleAdvertiser.java#L77
MatchingJni,repo,README.md,8,8,8,8,8,8,10,10,10,10,10,10,10,10,https://github.com/google/exposure-notifications-internals/blob/aaada6ce5cad0ea1493930591557f8053ef4f113/README.md,https://github.com/google/exposure-notifications-internals/blob/aaada6ce5cad0ea1493930591557f8053ef4f113/exposurenotification/src/main/java/com/google/samples/exposurenotification/matching/ProvideDiagnosisKeys.java#L68
RPI,repo,README.md,20,32,32,32,32,32,37,37,37,40,40,40,42,42,https://github.com/google/exposure-notifications-internals/blob/aaada6ce5cad0ea1493930591557f8053ef4f113/README.md,https://github.com/google/exposure-notifications-internals/blob/aaada6ce5cad0ea1493930591557f8053ef4f113/exposurenotification/src/main/proto/contact_record.proto#L63
RollingProximityIdManager,repo,README.md,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/exposure-notifications-internals/blob/aaada6ce5cad0ea1493930591557f8053ef4f113/README.md,https://github.com/google/exposure-notifications-internals/blob/aaada6ce5cad0ea1493930591557f8053ef4f113/exposurenotification/src/main/java/com/google/samples/exposurenotification/ble/advertising/RollingProximityIdManager.java#L43
TEK,repo,README.md,12,16,16,16,16,16,40,40,40,40,40,46,46,46,https://github.com/google/exposure-notifications-internals/blob/aaada6ce5cad0ea1493930591557f8053ef4f113/README.md,https://github.com/google/exposure-notifications-internals/blob/aaada6ce5cad0ea1493930591557f8053ef4f113/exposurenotification/src/main/proto/exposure_result.proto#L105
