code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,doc_link,source_link
.LightweightMMM(),repo,README.md,-,13,13,13,13,15,15,15,15,15,15,15,16,16,16,16,18,18,18,18,18,18,18,18,18,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,24,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/utils_test.py#L35
.transform(extra_features_test),repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/examples/simple_end_to_end_demo.ipynb#L599
CPU,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/docs/index.rst#L20
CustomScaler,repo,README.md,-,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,29,29,26,26,26,26,26,27,27,27,29,29,29,29,29,29,29,29,29,29,25,25,25,25,25,25,25,25,28,28,28,28,28,28,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32,32,32,32,32,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/preprocessing_test.py#L50
CustomScaler(divide_operation=jnp.mean),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/plot_test.py#L72
HalfNormal,repo,README.md,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/models.py#L120
Hill_equation_(biochemistry),repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/media_transforms.py#L103
JAX,repo,README.md,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/docs/index.rst#L11
KPI,repo,README.md,-,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/utils.py#L93
LightweightMMM,repo,README.md,-,-,-,-,-,-,-,-,-,-,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,18,18,18,18,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,20,20,20,20,20,20,20,20,20,20,20,20,20,31,31,31,31,31,31,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/README.md,https://github.com/google/lightweight_mmm/blob/9bbecbeb691e79019f920cf904d8cb8b918e6638/lightweight_mmm/utils.py#L54
