code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,doc_link,source_link
ANY,repo,README.md,836,836,836,1140,1140,1140,309,2075,2075,2075,2075,2231,2231,2231,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/README.md,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/wearable/src/main/res/xml/watch_face.xml#L13
AS,repo,README.md,853,853,853,1161,1161,1161,312,2096,2096,2096,2096,2281,2281,2281,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/README.md,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/wearable/src/main/res/xml/watch_face.xml#L12
BASIS,repo,README.md,829,829,829,1105,1105,1105,278,2030,2030,2030,2030,2228,2228,2228,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/README.md,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/wearable/src/main/res/xml/watch_face.xml#L12
BY,repo,README.md,-,6,6,26,26,26,25,26,26,26,26,16,16,13,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/README.md,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/tracker/src/main/res/values-af/strings.xml#L25
CC,repo,README.md,-,3,3,3,3,3,3,3,3,3,3,3,3,2,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/README.md,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/LICENSE#L2
CONDITIONS,repo,README.md,835,835,835,1117,1117,1117,286,2042,2042,2042,2042,2230,2230,2230,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/README.md,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/wearable/src/main/res/xml/watch_face.xml#L13
IS,repo,README.md,833,833,833,1135,1135,1135,306,2068,2068,2068,2068,2240,2240,2240,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/README.md,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/wearable/src/main/res/xml/watch_face.xml#L12
KIND,repo,README.md,830,830,830,1108,1108,1108,281,2038,2038,2038,2038,2229,2229,2229,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/README.md,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/wearable/src/main/res/xml/watch_face.xml#L13
LICENSE,repo,README.md,834,834,834,1123,1123,1123,292,2059,2059,2059,2059,2230,2230,2230,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/README.md,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/wearable/src/main/res/xml/watch_face.xml#L9
LLC,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,2189,2189,2189,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/README.md,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/wearable/src/main/res/xml/watch_face.xml#L3
NC,repo,README.md,-,4,4,4,4,4,4,4,4,4,4,5,5,-,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/README.md,https://github.com/google/santa-tracker-android/blob/bac925e399877e268e9faff0c3131befcc70f2e8/tracker/src/androidTest/res/raw/santa.json#L10873
OF,repo,README.md,850,850,850,1181,1181,1181,344,2120,2120,2120,2120,2239,2239,2239,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/README.md,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/wearable/src/main/res/xml/watch_face.xml#L13
OR,repo,README.md,852,852,852,1191,1191,1191,355,2122,2122,2122,2122,2247,2247,2247,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/README.md,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/wearable/src/main/res/xml/watch_face.xml#L13
SDK,repo,README.md,-,-,-,6,6,6,3,119,119,119,119,2,2,2,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/README.md,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/tracker/src/main/java/com/google/android/apps/santatracker/tracker/cast/CastUtil.kt#L30
UA,repo,README.md,0,0,0,1,1,1,1,1,1,1,1,-,-,-,https://github.com/google/santa-tracker-android/blob/ce35690c6fe06009ac579f9215ba736df56de3a6/README.md,https://github.com/google/santa-tracker-android/blob/2e316aef55b6bd12bdf1ffdd82a8746f4c5a1501/common/src/main/res/xml/config_analytics_tracker.xml#L28
