code_element,page_type,page_name,rev_1,rev_2,rev_3,doc_link,source_link
API,repo,README.md,101,101,101,https://github.com/google/openjdk-kerberos/blob/021f4081114f9045943bf7114791f00a7df10ea2/README.md,https://github.com/google/openjdk-kerberos/blob/ff3fae18565506dbdaf5e104cb61f7e8210c71c5/java/sun/util/calendar/CalendarSystem.java#L218
GNU,repo,README.md,1022,1022,1022,https://github.com/google/openjdk-kerberos/blob/021f4081114f9045943bf7114791f00a7df10ea2/README.md,https://github.com/google/openjdk-kerberos/blob/ff3fae18565506dbdaf5e104cb61f7e8210c71c5/java/sun/util/calendar/ZoneInfoFile.java#L6
GPL,repo,README.md,3,3,3,https://github.com/google/openjdk-kerberos/blob/021f4081114f9045943bf7114791f00a7df10ea2/README.md,https://github.com/google/openjdk-kerberos/blob/ff3fae18565506dbdaf5e104cb61f7e8210c71c5/LICENSE#L1
GSS,repo,README.md,177,177,177,https://github.com/google/openjdk-kerberos/blob/021f4081114f9045943bf7114791f00a7df10ea2/README.md,https://github.com/google/openjdk-kerberos/blob/ff3fae18565506dbdaf5e104cb61f7e8210c71c5/java/sun/security/krb5/internal/crypto/DesCbcEType.java#L96
JAR,repo,README.md,15,15,15,https://github.com/google/openjdk-kerberos/blob/021f4081114f9045943bf7114791f00a7df10ea2/README.md,https://github.com/google/openjdk-kerberos/blob/ff3fae18565506dbdaf5e104cb61f7e8210c71c5/java/sun/security/jca/Providers.java#L32
Krb5LoginModule,repo,README.md,21,21,21,https://github.com/google/openjdk-kerberos/blob/021f4081114f9045943bf7114791f00a7df10ea2/README.md,https://github.com/google/openjdk-kerberos/blob/ff3fae18565506dbdaf5e104cb61f7e8210c71c5/java/sun/security/util/AuthResources.java#L93
LICENSE,repo,README.md,679,679,679,https://github.com/google/openjdk-kerberos/blob/021f4081114f9045943bf7114791f00a7df10ea2/README.md,https://github.com/google/openjdk-kerberos/blob/ff3fae18565506dbdaf5e104cb61f7e8210c71c5/java/sun/util/calendar/ZoneInfoFile.java#L9
NOTE,repo,README.md,27,27,27,https://github.com/google/openjdk-kerberos/blob/021f4081114f9045943bf7114791f00a7df10ea2/README.md,https://github.com/google/openjdk-kerberos/blob/ff3fae18565506dbdaf5e104cb61f7e8210c71c5/java/sun/security/util/ObjectIdentifier.java#L231
OpenJDK,repo,README.md,1,1,1,https://github.com/google/openjdk-kerberos/blob/021f4081114f9045943bf7114791f00a7df10ea2/README.md,https://github.com/google/openjdk-kerberos/blob/ff3fae18565506dbdaf5e104cb61f7e8210c71c5/BUILD#L2
SecurityManager,repo,README.md,18,18,18,https://github.com/google/openjdk-kerberos/blob/021f4081114f9045943bf7114791f00a7df10ea2/README.md,https://github.com/google/openjdk-kerberos/blob/ff3fae18565506dbdaf5e104cb61f7e8210c71c5/java/sun/security/jgss/wrapper/NativeGSSContext.java#L138
Subject,repo,README.md,123,123,123,https://github.com/google/openjdk-kerberos/blob/021f4081114f9045943bf7114791f00a7df10ea2/README.md,https://github.com/google/openjdk-kerberos/blob/ff3fae18565506dbdaf5e104cb61f7e8210c71c5/java/sun/security/jgss/wrapper/NativeGSSFactory.java#L55
javax.naming,repo,README.md,7,7,7,https://github.com/google/openjdk-kerberos/blob/021f4081114f9045943bf7114791f00a7df10ea2/README.md,https://github.com/google/openjdk-kerberos/blob/ff3fae18565506dbdaf5e104cb61f7e8210c71c5/java/com/sun/naming/internal/ResourceManager.java#L323
javax.security,repo,README.md,50,50,50,https://github.com/google/openjdk-kerberos/blob/021f4081114f9045943bf7114791f00a7df10ea2/README.md,https://github.com/google/openjdk-kerberos/blob/ff3fae18565506dbdaf5e104cb61f7e8210c71c5/java/sun/security/jgss/krb5/SubjectComber.java#L30
krb,repo,README.md,14,14,14,https://github.com/google/openjdk-kerberos/blob/021f4081114f9045943bf7114791f00a7df10ea2/README.md,https://github.com/google/openjdk-kerberos/blob/ff3fae18565506dbdaf5e104cb61f7e8210c71c5/java/sun/security/krb5/internal/ktab/KeyTabConstants.java#L50
krb.javax.naming,repo,README.md,226,226,226,https://github.com/google/openjdk-kerberos/blob/021f4081114f9045943bf7114791f00a7df10ea2/README.md,https://github.com/google/openjdk-kerberos/blob/ff3fae18565506dbdaf5e104cb61f7e8210c71c5/java/sun/security/krb5/KrbServiceLocator.java#L38
krb.javax.security,repo,README.md,71,71,71,https://github.com/google/openjdk-kerberos/blob/021f4081114f9045943bf7114791f00a7df10ea2/README.md,https://github.com/google/openjdk-kerberos/blob/ff3fae18565506dbdaf5e104cb61f7e8210c71c5/java/sun/security/krb5/KrbAsReqBuilder.java#L30
null,repo,README.md,3205,3205,3205,https://github.com/google/openjdk-kerberos/blob/021f4081114f9045943bf7114791f00a7df10ea2/README.md,https://github.com/google/openjdk-kerberos/blob/ff3fae18565506dbdaf5e104cb61f7e8210c71c5/java/sun/util/calendar/ZoneInfoFile.java#L112
org.ietf.jgss,repo,README.md,79,79,79,https://github.com/google/openjdk-kerberos/blob/021f4081114f9045943bf7114791f00a7df10ea2/README.md,https://github.com/google/openjdk-kerberos/blob/ff3fae18565506dbdaf5e104cb61f7e8210c71c5/java/sun/security/jgss/wrapper/SunNativeProvider.java#L32
setGlobalSubject(Subject subject),repo,README.md,1,1,1,https://github.com/google/openjdk-kerberos/blob/021f4081114f9045943bf7114791f00a7df10ea2/README.md,https://github.com/google/openjdk-kerberos/blob/ff3fae18565506dbdaf5e104cb61f7e8210c71c5/java/sun/security/jgss/GSSUtil.java#L239
sun.security.jgss.GSSUtil,repo,README.md,12,12,12,https://github.com/google/openjdk-kerberos/blob/021f4081114f9045943bf7114791f00a7df10ea2/README.md,https://github.com/google/openjdk-kerberos/blob/ff3fae18565506dbdaf5e104cb61f7e8210c71c5/java/sun/security/jgss/wrapper/NativeGSSFactory.java#L32
