code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,doc_link,source_link
BQ,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,13,13,13,13,13,13,13,13,https://github.com/google/ga360-bqml-toolkit/blob/a81ba0a5b28493a3395b9a51ca7ef373f1046a53/README.md,https://github.com/google/ga360-bqml-toolkit/blob/dcd2d927594fd1f383da461e89aea78004d79d53/notebooks/GA360_Gazer_Automated_EDA.ipynb#L51
BQML,repo,README.md,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ga360-bqml-toolkit/blob/a81ba0a5b28493a3395b9a51ca7ef373f1046a53/README.md,https://github.com/google/ga360-bqml-toolkit/blob/dcd2d927594fd1f383da461e89aea78004d79d53/sql/train_logistic_regression.sql#L20
BigQuery,repo,README.md,0,0,0,0,0,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/ga360-bqml-toolkit/blob/a81ba0a5b28493a3395b9a51ca7ef373f1046a53/README.md,https://github.com/google/ga360-bqml-toolkit/blob/dcd2d927594fd1f383da461e89aea78004d79d53/notebooks/GA360_Gazer_Automated_EDA.ipynb#L60
GCP,repo,README.md,-,-,-,-,-,-,-,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,12,12,12,https://github.com/google/ga360-bqml-toolkit/blob/a81ba0a5b28493a3395b9a51ca7ef373f1046a53/README.md,https://github.com/google/ga360-bqml-toolkit/blob/dcd2d927594fd1f383da461e89aea78004d79d53/notebooks/GA360_Gazer_Automated_EDA.ipynb#L53
ID,repo,README.md,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,https://github.com/google/ga360-bqml-toolkit/blob/a81ba0a5b28493a3395b9a51ca7ef373f1046a53/README.md,https://github.com/google/ga360-bqml-toolkit/blob/dcd2d927594fd1f383da461e89aea78004d79d53/notebooks/GA360_Gazer_Automated_EDA.ipynb#L118
ML,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ga360-bqml-toolkit/blob/a81ba0a5b28493a3395b9a51ca7ef373f1046a53/README.md,https://github.com/google/ga360-bqml-toolkit/blob/dcd2d927594fd1f383da461e89aea78004d79d53/sql/predict_logistic_regression.sql#L24
SQL,repo,README.md,-,-,-,-,-,-,-,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,4,4,4,https://github.com/google/ga360-bqml-toolkit/blob/a81ba0a5b28493a3395b9a51ca7ef373f1046a53/README.md,https://github.com/google/ga360-bqml-toolkit/blob/dcd2d927594fd1f383da461e89aea78004d79d53/notebooks/GA360_Gazer_Automated_EDA.ipynb#L440
create_and_run_queries.py,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ga360-bqml-toolkit/blob/a81ba0a5b28493a3395b9a51ca7ef373f1046a53/README.md,code_element is a file name
create_daily_feature_set.sql,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ga360-bqml-toolkit/blob/a81ba0a5b28493a3395b9a51ca7ef373f1046a53/README.md,code_element is a file name
ga_dataset,repo,README.md,-,-,-,-,-,-,-,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/ga360-bqml-toolkit/blob/a81ba0a5b28493a3395b9a51ca7ef373f1046a53/README.md,https://github.com/google/ga360-bqml-toolkit/blob/dcd2d927594fd1f383da461e89aea78004d79d53/create_and_run_queries.py#L49
project_id,repo,README.md,-,-,-,-,-,-,-,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,7,7,7,https://github.com/google/ga360-bqml-toolkit/blob/a81ba0a5b28493a3395b9a51ca7ef373f1046a53/README.md,https://github.com/google/ga360-bqml-toolkit/blob/dcd2d927594fd1f383da461e89aea78004d79d53/create_and_run_queries.py#L48
sql,repo,README.md,-,-,-,-,-,-,-,-,-,21,21,21,21,21,21,21,21,21,21,21,21,21,14,14,14,https://github.com/google/ga360-bqml-toolkit/blob/a81ba0a5b28493a3395b9a51ca7ef373f1046a53/README.md,https://github.com/google/ga360-bqml-toolkit/blob/dcd2d927594fd1f383da461e89aea78004d79d53/create_and_run_queries.py#L29
