code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,doc_link,source_link
--output_dir,repo,README.md,4,4,4,4,4,5,https://github.com/google/sg2im/blob/1a3d4e71645cffc6cbe4c32c2eb74349e29919f6/README.md,https://github.com/google/sg2im/blob/2c1bf4a150f8a70c0977200a6719519213367b5c/scripts/train.py#L137
COCO,repo,README.md,28,28,28,28,28,29,https://github.com/google/sg2im/blob/1a3d4e71645cffc6cbe4c32c2eb74349e29919f6/README.md,https://github.com/google/sg2im/blob/2c1bf4a150f8a70c0977200a6719519213367b5c/sg2im/data/coco.py#L45
CPU,repo,README.md,1,1,1,1,1,1,https://github.com/google/sg2im/blob/1a3d4e71645cffc6cbe4c32c2eb74349e29919f6/README.md,https://github.com/google/sg2im/blob/2c1bf4a150f8a70c0977200a6719519213367b5c/scripts/run_model.py#L51
GB,repo,README.md,4,4,4,4,4,4,https://github.com/google/sg2im/blob/1a3d4e71645cffc6cbe4c32c2eb74349e29919f6/README.md,https://github.com/google/sg2im/blob/2c1bf4a150f8a70c0977200a6719519213367b5c/TRAINING.md#L22
GPU,repo,README.md,1,1,1,1,1,1,https://github.com/google/sg2im/blob/1a3d4e71645cffc6cbe4c32c2eb74349e29919f6/README.md,https://github.com/google/sg2im/blob/2c1bf4a150f8a70c0977200a6719519213367b5c/sg2im/utils.py#L53
GraphViz,repo,README.md,2,2,2,2,2,2,https://github.com/google/sg2im/blob/1a3d4e71645cffc6cbe4c32c2eb74349e29919f6/README.md,https://github.com/google/sg2im/blob/2c1bf4a150f8a70c0977200a6719519213367b5c/sg2im/vis.py#L112
ICCV,repo,README.md,1,1,1,1,1,1,https://github.com/google/sg2im/blob/1a3d4e71645cffc6cbe4c32c2eb74349e29919f6/README.md,https://github.com/google/sg2im/blob/2c1bf4a150f8a70c0977200a6719519213367b5c/sg2im/crn.py#L31
JSON,repo,README.md,8,8,8,8,8,8,https://github.com/google/sg2im/blob/1a3d4e71645cffc6cbe4c32c2eb74349e29919f6/README.md,https://github.com/google/sg2im/blob/2c1bf4a150f8a70c0977200a6719519213367b5c/sg2im/data/coco.py#L45
PyTorch,repo,README.md,8,8,8,8,8,8,https://github.com/google/sg2im/blob/1a3d4e71645cffc6cbe4c32c2eb74349e29919f6/README.md,https://github.com/google/sg2im/blob/2c1bf4a150f8a70c0977200a6719519213367b5c/sg2im/losses.py#L48
download_models,repo,README.md,1,1,1,1,1,1,https://github.com/google/sg2im/blob/1a3d4e71645cffc6cbe4c32c2eb74349e29919f6/README.md,https://github.com/google/sg2im/blob/2c1bf4a150f8a70c0977200a6719519213367b5c/scripts/run_model.py#L39
draw_scene_graphs,repo,README.md,2,2,2,2,2,2,https://github.com/google/sg2im/blob/1a3d4e71645cffc6cbe4c32c2eb74349e29919f6/README.md,https://github.com/google/sg2im/blob/2c1bf4a150f8a70c0977200a6719519213367b5c/scripts/run_model.py#L31
figure_6_sheep,repo,README.md,2,2,2,2,2,2,https://github.com/google/sg2im/blob/1a3d4e71645cffc6cbe4c32c2eb74349e29919f6/README.md,https://github.com/google/sg2im/blob/2c1bf4a150f8a70c0977200a6719519213367b5c/scripts/run_model.py#L29
output_dir,repo,README.md,11,11,11,11,11,25,https://github.com/google/sg2im/blob/1a3d4e71645cffc6cbe4c32c2eb74349e29919f6/README.md,https://github.com/google/sg2im/blob/2c1bf4a150f8a70c0977200a6719519213367b5c/scripts/train.py#L449
run_model,repo,README.md,0,0,0,0,0,4,https://github.com/google/sg2im/blob/1a3d4e71645cffc6cbe4c32c2eb74349e29919f6/README.md,https://github.com/google/sg2im/blob/2c1bf4a150f8a70c0977200a6719519213367b5c/scripts/sample_images.py#L152
scene_graphs,repo,README.md,13,13,13,13,13,13,https://github.com/google/sg2im/blob/1a3d4e71645cffc6cbe4c32c2eb74349e29919f6/README.md,https://github.com/google/sg2im/blob/2c1bf4a150f8a70c0977200a6719519213367b5c/sg2im/model.py#L173
scripts/run_model.py,repo,README.md,3,3,3,3,3,3,https://github.com/google/sg2im/blob/1a3d4e71645cffc6cbe4c32c2eb74349e29919f6/README.md,https://github.com/google/sg2im/blob/2c1bf4a150f8a70c0977200a6719519213367b5c/TRAINING.md#L155
sg2im-models/coco64.pt,repo,README.md,1,1,1,1,1,1,https://github.com/google/sg2im/blob/1a3d4e71645cffc6cbe4c32c2eb74349e29919f6/README.md,https://github.com/google/sg2im/blob/2c1bf4a150f8a70c0977200a6719519213367b5c/scripts/download_models.sh#L19
sg2im-models/vg128.pt,repo,README.md,2,2,2,2,2,2,https://github.com/google/sg2im/blob/1a3d4e71645cffc6cbe4c32c2eb74349e29919f6/README.md,https://github.com/google/sg2im/blob/2c1bf4a150f8a70c0977200a6719519213367b5c/scripts/run_model.py#L28
sg2im-models/vg64.pt,repo,README.md,1,1,1,1,1,2,https://github.com/google/sg2im/blob/1a3d4e71645cffc6cbe4c32c2eb74349e29919f6/README.md,https://github.com/google/sg2im/blob/2c1bf4a150f8a70c0977200a6719519213367b5c/scripts/sample_images.py#L41
