code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,doc_link,source_link
.vsix,repo,README.md,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/vscode-bigquery/blob/96f6cb3e515f254ded72735c6b3580c2d19de9ff/README.md,https://github.com/google/vscode-bigquery/blob/789c8679897aed85b79c17c12af6857aee25528e/.gitignore#L4
BigQuery,repo,README.md,11,11,11,11,11,11,11,12,12,12,12,https://github.com/google/vscode-bigquery/blob/96f6cb3e515f254ded72735c6b3580c2d19de9ff/README.md,https://github.com/google/vscode-bigquery/blob/789c8679897aed85b79c17c12af6857aee25528e/src/extension.ts#L17
JSON,repo,README.md,3,3,3,3,6,6,6,6,6,6,6,https://github.com/google/vscode-bigquery/blob/96f6cb3e515f254ded72735c6b3580c2d19de9ff/README.md,https://github.com/google/vscode-bigquery/blob/789c8679897aed85b79c17c12af6857aee25528e/src/test/extension.test.ts#L39
LICENSE,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/vscode-bigquery/blob/96f6cb3e515f254ded72735c6b3580c2d19de9ff/README.md,https://github.com/google/vscode-bigquery/blob/789c8679897aed85b79c17c12af6857aee25528e/src/test/index.ts#L7
SQL,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/vscode-bigquery/blob/96f6cb3e515f254ded72735c6b3580c2d19de9ff/README.md,https://github.com/google/vscode-bigquery/blob/789c8679897aed85b79c17c12af6857aee25528e/package.json#L61
US,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/vscode-bigquery/blob/96f6cb3e515f254ded72735c6b3580c2d19de9ff/README.md,https://github.com/google/vscode-bigquery/blob/789c8679897aed85b79c17c12af6857aee25528e/package.json#L65
VS,repo,README.md,4,4,4,5,5,5,5,5,5,5,5,https://github.com/google/vscode-bigquery/blob/96f6cb3e515f254ded72735c6b3580c2d19de9ff/README.md,https://github.com/google/vscode-bigquery/blob/789c8679897aed85b79c17c12af6857aee25528e/vsc-extension-quickstart.md#L1
bigquery.keyFilename,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,https://github.com/google/vscode-bigquery/blob/96f6cb3e515f254ded72735c6b3580c2d19de9ff/README.md,https://github.com/google/vscode-bigquery/blob/789c8679897aed85b79c17c12af6857aee25528e/package.json#L43
keyFilename,repo,README.md,5,3,3,3,3,3,3,3,3,3,3,https://github.com/google/vscode-bigquery/blob/96f6cb3e515f254ded72735c6b3580c2d19de9ff/README.md,https://github.com/google/vscode-bigquery/blob/789c8679897aed85b79c17c12af6857aee25528e/src/extension.ts#L71
maximumBytesBilled,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/vscode-bigquery/blob/96f6cb3e515f254ded72735c6b3580c2d19de9ff/README.md,https://github.com/google/vscode-bigquery/blob/789c8679897aed85b79c17c12af6857aee25528e/src/extension.ts#L81
outputFormat,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/vscode-bigquery/blob/96f6cb3e515f254ded72735c6b3580c2d19de9ff/README.md,https://github.com/google/vscode-bigquery/blob/789c8679897aed85b79c17c12af6857aee25528e/src/extension.ts#L122
projectId,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/vscode-bigquery/blob/96f6cb3e515f254ded72735c6b3580c2d19de9ff/README.md,https://github.com/google/vscode-bigquery/blob/789c8679897aed85b79c17c12af6857aee25528e/src/extension.ts#L72
settings.json,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/vscode-bigquery/blob/96f6cb3e515f254ded72735c6b3580c2d19de9ff/README.md,code_element is a file name
useLegacySql,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/vscode-bigquery/blob/96f6cb3e515f254ded72735c6b3580c2d19de9ff/README.md,https://github.com/google/vscode-bigquery/blob/789c8679897aed85b79c17c12af6857aee25528e/src/extension.ts#L82
