code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,doc_link,source_link
*.entries,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/haskell-indexer/blob/ae9b3c1e77515c5903368e24056202cf1c4c55ae/README.md,https://github.com/google/haskell-indexer/blob/1c3c4886fa083a7b6eeff198f943ea875bdc5793/serve.sh#L24
/opt/kythe,repo,README.md,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/haskell-indexer/blob/ae9b3c1e77515c5903368e24056202cf1c4c55ae/README.md,https://github.com/google/haskell-indexer/blob/1c3c4886fa083a7b6eeff198f943ea875bdc5793/serve.sh#L7
GHC,repo,README.md,-,-,74,74,74,74,74,75,75,75,80,79,80,80,80,80,78,78,78,78,78,78,88,88,88,88,88,88,88,89,89,89,103,103,104,108,105,105,105,105,110,112,106,106,108,108,116,119,119,119,120,120,121,121,121,114,110,110,110,110,111,112,115,115,116,116,116,116,116,116,116,116,121,127,127,128,https://github.com/google/haskell-indexer/blob/ae9b3c1e77515c5903368e24056202cf1c4c55ae/README.md,https://github.com/google/haskell-indexer/blob/1c3c4886fa083a7b6eeff198f943ea875bdc5793/wrappers/stack/ghc#L5
INDEXER_OUTPUT_DIR,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,https://github.com/google/haskell-indexer/blob/ae9b3c1e77515c5903368e24056202cf1c4c55ae/README.md,https://github.com/google/haskell-indexer/blob/1c3c4886fa083a7b6eeff198f943ea875bdc5793/wrappers/stack/ghc#L6
KYTHE_DIR,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/haskell-indexer/blob/ae9b3c1e77515c5903368e24056202cf1c4c55ae/README.md,https://github.com/google/haskell-indexer/blob/1c3c4886fa083a7b6eeff198f943ea875bdc5793/serve.sh#L7
PATH,repo,README.md,1,1,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,https://github.com/google/haskell-indexer/blob/ae9b3c1e77515c5903368e24056202cf1c4c55ae/README.md,https://github.com/google/haskell-indexer/blob/1c3c4886fa083a7b6eeff198f943ea875bdc5793/stack-example/README.md#L38
README,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,https://github.com/google/haskell-indexer/blob/ae9b3c1e77515c5903368e24056202cf1c4c55ae/README.md,https://github.com/google/haskell-indexer/blob/1c3c4886fa083a7b6eeff198f943ea875bdc5793/stack-ghc865.yaml#L24
STACK_YAML,repo,README.md,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,5,5,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,https://github.com/google/haskell-indexer/blob/ae9b3c1e77515c5903368e24056202cf1c4c55ae/README.md,https://github.com/google/haskell-indexer/blob/1c3c4886fa083a7b6eeff198f943ea875bdc5793/run-ghc-tests.sh#L6
UI,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,14,https://github.com/google/haskell-indexer/blob/ae9b3c1e77515c5903368e24056202cf1c4c55ae/README.md,https://github.com/google/haskell-indexer/blob/1c3c4886fa083a7b6eeff198f943ea875bdc5793/kythe-verification/testdata/basic/TypeclassRef.hs#L17
build-stack.sh,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/haskell-indexer/blob/ae9b3c1e77515c5903368e24056202cf1c4c55ae/README.md,https://github.com/google/haskell-indexer/blob/2b356bf3248ea49a2d000ddfd36365ed58bf2479/build-stack.sh#L4
