code_element,page_type,page_name,rev_1,doc_link,source_link
CloudAnalytics,repo,README.md,3,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/README.md,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/node_cloud_analytics.ts#L28
SIGHUP,repo,README.md,6,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/README.md,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/event_flushing/node_events_test.ts#L43
TEST,repo,README.md,7,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/README.md,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/network/node_test.ts#L42
beforeExit,repo,README.md,6,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/README.md,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/event_flushing/node_events_test.ts#L39
cloudAnalytics,repo,README.md,8,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/README.md,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/implementation/cloud_analytics_test.ts#L27
cloudAnalytics.logEvent(concordEvent),repo,README.md,4,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/README.md,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/implementation/cloud_analytics_test.ts#L54
cloud_analytics,repo,README.md,8,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/README.md,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/node_cloud_analytics.ts#L18
concordEvent,repo,README.md,13,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/README.md,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/implementation/cloud_analytics_test.ts#L29
enableBatchMode,repo,README.md,1,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/README.md,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/implementation/cloud_analytics.ts#L61
logEvent,repo,README.md,4,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/README.md,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/implementation/cloud_analytics_test.ts#L52
projectNumber,repo,README.md,7,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/README.md,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/survey_response.ts#L24
userSessionId,repo,README.md,7,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/README.md,https://github.com/google/cloud-analytics-ts/blob/4f1baeb6cf121573e9a8487d86d972139382f089/survey_response.ts#L25
