code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,doc_link,source_link
API,repo,README.md,14,14,14,14,https://github.com/google/creatine-ads-inspector/blob/9339d07b2fef216a5366d9fb31ac67db8aadb841/README.md,https://github.com/google/creatine-ads-inspector/blob/8355582a8c0db869c27179b797688b9a9ea883a7/src/main/java/com/google/cse/creatine/utils/GoogleCloudStorageUtils.java#L26
BIGQUERY_DATASET_NAME,repo,README.md,1,1,1,1,https://github.com/google/creatine-ads-inspector/blob/9339d07b2fef216a5366d9fb31ac67db8aadb841/README.md,https://github.com/google/creatine-ads-inspector/blob/8355582a8c0db869c27179b797688b9a9ea883a7/src/main/resources/application.properties#L27
BigQuery,repo,README.md,30,30,30,30,https://github.com/google/creatine-ads-inspector/blob/9339d07b2fef216a5366d9fb31ac67db8aadb841/README.md,https://github.com/google/creatine-ads-inspector/blob/8355582a8c0db869c27179b797688b9a9ea883a7/src/main/resources/application.properties#L26
DATASTORE_ENTITY_ID,repo,README.md,1,1,1,1,https://github.com/google/creatine-ads-inspector/blob/9339d07b2fef216a5366d9fb31ac67db8aadb841/README.md,https://github.com/google/creatine-ads-inspector/blob/8355582a8c0db869c27179b797688b9a9ea883a7/src/main/resources/application.properties#L22
DataStore,repo,README.md,2,2,2,2,https://github.com/google/creatine-ads-inspector/blob/9339d07b2fef216a5366d9fb31ac67db8aadb841/README.md,https://github.com/google/creatine-ads-inspector/blob/8355582a8c0db869c27179b797688b9a9ea883a7/src/main/resources/application.properties#L21
GOOGLE_CLOUD_STORAGE_BUCKET_NAME,repo,README.md,1,1,1,1,https://github.com/google/creatine-ads-inspector/blob/9339d07b2fef216a5366d9fb31ac67db8aadb841/README.md,https://github.com/google/creatine-ads-inspector/blob/8355582a8c0db869c27179b797688b9a9ea883a7/src/main/resources/application.properties#L41
ID,repo,README.md,15,15,15,15,https://github.com/google/creatine-ads-inspector/blob/9339d07b2fef216a5366d9fb31ac67db8aadb841/README.md,https://github.com/google/creatine-ads-inspector/blob/8355582a8c0db869c27179b797688b9a9ea883a7/src/main/resources/application.properties#L21
LLC,repo,README.md,19,19,19,19,https://github.com/google/creatine-ads-inspector/blob/9339d07b2fef216a5366d9fb31ac67db8aadb841/README.md,https://github.com/google/creatine-ads-inspector/blob/8355582a8c0db869c27179b797688b9a9ea883a7/src/main/webapp/WEB-INF/web.xml#L3
MAIN_MCC_ID,repo,README.md,1,1,1,1,https://github.com/google/creatine-ads-inspector/blob/9339d07b2fef216a5366d9fb31ac67db8aadb841/README.md,https://github.com/google/creatine-ads-inspector/blob/8355582a8c0db869c27179b797688b9a9ea883a7/src/main/resources/application.properties#L46
MCC,repo,README.md,6,6,6,6,https://github.com/google/creatine-ads-inspector/blob/9339d07b2fef216a5366d9fb31ac67db8aadb841/README.md,https://github.com/google/creatine-ads-inspector/blob/8355582a8c0db869c27179b797688b9a9ea883a7/src/main/resources/application.properties#L45
PROJECT_ID,repo,README.md,1,1,1,1,https://github.com/google/creatine-ads-inspector/blob/9339d07b2fef216a5366d9fb31ac67db8aadb841/README.md,https://github.com/google/creatine-ads-inspector/blob/8355582a8c0db869c27179b797688b9a9ea883a7/src/main/resources/application.properties#L17
application.properties,repo,README.md,3,3,3,3,https://github.com/google/creatine-ads-inspector/blob/9339d07b2fef216a5366d9fb31ac67db8aadb841/README.md,https://github.com/google/creatine-ads-inspector/blob/8355582a8c0db869c27179b797688b9a9ea883a7/src/main/java/com/google/cse/creatine/AppProperties.java#L21
bqDataSet,repo,README.md,8,8,8,8,https://github.com/google/creatine-ads-inspector/blob/9339d07b2fef216a5366d9fb31ac67db8aadb841/README.md,https://github.com/google/creatine-ads-inspector/blob/8355582a8c0db869c27179b797688b9a9ea883a7/src/main/resources/application.properties#L27
clientId,repo,README.md,6,6,6,6,https://github.com/google/creatine-ads-inspector/blob/9339d07b2fef216a5366d9fb31ac67db8aadb841/README.md,https://github.com/google/creatine-ads-inspector/blob/8355582a8c0db869c27179b797688b9a9ea883a7/src/main/java/com/google/cse/creatine/utils/GoogleAdsConfiguration.java#L20
clientSecret,repo,README.md,6,6,6,6,https://github.com/google/creatine-ads-inspector/blob/9339d07b2fef216a5366d9fb31ac67db8aadb841/README.md,https://github.com/google/creatine-ads-inspector/blob/8355582a8c0db869c27179b797688b9a9ea883a7/src/main/java/com/google/cse/creatine/utils/GoogleAdsConfiguration.java#L21
cloudProject,repo,README.md,10,10,10,10,https://github.com/google/creatine-ads-inspector/blob/9339d07b2fef216a5366d9fb31ac67db8aadb841/README.md,https://github.com/google/creatine-ads-inspector/blob/8355582a8c0db869c27179b797688b9a9ea883a7/src/main/resources/application.properties#L17
developerToken,repo,README.md,6,6,6,6,https://github.com/google/creatine-ads-inspector/blob/9339d07b2fef216a5366d9fb31ac67db8aadb841/README.md,https://github.com/google/creatine-ads-inspector/blob/8355582a8c0db869c27179b797688b9a9ea883a7/src/main/java/com/google/cse/creatine/utils/GoogleAdsConfiguration.java#L23
entityId,repo,README.md,7,7,7,7,https://github.com/google/creatine-ads-inspector/blob/9339d07b2fef216a5366d9fb31ac67db8aadb841/README.md,https://github.com/google/creatine-ads-inspector/blob/8355582a8c0db869c27179b797688b9a9ea883a7/src/main/resources/application.properties#L22
gcsBucket,repo,README.md,4,4,4,4,https://github.com/google/creatine-ads-inspector/blob/9339d07b2fef216a5366d9fb31ac67db8aadb841/README.md,https://github.com/google/creatine-ads-inspector/blob/8355582a8c0db869c27179b797688b9a9ea883a7/src/main/resources/application.properties#L41
googleAdsMccId,repo,README.md,8,8,8,8,https://github.com/google/creatine-ads-inspector/blob/9339d07b2fef216a5366d9fb31ac67db8aadb841/README.md,https://github.com/google/creatine-ads-inspector/blob/8355582a8c0db869c27179b797688b9a9ea883a7/src/main/resources/application.properties#L46
googleadsconfig,repo,README.md,1,1,1,1,https://github.com/google/creatine-ads-inspector/blob/9339d07b2fef216a5366d9fb31ac67db8aadb841/README.md,https://github.com/google/creatine-ads-inspector/blob/8355582a8c0db869c27179b797688b9a9ea883a7/src/main/java/com/google/cse/creatine/utils/CredentialsUtils.java#L49
