code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,doc_link,source_link
ANY,repo,README.md,2,-,-,-,-,https://github.com/google/prog-edu-assistant-quizzes/blob/205fba67eb6acd91ec95cc003e98f4ee6dc2da6a/README.md,https://github.com/google/prog-edu-assistant-quizzes/blob/aae8b2212b18350a17313a8da163f9da05911ae1/LICENSE#L147
AS,repo,README.md,2,-,-,-,-,https://github.com/google/prog-edu-assistant-quizzes/blob/205fba67eb6acd91ec95cc003e98f4ee6dc2da6a/README.md,https://github.com/google/prog-edu-assistant-quizzes/blob/aae8b2212b18350a17313a8da163f9da05911ae1/LICENSE#L146
BASIS,repo,README.md,2,-,-,-,-,https://github.com/google/prog-edu-assistant-quizzes/blob/205fba67eb6acd91ec95cc003e98f4ee6dc2da6a/README.md,https://github.com/google/prog-edu-assistant-quizzes/blob/aae8b2212b18350a17313a8da163f9da05911ae1/LICENSE#L146
BY,repo,README.md,-,1,1,1,3,https://github.com/google/prog-edu-assistant-quizzes/blob/205fba67eb6acd91ec95cc003e98f4ee6dc2da6a/README.md,https://github.com/google/prog-edu-assistant-quizzes/blob/6aa3744af39ed91eb9a7648f0d5ed7375c74ce20/student/python-intro-student.ipynb#L1
CC,repo,README.md,-,1,1,1,3,https://github.com/google/prog-edu-assistant-quizzes/blob/205fba67eb6acd91ec95cc003e98f4ee6dc2da6a/README.md,https://github.com/google/prog-edu-assistant-quizzes/blob/6aa3744af39ed91eb9a7648f0d5ed7375c74ce20/student/python-intro-student.ipynb#L1
CONDITIONS,repo,README.md,4,-,-,-,-,https://github.com/google/prog-edu-assistant-quizzes/blob/205fba67eb6acd91ec95cc003e98f4ee6dc2da6a/README.md,https://github.com/google/prog-edu-assistant-quizzes/blob/aae8b2212b18350a17313a8da163f9da05911ae1/LICENSE#L6
GitHub,repo,README.md,2,-,-,-,-,https://github.com/google/prog-edu-assistant-quizzes/blob/205fba67eb6acd91ec95cc003e98f4ee6dc2da6a/README.md,https://github.com/google/prog-edu-assistant-quizzes/blob/aae8b2212b18350a17313a8da163f9da05911ae1/docs/contributing.md#L21
IS,repo,README.md,2,-,-,-,-,https://github.com/google/prog-edu-assistant-quizzes/blob/205fba67eb6acd91ec95cc003e98f4ee6dc2da6a/README.md,https://github.com/google/prog-edu-assistant-quizzes/blob/aae8b2212b18350a17313a8da163f9da05911ae1/LICENSE#L146
KIND,repo,README.md,2,-,-,-,-,https://github.com/google/prog-edu-assistant-quizzes/blob/205fba67eb6acd91ec95cc003e98f4ee6dc2da6a/README.md,https://github.com/google/prog-edu-assistant-quizzes/blob/aae8b2212b18350a17313a8da163f9da05911ae1/LICENSE#L147
LICENSE,repo,README.md,2,2,2,2,4,https://github.com/google/prog-edu-assistant-quizzes/blob/205fba67eb6acd91ec95cc003e98f4ee6dc2da6a/README.md,https://github.com/google/prog-edu-assistant-quizzes/blob/6aa3744af39ed91eb9a7648f0d5ed7375c74ce20/student/python-intro-student.ipynb#L1
OF,repo,README.md,3,-,-,-,-,https://github.com/google/prog-edu-assistant-quizzes/blob/205fba67eb6acd91ec95cc003e98f4ee6dc2da6a/README.md,https://github.com/google/prog-edu-assistant-quizzes/blob/aae8b2212b18350a17313a8da163f9da05911ae1/LICENSE#L147
OR,repo,README.md,2,-,-,-,-,https://github.com/google/prog-edu-assistant-quizzes/blob/205fba67eb6acd91ec95cc003e98f4ee6dc2da6a/README.md,https://github.com/google/prog-edu-assistant-quizzes/blob/aae8b2212b18350a17313a8da163f9da05911ae1/LICENSE#L147
README,repo,README.md,0,0,0,1,1,https://github.com/google/prog-edu-assistant-quizzes/blob/205fba67eb6acd91ec95cc003e98f4ee6dc2da6a/README.md,https://github.com/google/prog-edu-assistant-quizzes/blob/6aa3744af39ed91eb9a7648f0d5ed7375c74ce20/instructor/README.md#L7
WARRANTIES,repo,README.md,2,-,-,-,-,https://github.com/google/prog-edu-assistant-quizzes/blob/205fba67eb6acd91ec95cc003e98f4ee6dc2da6a/README.md,https://github.com/google/prog-edu-assistant-quizzes/blob/aae8b2212b18350a17313a8da163f9da05911ae1/LICENSE#L147
WITHOUT,repo,README.md,2,-,-,-,-,https://github.com/google/prog-edu-assistant-quizzes/blob/205fba67eb6acd91ec95cc003e98f4ee6dc2da6a/README.md,https://github.com/google/prog-edu-assistant-quizzes/blob/aae8b2212b18350a17313a8da163f9da05911ae1/LICENSE#L147
prog_edu_assistant_tools,repo,README.md,-,-,-,9,9,https://github.com/google/prog-edu-assistant-quizzes/blob/205fba67eb6acd91ec95cc003e98f4ee6dc2da6a/README.md,https://github.com/google/prog-edu-assistant-quizzes/blob/6aa3744af39ed91eb9a7648f0d5ed7375c74ce20/student/python-intro-student.ipynb#L1
