code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,doc_link,source_link
3X,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/inspectorspacetime/blob/0c707b0acd5d28e86aa8f7bfdbae1eb86649114e/README.md,https://github.com/google/inspectorspacetime/blob/187140e94103e4919a696d8e4d4ad757c7891649/documentation/docs/.vuepress/public/archive/index.html#L132
DP,repo,README.md,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,6,6,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/inspectorspacetime/blob/0c707b0acd5d28e86aa8f7bfdbae1eb86649114e/README.md,https://github.com/google/inspectorspacetime/blob/187140e94103e4919a696d8e4d4ad757c7891649/documentation/docs/.vuepress/public/archive/index.html#L132
DataOutput,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,https://github.com/google/inspectorspacetime/blob/0c707b0acd5d28e86aa8f7bfdbae1eb86649114e/README.md,https://github.com/google/inspectorspacetime/blob/187140e94103e4919a696d8e4d4ad757c7891649/documentation/docs/.vuepress/public/archive/index.html#L119
HERE,repo,README.md,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/inspectorspacetime/blob/0c707b0acd5d28e86aa8f7bfdbae1eb86649114e/README.md,https://github.com/google/inspectorspacetime/blob/a8852cdf2e019fde89d3bebdc3aeda9aef6a8018/third_party/scriptui-battlestyle-master/BattleStyle_Tester.jsx#L203
InspectorSpacetime,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,https://github.com/google/inspectorspacetime/blob/0c707b0acd5d28e86aa8f7bfdbae1eb86649114e/README.md,https://github.com/google/inspectorspacetime/blob/187140e94103e4919a696d8e4d4ad757c7891649/src/host.ts#L21
InspectorSpacetime.jsx,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/inspectorspacetime/blob/0c707b0acd5d28e86aa8f7bfdbae1eb86649114e/README.md,https://github.com/google/inspectorspacetime/blob/187140e94103e4919a696d8e4d4ad757c7891649/src/tsconfig.json#L4
IsoLayer,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,https://github.com/google/inspectorspacetime/blob/0c707b0acd5d28e86aa8f7bfdbae1eb86649114e/README.md,https://github.com/google/inspectorspacetime/blob/187140e94103e4919a696d8e4d4ad757c7891649/documentation/docs/.vuepress/public/archive/index.html#L147
NBC,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/inspectorspacetime/blob/0c707b0acd5d28e86aa8f7bfdbae1eb86649114e/README.md,https://github.com/google/inspectorspacetime/blob/187140e94103e4919a696d8e4d4ad757c7891649/src/host.ts#L3
PropPanel,repo,README.md,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,https://github.com/google/inspectorspacetime/blob/0c707b0acd5d28e86aa8f7bfdbae1eb86649114e/README.md,https://github.com/google/inspectorspacetime/blob/187140e94103e4919a696d8e4d4ad757c7891649/documentation/docs/.vuepress/public/archive/index.html#L111
RubberHose,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/inspectorspacetime/blob/0c707b0acd5d28e86aa8f7bfdbae1eb86649114e/README.md,https://github.com/google/inspectorspacetime/blob/26c90bdb4d6d5e89eaa44c6650de0d34ee85e3c8/documentation/docs/.vuepress/theme/components/Home.vue#L104
ScriptUI,repo,README.md,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,21,21,21,21,21,21,9,9,9,6,6,6,6,6,6,https://github.com/google/inspectorspacetime/blob/0c707b0acd5d28e86aa8f7bfdbae1eb86649114e/README.md,https://github.com/google/inspectorspacetime/blob/187140e94103e4919a696d8e4d4ad757c7891649/src/aequery.js#L1914
TimeCounter,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/inspectorspacetime/blob/0c707b0acd5d28e86aa8f7bfdbae1eb86649114e/README.md,https://github.com/google/inspectorspacetime/blob/187140e94103e4919a696d8e4d4ad757c7891649/documentation/docs/README.md#L29
UI,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,12,12,12,12,12,12,8,8,8,8,8,8,8,8,8,https://github.com/google/inspectorspacetime/blob/0c707b0acd5d28e86aa8f7bfdbae1eb86649114e/README.md,https://github.com/google/inspectorspacetime/blob/187140e94103e4919a696d8e4d4ad757c7891649/src/aequery.js#L8415
WQAgPaJvvHU,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/inspectorspacetime/blob/0c707b0acd5d28e86aa8f7bfdbae1eb86649114e/README.md,https://github.com/google/inspectorspacetime/blob/187140e94103e4919a696d8e4d4ad757c7891649/documentation/docs/.vuepress/theme/components/Home.vue#L154
space_gif,repo,README.md,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/inspectorspacetime/blob/0c707b0acd5d28e86aa8f7bfdbae1eb86649114e/README.md,https://github.com/google/inspectorspacetime/blob/d96dd731f8e569683099ade124b242f0fa0cc440/documentation/docs/.vuepress/public/archive/index.html#L35
spec,repo,README.md,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/inspectorspacetime/blob/0c707b0acd5d28e86aa8f7bfdbae1eb86649114e/README.md,https://github.com/google/inspectorspacetime/blob/a8852cdf2e019fde89d3bebdc3aeda9aef6a8018/InspectorSpacetime.jsx#L2
