code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,doc_link,source_link
API,repo,README.md,29,29,29,29,29,29,29,29,29,25,29,25,22,20,https://github.com/google/dv360-api-appsscript-samples/blob/d05171923bb0ca5d4c076fd34bdbd70d5abc12ec/README.md,https://github.com/google/dv360-api-appsscript-samples/blob/53367b21f9b40e922d3d168c44ccf9c910feb766/src/05_dv360_sheet.gs#L21
LICENSE,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,11,8,https://github.com/google/dv360-api-appsscript-samples/blob/d05171923bb0ca5d4c076fd34bdbd70d5abc12ec/README.md,https://github.com/google/dv360-api-appsscript-samples/blob/53367b21f9b40e922d3d168c44ccf9c910feb766/src/main.gs#L11
