code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,doc_link,source_link
AM,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://github.com/google/profit-bidder/blob/e1c0149e6999ff889120221d266c68f712817faa/README.md,https://github.com/google/profit-bidder/blob/e1c0149e6999ff889120221d266c68f712817faa/assets/images/Profitbid_arch.svg#L1
API,repo,README.md,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,11,11,11,11,11,11,11,11,11,11,26,26,26,26,https://github.com/google/profit-bidder/blob/e1c0149e6999ff889120221d266c68f712817faa/README.md,https://github.com/google/profit-bidder/blob/e1c0149e6999ff889120221d266c68f712817faa/sql_query/profit_gen_query_template.sql#L18
BQ,repo,README.md,-,1,1,2,2,2,4,4,4,4,6,6,6,6,6,6,6,7,7,7,7,12,12,12,12,12,12,12,12,12,12,12,25,25,25,25,https://github.com/google/profit-bidder/blob/e1c0149e6999ff889120221d266c68f712817faa/README.md,https://github.com/google/profit-bidder/blob/e1c0149e6999ff889120221d266c68f712817faa/solution_test/profit_bidder_quickstart.ipynb#L218
BigQuery,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,23,https://github.com/google/profit-bidder/blob/e1c0149e6999ff889120221d266c68f712817faa/README.md,https://github.com/google/profit-bidder/blob/e1c0149e6999ff889120221d266c68f712817faa/solution_test/profit_bidder_quickstart.ipynb#L75
DS_BUSINESS_DATA,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,https://github.com/google/profit-bidder/blob/e1c0149e6999ff889120221d266c68f712817faa/README.md,https://github.com/google/profit-bidder/blob/e1c0149e6999ff889120221d266c68f712817faa/install.sh#L143
GB,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/profit-bidder/blob/e1c0149e6999ff889120221d266c68f712817faa/README.md,https://github.com/google/profit-bidder/blob/e1c0149e6999ff889120221d266c68f712817faa/solution_test/p_Campaign_43939335402485897.csv#L788
GCP,repo,README.md,-,0,0,1,1,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,https://github.com/google/profit-bidder/blob/e1c0149e6999ff889120221d266c68f712817faa/README.md,https://github.com/google/profit-bidder/blob/e1c0149e6999ff889120221d266c68f712817faa/solution_test/profit_bidder_quickstart.ipynb#L207
GMC,repo,README.md,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/profit-bidder/blob/e1c0149e6999ff889120221d266c68f712817faa/README.md,https://github.com/google/profit-bidder/blob/e1c0149e6999ff889120221d266c68f712817faa/sql_query/profit_gen_query_template.sql#L108
ID,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,27,27,27,27,27,27,27,27,27,30,30,30,31,https://github.com/google/profit-bidder/blob/e1c0149e6999ff889120221d266c68f712817faa/README.md,https://github.com/google/profit-bidder/blob/e1c0149e6999ff889120221d266c68f712817faa/solution_test/profit_bidder_quickstart.ipynb#L1386
NOTE,repo,README.md,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,4,4,4,4,https://github.com/google/profit-bidder/blob/e1c0149e6999ff889120221d266c68f712817faa/README.md,https://github.com/google/profit-bidder/blob/e1c0149e6999ff889120221d266c68f712817faa/sql_query/profit_gen_query_template.sql#L16
