code_element,page_type,page_name,rev_1,rev_2,rev_3,doc_link,source_link
ANY,repo,README.md,71,91,96,https://github.com/google/android-arscblamer/blob/2a6dab146462cd4ea5fb2969492f333a4ec916d5/README.md,https://github.com/google/android-arscblamer/blob/2445a3be613e0e0351d0247f173270ca8cd82192/third_party/java/truth/LICENSE#L147
APK,repo,README.md,11,11,11,https://github.com/google/android-arscblamer/blob/2a6dab146462cd4ea5fb2969492f333a4ec916d5/README.md,https://github.com/google/android-arscblamer/blob/2445a3be613e0e0351d0247f173270ca8cd82192/java/com/google/devrel/gmscore/tools/common/flags/BindingAnnotations.java#L31
AS,repo,README.md,62,67,69,https://github.com/google/android-arscblamer/blob/2a6dab146462cd4ea5fb2969492f333a4ec916d5/README.md,https://github.com/google/android-arscblamer/blob/2445a3be613e0e0351d0247f173270ca8cd82192/third_party/java/truth/LICENSE#L146
ArscBlamer,repo,README.md,12,12,12,https://github.com/google/android-arscblamer/blob/2a6dab146462cd4ea5fb2969492f333a4ec916d5/README.md,https://github.com/google/android-arscblamer/blob/2445a3be613e0e0351d0247f173270ca8cd82192/java/com/google/devrel/gmscore/tools/apk/arsc/ResourceEntryStatsCollector.java#L20
BASIS,repo,README.md,59,60,61,https://github.com/google/android-arscblamer/blob/2a6dab146462cd4ea5fb2969492f333a4ec916d5/README.md,https://github.com/google/android-arscblamer/blob/2445a3be613e0e0351d0247f173270ca8cd82192/third_party/java/truth/LICENSE#L146
CONDITIONS,repo,README.md,76,78,81,https://github.com/google/android-arscblamer/blob/2a6dab146462cd4ea5fb2969492f333a4ec916d5/README.md,https://github.com/google/android-arscblamer/blob/2445a3be613e0e0351d0247f173270ca8cd82192/third_party/java/truth/LICENSE#L6
CSV,repo,README.md,12,12,12,https://github.com/google/android-arscblamer/blob/2a6dab146462cd4ea5fb2969492f333a4ec916d5/README.md,https://github.com/google/android-arscblamer/blob/2445a3be613e0e0351d0247f173270ca8cd82192/java/com/google/devrel/gmscore/tools/apk/arsc/ArscDumper.java#L60
IS,repo,README.md,63,72,75,https://github.com/google/android-arscblamer/blob/2a6dab146462cd4ea5fb2969492f333a4ec916d5/README.md,https://github.com/google/android-arscblamer/blob/2445a3be613e0e0351d0247f173270ca8cd82192/third_party/java/truth/LICENSE#L146
KIND,repo,README.md,59,61,62,https://github.com/google/android-arscblamer/blob/2a6dab146462cd4ea5fb2969492f333a4ec916d5/README.md,https://github.com/google/android-arscblamer/blob/2445a3be613e0e0351d0247f173270ca8cd82192/third_party/java/truth/LICENSE#L147
LICENSE,repo,README.md,61,66,68,https://github.com/google/android-arscblamer/blob/2a6dab146462cd4ea5fb2969492f333a4ec916d5/README.md,https://github.com/google/android-arscblamer/blob/2445a3be613e0e0351d0247f173270ca8cd82192/third_party/java/truth/LICENSE#L196
NB,repo,README.md,0,0,2,https://github.com/google/android-arscblamer/blob/2a6dab146462cd4ea5fb2969492f333a4ec916d5/README.md,https://github.com/google/android-arscblamer/blob/2445a3be613e0e0351d0247f173270ca8cd82192/java/com/google/devrel/gmscore/tools/apk/arsc/ResourceConfiguration.java#L58
OF,repo,README.md,87,117,127,https://github.com/google/android-arscblamer/blob/2a6dab146462cd4ea5fb2969492f333a4ec916d5/README.md,https://github.com/google/android-arscblamer/blob/2445a3be613e0e0351d0247f173270ca8cd82192/third_party/java/truth/LICENSE#L147
OR,repo,README.md,76,103,112,https://github.com/google/android-arscblamer/blob/2a6dab146462cd4ea5fb2969492f333a4ec916d5/README.md,https://github.com/google/android-arscblamer/blob/2445a3be613e0e0351d0247f173270ca8cd82192/third_party/java/truth/LICENSE#L147
WARRANTIES,repo,README.md,62,64,67,https://github.com/google/android-arscblamer/blob/2a6dab146462cd4ea5fb2969492f333a4ec916d5/README.md,https://github.com/google/android-arscblamer/blob/2445a3be613e0e0351d0247f173270ca8cd82192/third_party/java/truth/LICENSE#L147
WITHOUT,repo,README.md,61,66,67,https://github.com/google/android-arscblamer/blob/2a6dab146462cd4ea5fb2969492f333a4ec916d5/README.md,https://github.com/google/android-arscblamer/blob/2445a3be613e0e0351d0247f173270ca8cd82192/third_party/java/truth/LICENSE#L147
baseless_keys,repo,README.md,1,1,1,https://github.com/google/android-arscblamer/blob/2a6dab146462cd4ea5fb2969492f333a4ec916d5/README.md,https://github.com/google/android-arscblamer/blob/2445a3be613e0e0351d0247f173270ca8cd82192/java/com/google/devrel/gmscore/tools/apk/arsc/ArscDumper.java#L296
resources.arsc,repo,README.md,7,7,7,https://github.com/google/android-arscblamer/blob/2a6dab146462cd4ea5fb2969492f333a4ec916d5/README.md,https://github.com/google/android-arscblamer/blob/2445a3be613e0e0351d0247f173270ca8cd82192/java/com/google/devrel/gmscore/tools/apk/arsc/ArscModule.java#L35
