code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,doc_link,source_link
$PAGER,repo,README.md,.,.,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,https://github.com/google/fswalker/blob/6dbc4ebe2b7e0ee75efb3af3468b8acd82bbb397/README.md,https://github.com/google/fswalker/blob/f0e929ba4126f847cf6e500d8d2ac296562d0b79/cmd/reporter/reporter.go#L38
SHA256,repo,README.md,.,.,.,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/fswalker/blob/6dbc4ebe2b7e0ee75efb3af3468b8acd82bbb397/README.md,https://github.com/google/fswalker/blob/f0e929ba4126f847cf6e500d8d2ac296562d0b79/testdata/reviews.asciipb#L7
afterFile,repo,README.md,.,.,.,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,11,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fswalker/blob/6dbc4ebe2b7e0ee75efb3af3468b8acd82bbb397/README.md,https://github.com/google/fswalker/blob/9ef0744c565cd4b5c32373cbeb502ca5d76edfa2/reporter.go#L178
beforeFile,repo,README.md,.,.,.,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fswalker/blob/6dbc4ebe2b7e0ee75efb3af3468b8acd82bbb397/README.md,https://github.com/google/fswalker/blob/9ef0744c565cd4b5c32373cbeb502ca5d76edfa2/cmd/reporter/reporter.go#L36
configFile,repo,README.md,.,.,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fswalker/blob/6dbc4ebe2b7e0ee75efb3af3468b8acd82bbb397/README.md,https://github.com/google/fswalker/blob/9ef0744c565cd4b5c32373cbeb502ca5d76edfa2/cmd/reporter/reporter.go#L32
exclude_pfx,repo,README.md,.,.,.,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,https://github.com/google/fswalker/blob/6dbc4ebe2b7e0ee75efb3af3468b8acd82bbb397/README.md,https://github.com/google/fswalker/blob/f0e929ba4126f847cf6e500d8d2ac296562d0b79/testdata/defaultReportConfig.asciipb#L2
fswalker.go,repo,README.md,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/fswalker/blob/6dbc4ebe2b7e0ee75efb3af3468b8acd82bbb397/README.md,code_element is a file name
ignore_irregular_files,repo,README.md,.,.,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/fswalker/blob/6dbc4ebe2b7e0ee75efb3af3468b8acd82bbb397/README.md,https://github.com/google/fswalker/blob/f0e929ba4126f847cf6e500d8d2ac296562d0b79/proto/fswalker/fswalker.proto#L78
include,repo,README.md,.,.,.,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/fswalker/blob/6dbc4ebe2b7e0ee75efb3af3468b8acd82bbb397/README.md,https://github.com/google/fswalker/blob/f0e929ba4126f847cf6e500d8d2ac296562d0b79/walker.go#L73
less,repo,README.md,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,https://github.com/google/fswalker/blob/6dbc4ebe2b7e0ee75efb3af3468b8acd82bbb397/README.md,https://github.com/google/fswalker/blob/f0e929ba4126f847cf6e500d8d2ac296562d0b79/cmd/reporter/reporter.go#L127
max_hash_file_size,repo,README.md,.,.,.,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/fswalker/blob/6dbc4ebe2b7e0ee75efb3af3468b8acd82bbb397/README.md,https://github.com/google/fswalker/blob/f0e929ba4126f847cf6e500d8d2ac296562d0b79/testdata/defaultClientPolicy.asciipb#L2
outputFilePfx,repo,README.md,.,.,.,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fswalker/blob/6dbc4ebe2b7e0ee75efb3af3468b8acd82bbb397/README.md,https://github.com/google/fswalker/blob/9ef0744c565cd4b5c32373cbeb502ca5d76edfa2/cmd/walker/walker.go#L36
policyFile,repo,README.md,.,.,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fswalker/blob/6dbc4ebe2b7e0ee75efb3af3468b8acd82bbb397/README.md,https://github.com/google/fswalker/blob/9ef0744c565cd4b5c32373cbeb502ca5d76edfa2/cmd/walker/walker.go#L35
reviewFile,repo,README.md,.,.,.,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fswalker/blob/6dbc4ebe2b7e0ee75efb3af3468b8acd82bbb397/README.md,https://github.com/google/fswalker/blob/9ef0744c565cd4b5c32373cbeb502ca5d76edfa2/reporter.go#L153
walkPath,repo,README.md,.,.,.,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fswalker/blob/6dbc4ebe2b7e0ee75efb3af3468b8acd82bbb397/README.md,https://github.com/google/fswalker/blob/9ef0744c565cd4b5c32373cbeb502ca5d76edfa2/reporter.go#L136
walk_cross_device,repo,README.md,.,.,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/fswalker/blob/6dbc4ebe2b7e0ee75efb3af3468b8acd82bbb397/README.md,https://github.com/google/fswalker/blob/f0e929ba4126f847cf6e500d8d2ac296562d0b79/proto/fswalker/fswalker.proto#L74
walk_id,repo,README.md,.,.,.,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/fswalker/blob/6dbc4ebe2b7e0ee75efb3af3468b8acd82bbb397/README.md,https://github.com/google/fswalker/blob/f0e929ba4126f847cf6e500d8d2ac296562d0b79/testdata/reviews.asciipb#L4
walk_reference,repo,README.md,.,.,.,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/fswalker/blob/6dbc4ebe2b7e0ee75efb3af3468b8acd82bbb397/README.md,https://github.com/google/fswalker/blob/f0e929ba4126f847cf6e500d8d2ac296562d0b79/testdata/reviews.asciipb#L5
