code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,doc_link,source_link
3D,repo,README.md,-,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,https://github.com/google/depth_fusion/blob/6daacc84c0d1bc83ded3756d0dd9b6ddf25697e0/README.md,https://github.com/google/depth_fusion/blob/6c8dc4ee88e8afa1c232f5e17391fc95c41b3253/src/regular_grid_fusion_pipeline.cpp#L336
ArUco,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/depth_fusion/blob/6daacc84c0d1bc83ded3756d0dd9b6ddf25697e0/README.md,https://github.com/google/depth_fusion/blob/6c8dc4ee88e8afa1c232f5e17391fc95c41b3253/src/aruco/aruco_pose_estimator.cpp#L116
CUDA,repo,README.md,-,33,33,33,33,3,3,3,3,3,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/depth_fusion/blob/6daacc84c0d1bc83ded3756d0dd9b6ddf25697e0/README.md,https://github.com/google/depth_fusion/blob/6c8dc4ee88e8afa1c232f5e17391fc95c41b3253/CMakeLists.txt#L15
GLEW,repo,README.md,-,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,10,13,13,13,15,15,15,17,https://github.com/google/depth_fusion/blob/6daacc84c0d1bc83ded3756d0dd9b6ddf25697e0/README.md,https://github.com/google/depth_fusion/blob/6c8dc4ee88e8afa1c232f5e17391fc95c41b3253/src/visualize_camera_path/main_widget.cpp#L113
OpenCV,repo,README.md,-,3,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,7,8,8,8,8,8,7,https://github.com/google/depth_fusion/blob/6daacc84c0d1bc83ded3756d0dd9b6ddf25697e0/README.md,https://github.com/google/depth_fusion/blob/6c8dc4ee88e8afa1c232f5e17391fc95c41b3253/src/rgbd_input.cpp#L110
RealSense,repo,README.md,-,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/depth_fusion/blob/6daacc84c0d1bc83ded3756d0dd9b6ddf25697e0/README.md,https://github.com/google/depth_fusion/blob/93a43aaac2d647f02c00e3425c7587334938522e/src/main.cpp#L50
depth_fusion,repo,README.md,0,5,5,5,6,7,7,8,8,8,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,https://github.com/google/depth_fusion/blob/6daacc84c0d1bc83ded3756d0dd9b6ddf25697e0/README.md,https://github.com/google/depth_fusion/blob/6c8dc4ee88e8afa1c232f5e17391fc95c41b3253/Rebracer.xml#L3
