code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,doc_link,source_link
!,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,24,24,26,26,26,26,26,26,26,26,https://github.com/google/redgrep/blob/e21e4c26053a4ef3b88a00c125803fd4e69f97d9/README.md,https://github.com/google/redgrep/blob/7deae766b725fb0020eb2ce7c1c69b22d3079a2e/regexp_test.cc#L883
&,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,141,141,141,141,141,141,141,141,141,141,https://github.com/google/redgrep/blob/e21e4c26053a4ef3b88a00c125803fd4e69f97d9/README.md,https://github.com/google/redgrep/blob/7deae766b725fb0020eb2ce7c1c69b22d3079a2e/regexp_test.cc#L1495
DFA,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,https://github.com/google/redgrep/blob/e21e4c26053a4ef3b88a00c125803fd4e69f97d9/README.md,https://github.com/google/redgrep/blob/7deae766b725fb0020eb2ce7c1c69b22d3079a2e/regexp_test.cc#L1205
GNU,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/redgrep/blob/e21e4c26053a4ef3b88a00c125803fd4e69f97d9/README.md,https://github.com/google/redgrep/blob/7deae766b725fb0020eb2ce7c1c69b22d3079a2e/redgrep_main.cc#L188
LLVM_CONFIG,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-,-,-,-,-,https://github.com/google/redgrep/blob/e21e4c26053a4ef3b88a00c125803fd4e69f97d9/README.md,https://github.com/google/redgrep/blob/6b9d5b02753c4ece17e2f1c8e9b619b25e498189/Makefile#L25
WORKSPACE,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/redgrep/blob/e21e4c26053a4ef3b88a00c125803fd4e69f97d9/README.md,code_element is a file name
llvm-config-11,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,https://github.com/google/redgrep/blob/e21e4c26053a4ef3b88a00c125803fd4e69f97d9/README.md,https://github.com/google/redgrep/blob/f62f35eb610d8c941bab30b05a4b14b19bf7663d/redgrep_configure.bzl#L66
llvm-config-14,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,https://github.com/google/redgrep/blob/e21e4c26053a4ef3b88a00c125803fd4e69f97d9/README.md,https://github.com/google/redgrep/blob/7deae766b725fb0020eb2ce7c1c69b22d3079a2e/redgrep_configure.bzl#L66
"load(""@com_github_google_redgrep//:redgrep_configure.bzl"", ""redgrep_configure"")",repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/redgrep/blob/e21e4c26053a4ef3b88a00c125803fd4e69f97d9/README.md,https://github.com/google/redgrep/blob/7deae766b725fb0020eb2ce7c1c69b22d3079a2e/WORKSPACE#L18
make,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,https://github.com/google/redgrep/blob/e21e4c26053a4ef3b88a00c125803fd4e69f97d9/README.md,https://github.com/google/redgrep/blob/6b9d5b02753c4ece17e2f1c8e9b619b25e498189/regexp.cc#L1756
"redgrep_configure(name = ""local_config_redgrep"")",repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/redgrep/blob/e21e4c26053a4ef3b88a00c125803fd4e69f97d9/README.md,https://github.com/google/redgrep/blob/7deae766b725fb0020eb2ce7c1c69b22d3079a2e/WORKSPACE#L39
|,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,34,34,38,38,38,38,38,38,38,38,https://github.com/google/redgrep/blob/e21e4c26053a4ef3b88a00c125803fd4e69f97d9/README.md,https://github.com/google/redgrep/blob/7deae766b725fb0020eb2ce7c1c69b22d3079a2e/regexp_test.cc#L1517
