code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,doc_link,source_link
3GPP,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/ringdroid/blob/955039d67252ea7aea5a36933e8ee30110f5ec92/README.md,https://github.com/google/ringdroid/blob/1b4aac1a8dfa8a245dbb5bd6059fd8573545f265/src/com/ringdroid/soundfile/CheapAMR.java#L28
AAC,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,12,12,12,12,12,19,19,19,19,19,19,19,19,25,25,25,25,25,25,25,https://github.com/google/ringdroid/blob/955039d67252ea7aea5a36933e8ee30110f5ec92/README.md,https://github.com/google/ringdroid/blob/955039d67252ea7aea5a36933e8ee30110f5ec92/app/src/main/res/values/strings.xml#L176
AMR,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/ringdroid/blob/955039d67252ea7aea5a36933e8ee30110f5ec92/README.md,https://github.com/google/ringdroid/blob/955039d67252ea7aea5a36933e8ee30110f5ec92/app/src/main/res/values/strings.xml#L176
GET_CONTENT,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ringdroid/blob/955039d67252ea7aea5a36933e8ee30110f5ec92/README.md,https://github.com/google/ringdroid/blob/955039d67252ea7aea5a36933e8ee30110f5ec92/app/src/main/java/com/ringdroid/RingdroidEditActivity.java#L156
OGG,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,0,0,10,10,10,10,10,10,10,https://github.com/google/ringdroid/blob/955039d67252ea7aea5a36933e8ee30110f5ec92/README.md,https://github.com/google/ringdroid/blob/955039d67252ea7aea5a36933e8ee30110f5ec92/app/src/main/res/values/strings.xml#L176
WAV,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,16,16,16,16,16,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,https://github.com/google/ringdroid/blob/955039d67252ea7aea5a36933e8ee30110f5ec92/README.md,https://github.com/google/ringdroid/blob/955039d67252ea7aea5a36933e8ee30110f5ec92/app/src/main/res/values/strings.xml#L176
iTunes,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/ringdroid/blob/955039d67252ea7aea5a36933e8ee30110f5ec92/README.md,https://github.com/google/ringdroid/blob/1b4aac1a8dfa8a245dbb5bd6059fd8573545f265/src/com/ringdroid/soundfile/CheapAAC.java#L29
AAC,wiki,APKs.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,19,25,25,25,25,25,25,25,https://github.com/google/ringdroid/wiki/APKs/3677b4ea22a6324c7562c2ad56ff2d8d2254d429,https://github.com/google/ringdroid/blob/955039d67252ea7aea5a36933e8ee30110f5ec92/app/src/main/res/values/strings.xml#L176
APK,wiki,APKs.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,https://github.com/google/ringdroid/wiki/APKs/3677b4ea22a6324c7562c2ad56ff2d8d2254d429,https://github.com/google/ringdroid/blob/955039d67252ea7aea5a36933e8ee30110f5ec92/README.txt#L58
ADT,wiki,Building.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,https://github.com/google/ringdroid/wiki/Building/d4fd602135b6be3fc52e7e1a106360e9112c5ca5,https://github.com/google/ringdroid/blob/955039d67252ea7aea5a36933e8ee30110f5ec92/README.txt#L32
APK,wiki,Building.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,https://github.com/google/ringdroid/wiki/Building/d4fd602135b6be3fc52e7e1a106360e9112c5ca5,https://github.com/google/ringdroid/blob/955039d67252ea7aea5a36933e8ee30110f5ec92/README.txt#L58
SD,wiki,Building.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,https://github.com/google/ringdroid/wiki/Building/d4fd602135b6be3fc52e7e1a106360e9112c5ca5,https://github.com/google/ringdroid/blob/955039d67252ea7aea5a36933e8ee30110f5ec92/app/src/main/res/values/strings.xml#L36
SDK,wiki,Building.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,https://github.com/google/ringdroid/wiki/Building/d4fd602135b6be3fc52e7e1a106360e9112c5ca5,https://github.com/google/ringdroid/blob/955039d67252ea7aea5a36933e8ee30110f5ec92/README.txt#L40
USB,wiki,Building.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/ringdroid/wiki/Building/d4fd602135b6be3fc52e7e1a106360e9112c5ca5,https://github.com/google/ringdroid/blob/955039d67252ea7aea5a36933e8ee30110f5ec92/app/src/main/res/values/strings.xml#L38
3GPP,wiki,Developers.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/ringdroid/wiki/Developers/474d63e5d9f7ce0451ebf6337d4535f193251753,https://github.com/google/ringdroid/blob/1b4aac1a8dfa8a245dbb5bd6059fd8573545f265/src/com/ringdroid/soundfile/CheapAMR.java#L28
